query_index,query_id,timepoint,recall,ndcg,density_log_distortion,zero_recall,seconds
2197,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2197,2-3,0.2,0.20659116218605333,0.27296552,False,0.06873630732297897
2782,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2782,4-5,0.13333333333333333,0.1228703944573705,0.5163741,False,0.06905656401067972
4086,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4086,6-7,0.5333333333333333,0.572146155354091,0.43080813,False,0.06891876365989447
6148,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:6148,8-9,0.0,0.0,0.0062432215,True,0.06888433638960123
209,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:209,0-1,0.2,0.1481287758530105,0.11088289,False,0.0684712678194046
1416,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1416,2-3,0.0,0.0,0.6857573,True,0.06846996583044529
2865,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2865,4-5,0.3333333333333333,0.41620810115148027,0.0046990663,False,0.06892722006887197
4554,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4554,6-7,0.06666666666666667,0.08530460913930238,0.2938036,False,0.06854688748717308
5789,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5789,8-9,0.0,0.0,0.0017576516,True,0.06865556631237268
86,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:86,0-1,0.0,0.0,0.10419268,True,0.06887297797948122
1674,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1674,2-3,0.13333333333333333,0.0924006697558052,0.17337282,False,0.06893424037843943
3313,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3313,4-5,0.0,0.0,0.07742496,True,0.06847293302416801
4018,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4018,6-7,0.26666666666666666,0.2514015940399879,0.52908754,False,0.06851709354668856
5882,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5882,8-9,0.0,0.0,0.5799749,True,0.06798803247511387
83,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:83,0-1,0.06666666666666667,0.07347739090382172,0.3146708,False,0.06855124887079
1321,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1321,2-3,0.26666666666666666,0.2290637711337512,0.6480848,False,0.06880571693181992
2760,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2760,4-5,0.0,0.0,0.08023126,True,0.06848206743597984
4111,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4111,6-7,0.6,0.5836468519469679,0.37252986,False,0.06852576415985823
5374,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5374,8-9,0.0,0.0,0.08021134,True,0.0681731728836894
837,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:837,0-1,0.2,0.19855798417537163,0.03491074,False,0.06968171894550323
2001,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2001,2-3,0.2,0.18428847778892526,0.282013,False,0.06881324201822281
2815,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2815,4-5,0.06666666666666667,0.17060921827860476,0.15605924,False,0.06933167856186628
4163,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4163,6-7,0.0,0.0,0.25230598,True,0.06900563463568687
5193,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5193,8-9,0.06666666666666667,0.046105120275897894,0.46629104,False,0.06873863376677036
756,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:756,0-1,0.3333333333333333,0.4389502163605317,0.07998524,False,0.06970937736332417
2184,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2184,2-3,0.06666666666666667,0.04481043185393461,0.30937034,False,0.06910661235451698
2997,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2997,4-5,0.06666666666666667,0.053821216022769555,0.16769764,False,0.06842466443777084
4860,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4860,6-7,0.3333333333333333,0.2923498567426078,0.3000861,False,0.06887231580913067
5111,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5111,8-9,0.13333333333333333,0.23660987330977368,0.21579318,False,0.06904072407633066
