stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
transfer,existing,Uniform,0.5,2,0-1,400,0.0705,0.07668536128636969,0.2678024172782898,0.4175,27.452176521532238,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,2-3,400,0.10400000000000001,0.10657075060273162,0.28038865327835083,0.2575,27.432279487140477,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,4-5,400,0.08033333333333333,0.08349248604947128,0.2567530572414398,0.3775,27.43769528158009,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,6-7,400,0.11083333333333334,0.11691971663176816,0.25527557730674744,0.315,27.442552456632257,0.08883333333333333,0.37969390396028757
transfer,existing,Uniform,0.5,2,8-9,400,0.0785,0.08158870886496981,0.28055351972579956,0.3775,27.425819263793528,0.08883333333333333,0.37969390396028757
transfer,existing,FitGrid,0.5,2,0-1,400,0.07166666666666666,0.07712290556922002,0.272604376077652,0.4,27.44896803703159,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,2-3,400,0.10083333333333334,0.10637489904037555,0.27858179807662964,0.28,27.435087479650974,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,4-5,400,0.08066666666666666,0.08236553918156102,0.25686630606651306,0.3825,27.42504391632974,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,6-7,400,0.11133333333333333,0.11853549728557802,0.25580307841300964,0.3275,27.427492479793727,0.0893,0.33499004133045673
transfer,existing,FitGrid,0.5,2,8-9,400,0.08199999999999999,0.08275721976836746,0.28391221165657043,0.3625,27.42515546269715,0.0893,0.33499004133045673
