context,method,error,ecdf,n_points
existing,uniform_mc,0.0027692173194559366,0.12,1000
existing,uniform_mc,0.002806290955707789,0.121,1000
existing,uniform_mc,0.00283951852327056,0.122,1000
existing,uniform_mc,0.002862760537986017,0.123,1000
existing,uniform_mc,0.0028720255458051184,0.124,1000
existing,uniform_mc,0.002874089529164578,0.125,1000
existing,uniform_mc,0.002914603116952937,0.126,1000
existing,uniform_mc,0.0029358655711863757,0.127,1000
existing,uniform_mc,0.0029424471880313456,0.128,1000
existing,uniform_mc,0.0029842858253266297,0.129,1000
existing,uniform_mc,0.00298729684881304,0.13,1000
existing,uniform_mc,0.0030190168986856396,0.131,1000
existing,uniform_mc,0.0030190210417683507,0.132,1000
existing,uniform_mc,0.003023164487545655,0.133,1000
existing,uniform_mc,0.003044294619763457,0.134,1000
existing,uniform_mc,0.0030476003562343937,0.135,1000
existing,uniform_mc,0.003048794329573047,0.136,1000
existing,uniform_mc,0.0030715754744267383,0.137,1000
existing,uniform_mc,0.003074713992207617,0.138,1000
existing,uniform_mc,0.0030890084812665013,0.139,1000
existing,uniform_mc,0.003092782262534013,0.14,1000
existing,uniform_mc,0.003102133726045257,0.141,1000
existing,uniform_mc,0.0031097784758039215,0.142,1000
existing,uniform_mc,0.0031306317969480766,0.143,1000
existing,uniform_mc,0.003149294233950344,0.144,1000
existing,uniform_mc,0.0031768477537299253,0.145,1000
existing,uniform_mc,0.0031984078401967753,0.146,1000
existing,uniform_mc,0.0032001310239134564,0.147,1000
existing,uniform_mc,0.0032004803571093242,0.148,1000
existing,uniform_mc,0.0032044815742853856,0.149,1000
existing,uniform_mc,0.0032201393669471063,0.15,1000
existing,uniform_mc,0.0032202750389764734,0.151,1000
existing,uniform_mc,0.0032378590943380977,0.152,1000
existing,uniform_mc,0.0032485436769092648,0.153,1000
existing,uniform_mc,0.0032547618282858168,0.154,1000
existing,uniform_mc,0.003264172329337124,0.155,1000
existing,uniform_mc,0.00329067064026824,0.156,1000
existing,uniform_mc,0.00330527388041005,0.157,1000
existing,uniform_mc,0.0033138761532406458,0.158,1000
existing,uniform_mc,0.0033207537896225896,0.159,1000
existing,uniform_mc,0.0033221719920166494,0.16,1000
existing,uniform_mc,0.0033308572585913927,0.161,1000
existing,uniform_mc,0.0033418206609468165,0.162,1000
existing,uniform_mc,0.0033624895910960764,0.163,1000
existing,uniform_mc,0.0033631818588979677,0.164,1000
existing,uniform_mc,0.003363639138810757,0.165,1000
existing,uniform_mc,0.003366404574014046,0.166,1000
existing,uniform_mc,0.003391148990900708,0.167,1000
existing,uniform_mc,0.003398558581308219,0.168,1000
existing,uniform_mc,0.003401411697032549,0.169,1000
existing,uniform_mc,0.0034031129817495955,0.17,1000
existing,uniform_mc,0.0034124357204608036,0.171,1000
existing,uniform_mc,0.003418084102351707,0.172,1000
existing,uniform_mc,0.00343082774619453,0.173,1000
existing,uniform_mc,0.003439342588368385,0.174,1000
existing,uniform_mc,0.0034507384723516947,0.175,1000
existing,uniform_mc,0.003450937115065692,0.176,1000
existing,uniform_mc,0.003451786136712081,0.177,1000
existing,uniform_mc,0.0034603145965754066,0.178,1000
existing,uniform_mc,0.0034667533607895245,0.179,1000
existing,uniform_mc,0.003472851793916345,0.18,1000
existing,uniform_mc,0.00349413653864635,0.181,1000
existing,uniform_mc,0.003496092798389004,0.182,1000
existing,uniform_mc,0.003498619651093398,0.183,1000
existing,uniform_mc,0.0035080258838302387,0.184,1000
existing,uniform_mc,0.0035589154227385605,0.185,1000
existing,uniform_mc,0.003562681370074391,0.186,1000
existing,uniform_mc,0.003568018475910374,0.187,1000
existing,uniform_mc,0.003570514266644407,0.188,1000
existing,uniform_mc,0.0035883670263648876,0.189,1000
existing,uniform_mc,0.0036109295236505163,0.19,1000
existing,uniform_mc,0.0036268682883084384,0.191,1000
existing,uniform_mc,0.0036281009623948717,0.192,1000
existing,uniform_mc,0.0036351087510378545,0.193,1000
existing,uniform_mc,0.00364293643634889,0.194,1000
existing,uniform_mc,0.0036568412346880477,0.195,1000
existing,uniform_mc,0.0036677281896556153,0.196,1000
existing,uniform_mc,0.003706502535305111,0.197,1000
existing,uniform_mc,0.0037134512982998024,0.198,1000
existing,uniform_mc,0.003722673997348403,0.199,1000
existing,uniform_mc,0.003733608412071714,0.2,1000
existing,uniform_mc,0.0037421247503599373,0.201,1000
existing,uniform_mc,0.0037638419408852777,0.202,1000
existing,uniform_mc,0.0037674198904187823,0.203,1000
existing,uniform_mc,0.0037713916891214602,0.204,1000
existing,uniform_mc,0.0037874000057141707,0.205,1000
existing,uniform_mc,0.003801948519418744,0.206,1000
existing,uniform_mc,0.003802496550482007,0.207,1000
existing,uniform_mc,0.0038144391507308416,0.208,1000
existing,uniform_mc,0.0038406099194850207,0.209,1000
existing,uniform_mc,0.0038419503317168127,0.21,1000
existing,uniform_mc,0.0038522370029061424,0.211,1000
existing,uniform_mc,0.003868041732144793,0.212,1000
existing,uniform_mc,0.003869110391387418,0.213,1000
existing,uniform_mc,0.0038789021350666072,0.214,1000
existing,uniform_mc,0.0038972161207711134,0.215,1000
existing,uniform_mc,0.0038980663793118176,0.216,1000
existing,uniform_mc,0.0039274461187686766,0.217,1000
existing,uniform_mc,0.0039323357952058295,0.218,1000
existing,uniform_mc,0.0039343137873179505,0.219,1000
existing,uniform_mc,0.003959133925500901,0.22,1000
existing,uniform_mc,0.003987211643304298,0.221,1000
existing,uniform_mc,0.003995223257185174,0.222,1000
existing,uniform_mc,0.004006537792449988,0.223,1000
existing,uniform_mc,0.004007778787964053,0.224,1000
existing,uniform_mc,0.004009095133648182,0.225,1000
existing,uniform_mc,0.00401102137099117,0.226,1000
existing,uniform_mc,0.004016497446161655,0.227,1000
existing,uniform_mc,0.004047445804735497,0.228,1000
existing,uniform_mc,0.004052016806624171,0.229,1000
existing,uniform_mc,0.004054747350855976,0.23,1000
existing,uniform_mc,0.004077662586789371,0.231,1000
existing,uniform_mc,0.0040914804578526245,0.232,1000
existing,uniform_mc,0.0040957271053650695,0.233,1000
existing,uniform_mc,0.0041032809870070455,0.234,1000
existing,uniform_mc,0.0041172787262725745,0.235,1000
existing,uniform_mc,0.00411891797611578,0.236,1000
existing,uniform_mc,0.004119499506003945,0.237,1000
existing,uniform_mc,0.004133957339935227,0.238,1000
existing,uniform_mc,0.004137759294436729,0.239,1000
existing,uniform_mc,0.004151040408365448,0.24,1000
existing,uniform_mc,0.0041525561885858795,0.241,1000
existing,uniform_mc,0.004166744200278822,0.242,1000
existing,uniform_mc,0.004181497923337102,0.243,1000
existing,uniform_mc,0.004187141486357087,0.244,1000
existing,uniform_mc,0.004211362328538154,0.245,1000
existing,uniform_mc,0.0042190835119288094,0.246,1000
existing,uniform_mc,0.00422847900012074,0.247,1000
existing,uniform_mc,0.004237381358370691,0.248,1000
existing,uniform_mc,0.004252361940966529,0.249,1000
existing,uniform_mc,0.00428528912345319,0.25,1000
existing,uniform_mc,0.004319088884993829,0.251,1000
existing,uniform_mc,0.004322008586849076,0.252,1000
existing,uniform_mc,0.0043252082585116475,0.253,1000
existing,uniform_mc,0.004333380356804348,0.254,1000
existing,uniform_mc,0.004339909427608369,0.255,1000
existing,uniform_mc,0.004347149972494986,0.256,1000
existing,uniform_mc,0.0043550859765373005,0.257,1000
existing,uniform_mc,0.004355785495800587,0.258,1000
existing,uniform_mc,0.004389112024691363,0.259,1000
existing,uniform_mc,0.004393907069638877,0.26,1000
existing,uniform_mc,0.0044421027789033375,0.261,1000
existing,uniform_mc,0.0044459345676829895,0.262,1000
existing,uniform_mc,0.00445546354678664,0.263,1000
existing,uniform_mc,0.00446499917585238,0.264,1000
existing,uniform_mc,0.004467773303537159,0.265,1000
existing,uniform_mc,0.0044748544708102305,0.266,1000
existing,uniform_mc,0.004480851050796294,0.267,1000
existing,uniform_mc,0.0044978392021763815,0.268,1000
existing,uniform_mc,0.004498914487722341,0.269,1000
existing,uniform_mc,0.004515640748256395,0.27,1000
existing,uniform_mc,0.004529404573649745,0.271,1000
existing,uniform_mc,0.004551333950508513,0.272,1000
existing,uniform_mc,0.004556174358892414,0.273,1000
existing,uniform_mc,0.004579932330157222,0.274,1000
existing,uniform_mc,0.004586613424730615,0.275,1000
existing,uniform_mc,0.004590201382456463,0.276,1000
existing,uniform_mc,0.004632644718740803,0.277,1000
existing,uniform_mc,0.0046463034389397214,0.278,1000
existing,uniform_mc,0.004650969834583531,0.279,1000
existing,uniform_mc,0.004668110186330844,0.28,1000
existing,uniform_mc,0.004682444618315515,0.281,1000
existing,uniform_mc,0.004698415419312268,0.282,1000
existing,uniform_mc,0.004707085023076053,0.283,1000
existing,uniform_mc,0.004714057264816033,0.284,1000
existing,uniform_mc,0.004731246790603247,0.285,1000
existing,uniform_mc,0.004734555079123586,0.286,1000
existing,uniform_mc,0.004741298833964793,0.287,1000
existing,uniform_mc,0.004747749677624122,0.288,1000
existing,uniform_mc,0.004754401243175085,0.289,1000
existing,uniform_mc,0.004761467899420315,0.29,1000
existing,uniform_mc,0.004762214943621232,0.291,1000
existing,uniform_mc,0.0047627123196245175,0.292,1000
existing,uniform_mc,0.004769433268781929,0.293,1000
existing,uniform_mc,0.004806928228048484,0.294,1000
existing,uniform_mc,0.004821650533213242,0.295,1000
existing,uniform_mc,0.004850417580943991,0.296,1000
existing,uniform_mc,0.004872226750911536,0.297,1000
existing,uniform_mc,0.004882437319695608,0.298,1000
existing,uniform_mc,0.004886665055154812,0.299,1000
existing,uniform_mc,0.004887251328747789,0.3,1000
existing,uniform_mc,0.004892952246823214,0.301,1000
existing,uniform_mc,0.004899043663915432,0.302,1000
existing,uniform_mc,0.00491667431794605,0.303,1000
existing,uniform_mc,0.004916812017937554,0.304,1000
existing,uniform_mc,0.004919254216049961,0.305,1000
existing,uniform_mc,0.00491989199191295,0.306,1000
existing,uniform_mc,0.004924796762031153,0.307,1000
existing,uniform_mc,0.004937133554124161,0.308,1000
existing,uniform_mc,0.004937460733938794,0.309,1000
existing,uniform_mc,0.004938631490901924,0.31,1000
existing,uniform_mc,0.004940925748356841,0.311,1000
existing,uniform_mc,0.004950350181355022,0.312,1000
existing,uniform_mc,0.004970613977643427,0.313,1000
existing,uniform_mc,0.004980643888332829,0.314,1000
existing,uniform_mc,0.005003048281803035,0.315,1000
existing,uniform_mc,0.005058150454227761,0.316,1000
existing,uniform_mc,0.005059394622262521,0.317,1000
existing,uniform_mc,0.00507005767374007,0.318,1000
existing,uniform_mc,0.005070134054547962,0.319,1000
existing,uniform_mc,0.005070490325008516,0.32,1000
existing,uniform_mc,0.0050755418911932184,0.321,1000
existing,uniform_mc,0.005083557265487392,0.322,1000
existing,uniform_mc,0.005091109302231562,0.323,1000
existing,uniform_mc,0.005092953328058993,0.324,1000
existing,uniform_mc,0.005124886577770664,0.325,1000
existing,uniform_mc,0.005130143733558734,0.326,1000
existing,uniform_mc,0.005136258839672933,0.327,1000
existing,uniform_mc,0.005148936577383745,0.328,1000
existing,uniform_mc,0.0051512519735096825,0.329,1000
existing,uniform_mc,0.005162584851370127,0.33,1000
existing,uniform_mc,0.005165889447395833,0.331,1000
existing,uniform_mc,0.00517840906981213,0.332,1000
existing,uniform_mc,0.0051819749360915626,0.333,1000
existing,uniform_mc,0.005207017377755173,0.334,1000
existing,uniform_mc,0.005258595506034984,0.335,1000
existing,uniform_mc,0.005277034901794595,0.336,1000
existing,uniform_mc,0.005307654547357927,0.337,1000
existing,uniform_mc,0.005320439902065946,0.338,1000
existing,uniform_mc,0.005323936718166107,0.339,1000
existing,uniform_mc,0.005331296890186833,0.34,1000
existing,uniform_mc,0.005332592871453152,0.341,1000
existing,uniform_mc,0.005377153584587618,0.342,1000
existing,uniform_mc,0.0054123332175775385,0.343,1000
existing,uniform_mc,0.005412980864057195,0.344,1000
existing,uniform_mc,0.005413535190788894,0.345,1000
existing,uniform_mc,0.0054331623570112704,0.346,1000
existing,uniform_mc,0.005434622063645743,0.347,1000
existing,uniform_mc,0.005457390811039029,0.348,1000
existing,uniform_mc,0.005486117733642525,0.349,1000
existing,uniform_mc,0.005512154802078541,0.35,1000
existing,uniform_mc,0.005566895024214205,0.351,1000
existing,uniform_mc,0.005578315905433158,0.352,1000
existing,uniform_mc,0.005582951505961872,0.353,1000
existing,uniform_mc,0.005587244332510483,0.354,1000
existing,uniform_mc,0.005619642261680557,0.355,1000
existing,uniform_mc,0.005637011120204332,0.356,1000
existing,uniform_mc,0.005644388742364062,0.357,1000
existing,uniform_mc,0.005653218481407537,0.358,1000
existing,uniform_mc,0.005675069995524651,0.359,1000
existing,uniform_mc,0.005699496001751191,0.36,1000
existing,uniform_mc,0.005700503518378896,0.361,1000
existing,uniform_mc,0.005745720671309435,0.362,1000
existing,uniform_mc,0.005756056527747554,0.363,1000
existing,uniform_mc,0.005760525442459687,0.364,1000
existing,uniform_mc,0.005765323170156156,0.365,1000
existing,uniform_mc,0.0057730761796675,0.366,1000
existing,uniform_mc,0.0057761466391359805,0.367,1000
existing,uniform_mc,0.005780820959085527,0.368,1000
existing,uniform_mc,0.005791400052189301,0.369,1000
existing,uniform_mc,0.005805901286509973,0.37,1000
existing,uniform_mc,0.005808904179889687,0.371,1000
existing,uniform_mc,0.005827618051131367,0.372,1000
existing,uniform_mc,0.005831077443551425,0.373,1000
existing,uniform_mc,0.005840207610985183,0.374,1000
existing,uniform_mc,0.005845285288093527,0.375,1000
existing,uniform_mc,0.00585243668099978,0.376,1000
existing,uniform_mc,0.005863684621518028,0.377,1000
existing,uniform_mc,0.005866799783276054,0.378,1000
existing,uniform_mc,0.005869916800286607,0.379,1000
existing,uniform_mc,0.0058929479255791445,0.38,1000
existing,uniform_mc,0.005894603865662504,0.381,1000
existing,uniform_mc,0.005896701911568561,0.382,1000
existing,uniform_mc,0.005919102182369089,0.383,1000
existing,uniform_mc,0.00592134354709889,0.384,1000
existing,uniform_mc,0.005938696483357395,0.385,1000
existing,uniform_mc,0.005941501551242454,0.386,1000
existing,uniform_mc,0.005946225043704001,0.387,1000
existing,uniform_mc,0.005948808708845742,0.388,1000
existing,uniform_mc,0.0059658990623235805,0.389,1000
existing,uniform_mc,0.005971295835698005,0.39,1000
existing,uniform_mc,0.005984854559194076,0.391,1000
existing,uniform_mc,0.005992295685355854,0.392,1000
existing,uniform_mc,0.005994009762719812,0.393,1000
existing,uniform_mc,0.0059998064543524045,0.394,1000
existing,uniform_mc,0.006021281646251674,0.395,1000
existing,uniform_mc,0.006024522553203819,0.396,1000
existing,uniform_mc,0.006032107586457087,0.397,1000
existing,uniform_mc,0.0060351243843536516,0.398,1000
existing,uniform_mc,0.006042967853020572,0.399,1000
existing,uniform_mc,0.006050675681871332,0.4,1000
existing,uniform_mc,0.006056672969266792,0.401,1000
existing,uniform_mc,0.006057179593091614,0.402,1000
existing,uniform_mc,0.0060619994905909075,0.403,1000
existing,uniform_mc,0.006074379427343941,0.404,1000
existing,uniform_mc,0.006080593979651221,0.405,1000
existing,uniform_mc,0.006087604439516872,0.406,1000
existing,uniform_mc,0.006098875339402887,0.407,1000
existing,uniform_mc,0.006114425348433009,0.408,1000
existing,uniform_mc,0.006121142262160674,0.409,1000
existing,uniform_mc,0.0061270272612960605,0.41,1000
existing,uniform_mc,0.006132589920916941,0.411,1000
existing,uniform_mc,0.006157916504969661,0.412,1000
existing,uniform_mc,0.006160885075609947,0.413,1000
existing,uniform_mc,0.006163688190605698,0.414,1000
existing,uniform_mc,0.006164639460851222,0.415,1000
existing,uniform_mc,0.006169072703716428,0.416,1000
existing,uniform_mc,0.006178693264112822,0.417,1000
existing,uniform_mc,0.0061817489083642934,0.418,1000
existing,uniform_mc,0.006181863523082913,0.419,1000
existing,uniform_mc,0.006184007727808006,0.42,1000
existing,uniform_mc,0.006189378749764792,0.421,1000
existing,uniform_mc,0.006194588177254492,0.422,1000
existing,uniform_mc,0.0061983834383138574,0.423,1000
existing,uniform_mc,0.006199315964486095,0.424,1000
existing,uniform_mc,0.006215913111264302,0.425,1000
existing,uniform_mc,0.006222986496046843,0.426,1000
existing,uniform_mc,0.006223940489571209,0.427,1000
existing,uniform_mc,0.006237291270574345,0.428,1000
existing,uniform_mc,0.006240160439020429,0.429,1000
existing,uniform_mc,0.006248413612348415,0.43,1000
existing,uniform_mc,0.006259708623869738,0.431,1000
existing,uniform_mc,0.006262696535952013,0.432,1000
existing,uniform_mc,0.006265585556109208,0.433,1000
existing,uniform_mc,0.006273420393584374,0.434,1000
existing,uniform_mc,0.00627691729175277,0.435,1000
existing,uniform_mc,0.006298394807723128,0.436,1000
existing,uniform_mc,0.006343509750646745,0.437,1000
existing,uniform_mc,0.006347351497070035,0.438,1000
existing,uniform_mc,0.006354328488688672,0.439,1000
existing,uniform_mc,0.006371087920722033,0.44,1000
existing,uniform_mc,0.006393281000077343,0.441,1000
existing,uniform_mc,0.006398882212650033,0.442,1000
existing,uniform_mc,0.006479336775981175,0.443,1000
existing,uniform_mc,0.006480445754168873,0.444,1000
existing,uniform_mc,0.006486529603494887,0.445,1000
existing,uniform_mc,0.006493992727066774,0.446,1000
existing,uniform_mc,0.0065215402414913965,0.447,1000
existing,uniform_mc,0.006532732709006828,0.448,1000
existing,uniform_mc,0.0065659597256931415,0.449,1000
existing,uniform_mc,0.006572807481424699,0.45,1000
existing,uniform_mc,0.006597515054424063,0.451,1000
existing,uniform_mc,0.006597677895054829,0.452,1000
existing,uniform_mc,0.006608151899082857,0.453,1000
existing,uniform_mc,0.006610243523634805,0.454,1000
existing,uniform_mc,0.006610515868858773,0.455,1000
existing,uniform_mc,0.006635987362170412,0.456,1000
existing,uniform_mc,0.006659973278443677,0.457,1000
existing,uniform_mc,0.00668607321797352,0.458,1000
existing,uniform_mc,0.0067295219983949765,0.459,1000
existing,uniform_mc,0.006732654923722071,0.46,1000
existing,uniform_mc,0.006733671735334472,0.461,1000
existing,uniform_mc,0.0067604518909571325,0.462,1000
existing,uniform_mc,0.006771845510932979,0.463,1000
existing,uniform_mc,0.006772238365589361,0.464,1000
existing,uniform_mc,0.006777790480374599,0.465,1000
existing,uniform_mc,0.006779741447022035,0.466,1000
existing,uniform_mc,0.006781594543997483,0.467,1000
existing,uniform_mc,0.006785723768642333,0.468,1000
existing,uniform_mc,0.006792502610644788,0.469,1000
existing,uniform_mc,0.00681347525446633,0.47,1000
existing,uniform_mc,0.006853797012336207,0.471,1000
existing,uniform_mc,0.0068656520083427664,0.472,1000
existing,uniform_mc,0.006886650843826546,0.473,1000
existing,uniform_mc,0.006909993156236988,0.474,1000
existing,uniform_mc,0.00691805508824295,0.475,1000
existing,uniform_mc,0.006945656858854901,0.476,1000
existing,uniform_mc,0.006947192172917408,0.477,1000
existing,uniform_mc,0.00695078208877254,0.478,1000
existing,uniform_mc,0.006961590625152534,0.479,1000
existing,uniform_mc,0.007027769021337235,0.48,1000
existing,uniform_mc,0.007046943964411507,0.481,1000
existing,uniform_mc,0.007051852812609824,0.482,1000
existing,uniform_mc,0.007060531510230285,0.483,1000
existing,uniform_mc,0.007061321397464302,0.484,1000
existing,uniform_mc,0.007068179580435054,0.485,1000
existing,uniform_mc,0.007073958229492956,0.486,1000
existing,uniform_mc,0.007075023160064977,0.487,1000
existing,uniform_mc,0.007084101015839386,0.488,1000
existing,uniform_mc,0.007105352070014015,0.489,1000
existing,uniform_mc,0.007128772887653236,0.49,1000
existing,uniform_mc,0.0071365499683915725,0.491,1000
existing,uniform_mc,0.0071387601685713445,0.492,1000
existing,uniform_mc,0.007145601299635436,0.493,1000
existing,uniform_mc,0.00715877033566063,0.494,1000
existing,uniform_mc,0.007172751381322909,0.495,1000
existing,uniform_mc,0.007211331352146545,0.496,1000
existing,uniform_mc,0.007212098855339113,0.497,1000
existing,uniform_mc,0.007243478922938837,0.498,1000
existing,uniform_mc,0.007249261374696975,0.499,1000
existing,uniform_mc,0.007257455315701818,0.5,1000
existing,uniform_mc,0.007264934419334008,0.501,1000
existing,uniform_mc,0.007270864822177012,0.502,1000
existing,uniform_mc,0.007291709564354288,0.503,1000
existing,uniform_mc,0.0073085154555348865,0.504,1000
existing,uniform_mc,0.007316615654766243,0.505,1000
existing,uniform_mc,0.007328254350270802,0.506,1000
existing,uniform_mc,0.007330135729491826,0.507,1000
existing,uniform_mc,0.0073411718589992715,0.508,1000
existing,uniform_mc,0.007343504874766234,0.509,1000
existing,uniform_mc,0.007392165096057567,0.51,1000
existing,uniform_mc,0.0073924919781313035,0.511,1000
existing,uniform_mc,0.007392715818464699,0.512,1000
existing,uniform_mc,0.007402826982241654,0.513,1000
existing,uniform_mc,0.007405937346178028,0.514,1000
existing,uniform_mc,0.007407698723597196,0.515,1000
existing,uniform_mc,0.007429839940524614,0.516,1000
existing,uniform_mc,0.007451632074748836,0.517,1000
existing,uniform_mc,0.007509600470629416,0.518,1000
existing,uniform_mc,0.007516766159350378,0.519,1000
existing,uniform_mc,0.007520896653702651,0.52,1000
existing,uniform_mc,0.007525276494704429,0.521,1000
existing,uniform_mc,0.00752881439866034,0.522,1000
existing,uniform_mc,0.007548777994160807,0.523,1000
existing,uniform_mc,0.007569993531283239,0.524,1000
existing,uniform_mc,0.0075817491882484885,0.525,1000
existing,uniform_mc,0.0076198905886601985,0.526,1000
existing,uniform_mc,0.007621460113746064,0.527,1000
existing,uniform_mc,0.007627487617960267,0.528,1000
existing,uniform_mc,0.007630075076442262,0.529,1000
existing,uniform_mc,0.007645828039926773,0.53,1000
