context,split,training_seed,method,t_left,t_right,t_mid,n_points,rmse,bin_closed,time_definition
temporal0,temporal holdout,0,fit_grid,0.5,0.6000000000000001,0.55,114,0.010159643605424793,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal0,temporal holdout,0,fit_grid,0.6000000000000001,0.7000000000000001,0.6500000000000001,90,0.011415991560171522,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal0,temporal holdout,0,fit_grid,0.7000000000000001,0.8,0.75,86,0.01214209666498647,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal0,temporal holdout,0,fit_grid,0.8,0.9,0.8500000000000001,104,0.013238521947740752,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal0,temporal holdout,0,fit_grid,0.9,1.0,0.95,92,0.013007864305496138,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.0,0.1,0.05,95,0.009298114343458926,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.1,0.2,0.15000000000000002,97,0.008488781739911315,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.2,0.30000000000000004,0.25,110,0.00843553837904099,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.30000000000000004,0.4,0.35000000000000003,119,0.008988217648510814,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.4,0.5,0.45,93,0.008391447764121127,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.5,0.6000000000000001,0.55,114,0.011202189840686376,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.6000000000000001,0.7000000000000001,0.6500000000000001,90,0.013092670519716201,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.7000000000000001,0.8,0.75,86,0.014485649881405566,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.8,0.9,0.8500000000000001,104,0.017974968484004608,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,uniform_mc,0.9,1.0,0.95,92,0.018219329806901306,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.0,0.1,0.05,95,0.008587724490549275,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.1,0.2,0.15000000000000002,97,0.008537432711470302,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.2,0.30000000000000004,0.25,110,0.006929614168364998,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.30000000000000004,0.4,0.35000000000000003,119,0.007622816189679258,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.4,0.5,0.45,93,0.006709873874201555,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.5,0.6000000000000001,0.55,114,0.009737607187949882,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.6000000000000001,0.7000000000000001,0.6500000000000001,90,0.01112086729046817,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.7000000000000001,0.8,0.75,86,0.011254828374573115,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.8,0.9,0.8500000000000001,104,0.012747475429935037,left; last bin both,"t = embedding optimization time, NOT biological stage."
temporal1,temporal holdout,1,fit_grid,0.9,1.0,0.95,92,0.012582193558544832,left; last bin both,"t = embedding optimization time, NOT biological stage."
