method,status,teacher_variant,teacher_build_seconds,train_seconds,inference_seconds_per_query,rolling_std_mean,late_loss_cv,convergence_rmse_threshold,first_step_half_initial_rmse,seconds_to_half_initial_rmse,best_validation_rmse,mse,rmse,exact_signal_rms,normalized_rmse,cosine,cosine_valid_fraction,magnitude_error,relative_magnitude_error,relative_magnitude_valid_fraction,reused_from,resumed_from_step,checkpoint_seconds
uniform_mc,success,uniform_mc,0.370449161157012,43.06074187159538,2.4915981106460093e-06,0.00011386213218471906,0.08331474041294502,0.009973192824857098,,,0.011589839095434073,0.00014639704794570038,0.012099464779307404,0.019946385649714196,0.6065993604952069,0.7175078909642422,1.0,0.006352781713002048,0.5537169879506761,1.0,/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/20260915T080951Z_377563,,
dual_raw_is,success,dual_raw_is,0.45946939941495657,177.59129598084837,8.559071458876132e-07,0.019796346745017547,3.1052227913314945,0.009973192824857098,,,0.01321334832162228,0.00018261506076689703,0.013513514005131937,0.019946385649714196,0.6774918645637219,0.6860607539479034,1.0,0.0066223253368525295,0.5357812765491965,1.0,/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/20260915T080951Z_377563,,
dual_hub_is,success,dual_hub_is,0.42449759505689144,179.94108356256038,8.610761724412441e-07,0.021418233354189093,2.271120924604821,0.009973192824857098,,,0.013354896725547646,0.0001897528046991099,0.013775079117707815,0.019946385649714196,0.6906052735376242,0.655322278483902,1.0,0.006431149875965355,0.5621973341290822,1.0,/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/20260915T080951Z_377563,,
dual_topl,success,dual_topl,0.7945201462134719,271.6118599604815,8.639425039291382e-07,0.00024672484348510536,0.107790428487065,0.009973192824857098,,,0.012465727733726747,0.000157582735891768,0.012553196242063932,0.019946385649714196,0.6293469133965031,0.7163398085802177,1.0,0.006305759643291855,0.527225499223886,1.0,/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/20260915T080951Z_377563,,
barnes_hut,success,barnes_hut_0.8,19.195507563650608,4791.700353129767,8.606970310211181e-07,3.307449108673557e-05,0.7207691919094403,0.009973192824857098,3600.0,4507.363796195947,0.009884459101207544,0.000104688922780586,0.010231760492729782,0.019946385649714196,0.5129631338937031,0.7983228118740633,1.0,0.0053771439775395285,0.4188118414441433,1.0,,0.0,1.2587180621922016
fit_grid,success,fit_grid_256,4.838813284412026,36.48106214404106,1.801508478820324e-06,2.9981733650230234e-05,0.899912952093413,0.009973192824857098,3800.0,34.684361356310546,0.009849327036502332,0.00010390263566515977,0.010193264230125685,0.019946385649714196,0.5110331470138672,0.8082793190974039,1.0,0.005457790354105769,0.43447058456815424,1.0,,0.0,1.8622039882466197
