step,dirichlet_raw,orthogonality_raw,trivial_raw,loss,dirichlet_per_dim,orthogonality_per_dim,trivial_per_dim
1,0.0003544613136909902,98.7480697631836,0.6959723234176636,0.9944438934326172,3.544613136909902e-06,0.987480697631836,0.006959723234176636
2,0.00015582253399770707,99.1358413696289,0.15905392169952393,0.9929504990577698,1.5582253399770706e-06,0.9913584136962891,0.0015905392169952392
3,0.0005925376317463815,99.23137664794922,0.8938488960266113,1.0012582540512085,5.925376317463815e-06,0.9923137664794922,0.008938488960266113
4,0.0003357118694111705,98.37069702148438,0.2552967965602875,0.9862632751464844,3.357118694111705e-06,0.9837069702148438,0.0025529679656028747
5,0.00034935539588332176,98.32090759277344,0.15182659029960632,0.9847308397293091,3.493553958833218e-06,0.9832090759277343,0.0015182659029960633
6,0.0005902022821828723,97.65907287597656,0.32820481061935425,0.9798786044120789,5.902022821828723e-06,0.9765907287597656,0.0032820481061935423
7,0.0009454155806452036,97.50010681152344,0.6341673731803894,0.9813522100448608,9.454155806452036e-06,0.9750010681152343,0.006341673731803894
8,0.0009715115884318948,97.13380432128906,0.45562195777893066,0.9759039282798767,9.715115884318949e-06,0.9713380432128906,0.004556219577789306
9,0.000988322775810957,97.15276336669922,0.2997605800628662,0.9745351672172546,9.88322775810957e-06,0.9715276336669922,0.0029976058006286623
10,0.0010656558442860842,97.09223937988281,0.2438657581806183,0.9733717441558838,1.0656558442860842e-05,0.9709223937988282,0.002438657581806183
11,0.0011152222286909819,97.01678466796875,0.2517430782318115,0.9726963639259338,1.1152222286909819e-05,0.9701678466796875,0.0025174307823181154
12,0.0012485445477068424,96.95037841796875,0.29402875900268555,0.9724565744400024,1.2485445477068425e-05,0.9695037841796875,0.0029402875900268553
13,0.0011926628649234772,96.72114562988281,0.35797885060310364,0.9708031415939331,1.1926628649234772e-05,0.9672114562988281,0.0035797885060310365
14,0.0011879443190991879,96.48025512695312,0.43155062198638916,0.9691299200057983,1.1879443190991878e-05,0.9648025512695313,0.004315506219863891
15,0.0011748450342565775,96.35408020019531,0.46119290590286255,0.9681644439697266,1.1748450342565775e-05,0.9635408020019531,0.004611929059028626
16,0.0011349740670993924,96.23955535888672,0.4182020425796509,0.9665889739990234,1.1349740670993924e-05,0.9623955535888672,0.004182020425796509
17,0.0010829092934727669,96.11946868896484,0.34968283772468567,0.9647023677825928,1.0829092934727668e-05,0.9611946868896485,0.0034968283772468566
18,0.001150564756244421,96.00708770751953,0.30394279956817627,0.963121771812439,1.150564756244421e-05,0.9600708770751953,0.0030394279956817627
19,0.001267742831259966,95.88525390625,0.29330047965049744,0.9617981910705566,1.2677428312599659e-05,0.9588525390625,0.0029330047965049743
20,0.0014052718179300427,95.76956176757812,0.30862581729888916,0.9607958793640137,1.4052718179300427e-05,0.9576956176757813,0.0030862581729888916
21,0.0016239738324657083,95.68161010742188,0.335503488779068,0.9601873755455017,1.6239738324657084e-05,0.9568161010742188,0.0033550348877906797
22,0.0016961091896519065,95.60147857666016,0.3611822724342346,0.959643542766571,1.6961091896519066e-05,0.9560147857666016,0.0036118227243423463
23,0.0019264764850959182,95.5055160522461,0.37622177600860596,0.9588366746902466,1.9264764850959183e-05,0.955055160522461,0.0037622177600860596
24,0.0019357296405360103,95.39842224121094,0.3856639862060547,0.9578602313995361,1.9357296405360103e-05,0.9539842224121093,0.003856639862060547
25,0.0018009431660175323,95.3276138305664,0.4150560796260834,0.9574446678161621,1.8009431660175323e-05,0.953276138305664,0.0041505607962608335
26,0.0017925535794347525,95.29507446289062,0.46502047777175903,0.9576188921928406,1.7925535794347524e-05,0.9529507446289063,0.004650204777717591
27,0.0018639358459040523,95.27249908447266,0.5076907277107239,0.9578205347061157,1.8639358459040522e-05,0.9527249908447266,0.0050769072771072385
28,0.0016527229454368353,95.25392150878906,0.5343837141990662,0.9578996300697327,1.6527229454368354e-05,0.9525392150878906,0.005343837141990662
29,0.0016885988879948854,95.2180404663086,0.5528666973114014,0.9577258825302124,1.6885988879948855e-05,0.952180404663086,0.005528666973114014
30,0.0017190679209306836,95.15359497070312,0.5695639252662659,0.9572487473487854,1.7190679209306836e-05,0.9515359497070313,0.005695639252662659
31,0.0017922264523804188,95.09455871582031,0.5823506712913513,0.9567870497703552,1.7922264523804186e-05,0.9509455871582031,0.005823506712913513
32,0.0017049252055585384,95.05360412597656,0.5756310820579529,0.9563093781471252,1.7049252055585383e-05,0.9505360412597657,0.0057563108205795285
33,0.001769878319464624,95.02234649658203,0.5488833785057068,0.9557299613952637,1.769878319464624e-05,0.9502234649658203,0.005488833785057068
34,0.0018278980860486627,94.99663543701172,0.522261381149292,0.9552072882652283,1.8278980860486627e-05,0.9499663543701172,0.00522261381149292
35,0.0018524306360632181,94.96832275390625,0.5088510513305664,0.9547902941703796,1.852430636063218e-05,0.9496832275390625,0.005088510513305664
36,0.0018322471296414733,94.93212127685547,0.5041544437408447,0.9543811082839966,1.832247129641473e-05,0.9493212127685546,0.005041544437408447
37,0.0019603599794209003,94.8958511352539,0.49839621782302856,0.9539620876312256,1.9603599794209005e-05,0.9489585113525391,0.004983962178230285
38,0.0019790898077189922,94.85992431640625,0.48618119955062866,0.9534808397293091,1.979089807718992e-05,0.9485992431640625,0.0048618119955062865
39,0.0019210842438042164,94.81651306152344,0.46818000078201294,0.9528661370277405,1.9210842438042164e-05,0.9481651306152343,0.00468180000782013
40,0.001969824777916074,94.76275634765625,0.4484085738658905,0.9521313309669495,1.969824777916074e-05,0.9476275634765625,0.004484085738658905
41,0.0020144712179899216,94.70062255859375,0.42996758222579956,0.9513260722160339,2.0144712179899217e-05,0.9470062255859375,0.004299675822257995
42,0.0019681460689753294,94.63407135009766,0.4131785035133362,0.9504921436309814,1.9681460689753293e-05,0.9463407135009766,0.004131785035133362
43,0.0020259437151253223,94.57097625732422,0.39692094922065735,0.9496992230415344,2.0259437151253222e-05,0.9457097625732422,0.003969209492206574
44,0.002072341740131378,94.51937866210938,0.3801579177379608,0.9490160942077637,2.072341740131378e-05,0.9451937866210938,0.003801579177379608
45,0.0020580689888447523,94.47344207763672,0.363064169883728,0.9483857154846191,2.0580689888447523e-05,0.9447344207763672,0.00363064169883728
46,0.0022339755669236183,94.42189025878906,0.34995222091674805,0.9477407932281494,2.2339755669236184e-05,0.9442189025878907,0.0034995222091674803
47,0.0021228869445621967,94.36117553710938,0.3454693853855133,0.9470876455307007,2.1228869445621968e-05,0.9436117553710938,0.003454693853855133
48,0.002281206427142024,94.28410339355469,0.349035382270813,0.9463542103767395,2.2812064271420242e-05,0.9428410339355469,0.0034903538227081298
49,0.0022742219734936953,94.18942260742188,0.35889381170272827,0.9455059170722961,2.2742219734936952e-05,0.9418942260742188,0.0035889381170272827
50,0.0023223639000207186,94.0860366821289,0.3747090697288513,0.9446306824684143,2.3223639000207187e-05,0.940860366821289,0.003747090697288513
51,0.0026915958151221275,93.97911834716797,0.39604344964027405,0.9437785148620605,2.6915958151221276e-05,0.9397911834716797,0.003960434496402741
52,0.0025627915747463703,93.87364959716797,0.41994401812553406,0.942961573600769,2.5627915747463703e-05,0.9387364959716797,0.00419944018125534
53,0.00270649092271924,93.76878356933594,0.43828463554382324,0.9420977830886841,2.70649092271924e-05,0.9376878356933593,0.004382846355438233
54,0.00258051510900259,93.66416931152344,0.4480868875980377,0.9411484003067017,2.58051510900259e-05,0.9366416931152344,0.0044808688759803775
55,0.00252485740929842,93.5579833984375,0.4567207098007202,0.9401722550392151,2.52485740929842e-05,0.935579833984375,0.004567207098007202
56,0.0027661246713250875,93.44329833984375,0.4732491970062256,0.9391931891441345,2.7661246713250874e-05,0.9344329833984375,0.0047324919700622555
57,0.002651441842317581,93.31600189208984,0.5011662840843201,0.9381982684135437,2.651441842317581e-05,0.9331600189208984,0.005011662840843201
58,0.0028467122465372086,93.19154357910156,0.5305708050727844,0.9372496008872986,2.8467122465372086e-05,0.9319154357910157,0.005305708050727844
59,0.0028841118328273296,93.09114074707031,0.5397419929504395,0.9363376498222351,2.8841118328273297e-05,0.9309114074707031,0.005397419929504394
60,0.002852433593943715,93.01046752929688,0.534223198890686,0.9354754686355591,2.852433593943715e-05,0.9301046752929687,0.00534223198890686
61,0.0029366242233663797,92.93576049804688,0.5384576320648193,0.9347715973854065,2.9366242233663798e-05,0.9293576049804687,0.005384576320648193
62,0.003032548353075981,92.86656188964844,0.5557861328125,0.9342537522315979,3.0325483530759813e-05,0.9286656188964844,0.005557861328125
63,0.003059371840208769,92.81432342529297,0.5707675814628601,0.9338815212249756,3.0593718402087686e-05,0.9281432342529297,0.005707675814628601
