step,loss,rolling_std
1,0.0013090851716697216,
2,0.0017075034556910396,0.0002817242703801818
3,0.0015807097079232335,0.00020354920462074724
4,0.001396257197484374,0.00017960363678340687
5,0.0015765512362122536,0.00015942073405081011
6,0.0016952306032180786,0.00016063864739091884
7,0.001620525261387229,0.00014945133246770556
8,0.0013696248643100262,0.0001531211676915044
9,0.0012687805574387312,0.00016795790755062066
10,0.0013904827646911144,0.00016227945370171005
11,0.0014133260119706392,0.00015574455366947366
12,0.0015555511927232146,0.0001499115226756207
13,0.0015836376696825027,0.0001458450894399498
14,0.0015328442677855492,0.00014044178979717446
15,0.0014555000234395266,0.00013582013738356816
16,0.0016474289586767554,0.0001364948435680558
17,0.0012985450448468328,0.00014145241029480218
18,0.001658754888921976,0.00014260417182208337
19,0.0014490444445982575,0.00013914525725782688
20,0.0015049203066155314,0.0001354376649933314
21,0.0014644284965470433,0.00013224558277333905
22,0.0016927539836615324,0.00013550906080163867
23,0.0015139759052544832,0.00013239976678799993
24,0.0016950954450294375,0.00013500028127744575
25,0.0014217819552868605,0.00013349044548916078
26,0.0016856295987963676,0.0001351486985850019
27,0.0016709750052541494,0.00013572287846811478
28,0.0013721068389713764,0.00013626018656982
29,0.0017378547927364707,0.00013984235384764665
30,0.0014038743684068322,0.00013922245621291544
31,0.0012403851142153144,0.00014595489080247752
32,0.0014421726809814572,0.00014413140844598846
33,0.0016347832279279828,0.0001434859200314787
34,0.0015899393474683166,0.00014188076050341064
35,0.0014698345912620425,0.0001400064630617083
36,0.0015623241197317839,0.00013821039156406987
37,0.0015097963623702526,0.0001362824382404057
38,0.0014298198511824012,0.00013516685005164644
39,0.001543346093967557,0.00013345631930484816
40,0.0015953477704897523,0.00013234143119942774
41,0.0014683147892355919,0.00013090009874576264
42,0.0016241315752267838,0.00013036467060436615
43,0.0015499445144087076,0.0001288917859574178
44,0.0014658980071544647,0.0001276390422778446
45,0.0014611578080803156,0.0001264660089063876
46,0.0014431283343583345,0.0001255249359625658
47,0.001412886194884777,0.0001250482796898706
48,0.0015125899808481336,0.00012371084891668295
