query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
147,0.6666666666666666,0.6666666666666666,0.7950247752528401,0.899484558598233,0.003374071791768074,0.2,0-1
148,1.0,1.0,1.0,1.0,0.0033243559300899506,0.06666666666666667,0-1
149,0.7333333333333333,0.7333333333333333,0.8528145309085847,0.9285451808947105,0.009446375072002411,0.06666666666666667,0-1
150,0.6666666666666666,0.6666666666666666,0.6587284896349066,0.7746565301046393,0.009575300849974155,0.0,0-1
151,0.9333333333333333,0.9333333333333333,0.9751741201467845,0.9893896071494789,0.0016595134511590004,0.13333333333333333,0-1
152,0.8,0.8,0.8812068281029998,0.9422550807481301,0.0015542823821306229,0.0,0-1
153,0.8,0.8,0.8837468856483308,0.9423321013662584,0.0016925903037190437,0.0,0-1
154,0.7333333333333333,0.7333333333333333,0.9444946963868848,0.9720161955990628,0.0014243507757782936,0.06666666666666667,0-1
155,0.9333333333333333,0.9333333333333333,0.9357465211805005,0.965543649287101,0.0013789543882012367,0.26666666666666666,0-1
156,0.9333333333333333,0.9333333333333333,0.9604861534070543,0.9816064448552324,0.001617426984012127,0.26666666666666666,0-1
157,0.6666666666666666,0.6666666666666666,0.5858909579938261,0.6899496940829198,0.001683587208390236,0.0,0-1
158,0.8,0.8,0.9031934909191992,0.9515251053029754,0.001360955648124218,0.06666666666666667,0-1
159,0.7333333333333333,0.7333333333333333,0.8204951049015647,0.8937296785057726,0.001497793011367321,0.06666666666666667,0-1
160,0.9333333333333333,0.9333333333333333,0.9694425333183497,0.9859929001627671,0.0013119624927639961,0.06666666666666667,0-1
161,0.8666666666666667,0.8666666666666667,0.8785136618549954,0.9278257050546721,0.00150234904140234,0.06666666666666667,0-1
162,1.0,1.0,1.0,1.0,0.0015485985204577446,0.06666666666666667,0-1
163,0.7333333333333333,0.7333333333333333,0.9054539127892683,0.9546844327599014,0.0015765856951475143,0.13333333333333333,0-1
164,0.8666666666666667,0.8666666666666667,0.8701927252513836,0.9300402107616885,0.0014224238693714142,0.26666666666666666,0-1
