context,teacher,w,scale,query_index,step,optimization_time,attraction_norm,repulsion_norm,weighted_attraction_norm,weighted_repulsion_norm,repulsion_fraction,zero_denominator,preclip_norm,clipped,finite
temporal0,Uniform,0.0,2,3175,0,0.0,3.760935068130493,0.56549072265625,7.521870136260986,0.0,0.0,False,7.521870136260986,True,True
temporal0,Uniform,0.0,2,3175,1,0.005,1.1915652751922607,0.20331092178821564,2.3831305503845215,0.0,0.0,False,2.3831305503845215,False,True
temporal0,Uniform,0.0,2,3175,10,0.05,1.4856634140014648,0.08972276747226715,2.9713268280029297,0.0,0.0,False,2.9713268280029297,False,True
temporal0,Uniform,0.0,2,3175,50,0.25,0.39503777027130127,0.05827847495675087,0.7900755405426025,0.0,0.0,False,0.7900755405426025,False,True
temporal0,Uniform,0.0,2,3175,100,0.5,2.1084554195404053,0.17126886546611786,4.2169108390808105,0.0,0.0,False,4.2169108390808105,True,True
temporal0,Uniform,0.0,2,3175,199,0.995,0.24878720939159393,0.043827082961797714,0.49757441878318787,0.0,0.0,False,0.49757441878318787,False,True
temporal0,Uniform,0.0,2,7113,0,0.0,0.8109220266342163,1.1407004594802856,1.6218440532684326,0.0,0.0,False,1.6218440532684326,False,True
temporal0,Uniform,0.0,2,7113,1,0.005,0.09660603106021881,0.11391782760620117,0.19321206212043762,0.0,0.0,False,0.19321206212043762,False,True
temporal0,Uniform,0.0,2,7113,10,0.05,1.9820016622543335,0.1997581422328949,3.964003324508667,0.0,0.0,False,3.964003324508667,False,True
temporal0,Uniform,0.0,2,7113,50,0.25,0.4761054217815399,0.14523202180862427,0.9522108435630798,0.0,0.0,False,0.9522108435630798,False,True
temporal0,Uniform,0.0,2,7113,100,0.5,0.6234346032142639,0.7683795690536499,1.2468692064285278,0.0,0.0,False,1.2468692064285278,False,True
temporal0,Uniform,0.0,2,7113,199,0.995,0.07366252690553665,0.5435734391212463,0.1473250538110733,0.0,0.0,False,0.1473250538110733,False,True
temporal0,Uniform,0.0,2,4145,0,0.0,0.3477141857147217,0.7638750076293945,0.6954283714294434,0.0,0.0,False,0.6954283714294434,False,True
temporal0,Uniform,0.0,2,4145,1,0.005,1.4068907499313354,0.05731545388698578,2.813781499862671,0.0,0.0,False,2.813781499862671,False,True
temporal0,Uniform,0.0,2,4145,10,0.05,1.6102348566055298,0.045385394245386124,3.2204697132110596,0.0,0.0,False,3.2204697132110596,False,True
temporal0,Uniform,0.0,2,4145,50,0.25,1.9948673248291016,0.10715341567993164,3.989734649658203,0.0,0.0,False,3.989734649658203,False,True
temporal0,Uniform,0.0,2,4145,100,0.5,1.0142241716384888,0.1776883900165558,2.0284483432769775,0.0,0.0,False,2.0284483432769775,False,True
temporal0,Uniform,0.0,2,4145,199,0.995,0.14741569757461548,0.13305114209651947,0.29483139514923096,0.0,0.0,False,0.29483139514923096,False,True
temporal0,Uniform,0.0,2,7787,0,0.0,2.1586408615112305,1.0541828870773315,4.317281723022461,0.0,0.0,False,4.317281723022461,False,True
temporal0,Uniform,0.0,2,7787,1,0.005,0.5923328399658203,0.26513195037841797,1.1846656799316406,0.0,0.0,False,1.1846656799316406,False,True
temporal0,Uniform,0.0,2,7787,10,0.05,1.9412343502044678,0.03613340109586716,3.8824687004089355,0.0,0.0,False,3.8824687004089355,False,True
temporal0,Uniform,0.0,2,7787,50,0.25,3.079334259033203,0.13534028828144073,6.158668518066406,0.0,0.0,False,6.158668518066406,True,True
temporal0,Uniform,0.0,2,7787,100,0.5,2.7347686290740967,0.11216934025287628,5.469537258148193,0.0,0.0,False,5.469537258148193,True,True
temporal0,Uniform,0.0,2,7787,199,0.995,0.29001879692077637,0.25839242339134216,0.5800375938415527,0.0,0.0,False,0.5800375938415527,False,True
temporal0,Uniform,0.0,2,1916,0,0.0,1.616416096687317,0.922569751739502,3.232832193374634,0.0,0.0,False,3.232832193374634,False,True
temporal0,Uniform,0.0,2,1916,1,0.005,0.10210268944501877,0.16936859488487244,0.20420537889003754,0.0,0.0,False,0.20420537889003754,False,True
temporal0,Uniform,0.0,2,1916,10,0.05,1.8351216316223145,0.14917342364788055,3.670243263244629,0.0,0.0,False,3.670243263244629,False,True
temporal0,Uniform,0.0,2,1916,50,0.25,2.0291688442230225,0.12027983367443085,4.058337688446045,0.0,0.0,False,4.058337688446045,False,True
temporal0,Uniform,0.0,2,1916,100,0.5,3.559046745300293,0.14741969108581543,7.118093490600586,0.0,0.0,False,7.118093490600586,True,True
temporal0,Uniform,0.0,2,1916,199,0.995,0.34497717022895813,0.3164847791194916,0.6899543404579163,0.0,0.0,False,0.6899543404579163,False,True
temporal0,Uniform,0.0,2,10591,0,0.0,1.6741278171539307,0.3070375323295593,3.3482556343078613,0.0,0.0,False,3.3482556343078613,False,True
temporal0,Uniform,0.0,2,10591,1,0.005,0.8037446141242981,0.2208116501569748,1.6074892282485962,0.0,0.0,False,1.6074892282485962,False,True
temporal0,Uniform,0.0,2,10591,10,0.05,1.695662498474121,0.13800127804279327,3.391324996948242,0.0,0.0,False,3.391324996948242,False,True
temporal0,Uniform,0.0,2,10591,50,0.25,2.99879789352417,0.31325364112854004,5.99759578704834,0.0,0.0,False,5.99759578704834,True,True
temporal0,Uniform,0.0,2,10591,100,0.5,2.252088785171509,0.3526764512062073,4.504177570343018,0.0,0.0,False,4.504177570343018,True,True
temporal0,Uniform,0.0,2,10591,199,0.995,0.33459529280662537,0.67879319190979,0.6691905856132507,0.0,0.0,False,0.6691905856132507,False,True
temporal0,Uniform,0.0,2,182,0,0.0,2.810260534286499,0.30496954917907715,5.620521068572998,0.0,0.0,False,5.620521068572998,True,True
temporal0,Uniform,0.0,2,182,1,0.005,1.4028565883636475,0.18511953949928284,2.805713176727295,0.0,0.0,False,2.805713176727295,False,True
temporal0,Uniform,0.0,2,182,10,0.05,1.5145249366760254,0.23092639446258545,3.029049873352051,0.0,0.0,False,3.029049873352051,False,True
temporal0,Uniform,0.0,2,182,50,0.25,1.7059019804000854,0.10964862257242203,3.411803960800171,0.0,0.0,False,3.411803960800171,False,True
temporal0,Uniform,0.0,2,182,100,0.5,0.9215390682220459,0.1944897323846817,1.8430781364440918,0.0,0.0,False,1.8430781364440918,False,True
temporal0,Uniform,0.0,2,182,199,0.995,0.1448477953672409,0.16781292855739594,0.2896955907344818,0.0,0.0,False,0.2896955907344818,False,True
temporal0,Uniform,0.0,2,10682,0,0.0,1.1701395511627197,0.15069444477558136,2.3402791023254395,0.0,0.0,False,2.3402791023254395,False,True
temporal0,Uniform,0.0,2,10682,1,0.005,1.6516615152359009,0.2181597352027893,3.3033230304718018,0.0,0.0,False,3.3033230304718018,False,True
temporal0,Uniform,0.0,2,10682,10,0.05,2.002086639404297,0.12198754400014877,4.004173278808594,0.0,0.0,False,4.004173278808594,False,True
temporal0,Uniform,0.0,2,10682,50,0.25,2.0918734073638916,0.20391474664211273,4.183746814727783,0.0,0.0,False,4.183746814727783,True,True
temporal0,Uniform,0.0,2,10682,100,0.5,2.412404775619507,0.15092676877975464,4.824809551239014,0.0,0.0,False,4.824809551239014,True,True
temporal0,Uniform,0.0,2,10682,199,0.995,0.19347763061523438,0.2349916249513626,0.38695526123046875,0.0,0.0,False,0.38695526123046875,False,True
temporal0,Uniform,0.2,2,3175,0,0.0,3.760935068130493,0.56549072265625,6.017496109008789,0.2261962890625,0.03622796810624003,False,6.116664409637451,True,True
temporal0,Uniform,0.2,2,3175,1,0.005,1.3097957372665405,0.2886948883533478,2.095673179626465,0.11547795534133912,0.05222526561623774,False,1.981850028038025,False,True
temporal0,Uniform,0.2,2,3175,10,0.05,1.6214629411697388,0.08151395618915558,2.5943407058715824,0.03260558247566223,0.01241197150482136,False,2.5706989765167236,False,True
temporal0,Uniform,0.2,2,3175,50,0.25,0.7826854586601257,0.13729119300842285,1.2522967338562012,0.054916477203369146,0.042010344401932895,False,1.3007569313049316,False,True
temporal0,Uniform,0.2,2,3175,100,0.5,1.8392252922058105,0.18827728927135468,2.942760467529297,0.07531091570854187,0.024953324870582428,False,3.017092227935791,False,True
temporal0,Uniform,0.2,2,3175,199,0.995,0.24239279329776764,0.04396882280707359,0.3878284692764282,0.01758752912282944,0.043381438306016394,False,0.39027172327041626,False,True
temporal0,Uniform,0.2,2,7113,0,0.0,0.8109220266342163,1.1407004594802856,1.2974752426147462,0.45628018379211427,0.2601732128219001,False,1.575513243675232,False,True
temporal0,Uniform,0.2,2,7113,1,0.005,0.10662125796079636,0.10467863082885742,0.17059401273727418,0.04187145233154297,0.19707415658342822,False,0.15830570459365845,False,True
temporal0,Uniform,0.2,2,7113,10,0.05,1.4848284721374512,0.2565300464630127,2.375725555419922,0.10261201858520508,0.04140356812626559,False,2.469801664352417,False,True
temporal0,Uniform,0.2,2,7113,50,0.25,0.35249221324920654,0.10517587512731552,0.5639875411987305,0.042070350050926214,0.06941638853044148,False,0.5932658314704895,False,True
temporal0,Uniform,0.2,2,7113,100,0.5,0.7719751596450806,0.49545618891716003,1.235160255432129,0.19818247556686402,0.13826593687661662,False,1.428579568862915,False,True
temporal0,Uniform,0.2,2,7113,199,0.995,0.09368123859167099,0.5310128927230835,0.1498899817466736,0.2124051570892334,0.5862765859120105,False,0.17423030734062195,False,True
temporal0,Uniform,0.2,2,4145,0,0.0,0.3477141857147217,0.7638750076293945,0.5563426971435547,0.30555000305175783,0.3545104895104895,False,0.8212849497795105,False,True
temporal0,Uniform,0.2,2,4145,1,0.005,1.3587260246276855,0.06761548668146133,2.173961639404297,0.027046194672584536,0.012288095595955888,False,2.176147699356079,False,True
temporal0,Uniform,0.2,2,4145,10,0.05,2.0933218002319336,0.19674016535282135,3.349314880371094,0.07869606614112855,0.022956772125012223,False,3.4042720794677734,False,True
temporal0,Uniform,0.2,2,4145,50,0.25,2.067683458328247,0.02348841354250908,3.3082935333251955,0.009395365417003632,0.002831900670543763,False,3.3100478649139404,False,True
temporal0,Uniform,0.2,2,4145,100,0.5,1.638461947441101,0.17461898922920227,2.6215391159057617,0.0698475956916809,0.025952270400496864,False,2.5882649421691895,False,True
temporal0,Uniform,0.2,2,4145,199,0.995,0.19280031323432922,0.13185226917266846,0.30848050117492676,0.05274090766906739,0.14600714790923525,False,0.26912373304367065,False,True
temporal0,Uniform,0.2,2,7787,0,0.0,2.1586408615112305,1.0541828870773315,3.453825378417969,0.42167315483093265,0.10880488051105938,False,3.6667118072509766,False,True
temporal0,Uniform,0.2,2,7787,1,0.005,0.4661751389503479,0.19682985544204712,0.7458802223205567,0.07873194217681885,0.09547754152378796,False,0.7429182529449463,False,True
temporal0,Uniform,0.2,2,7787,10,0.05,1.920015811920166,0.06423122435808182,3.0720252990722656,0.025692489743232728,0.008294005940759694,False,3.055642604827881,False,True
temporal0,Uniform,0.2,2,7787,50,0.25,2.1798858642578125,0.20775070786476135,3.4878173828125,0.08310028314590455,0.023271408338002418,False,3.406149387359619,False,True
temporal0,Uniform,0.2,2,7787,100,0.5,1.824893593788147,0.09584616869688034,2.9198297500610355,0.038338467478752136,0.012960205322818658,False,2.884129285812378,False,True
temporal0,Uniform,0.2,2,7787,199,0.995,0.3934928774833679,0.26231566071510315,0.6295886039733887,0.10492626428604127,0.14285111005946502,False,0.5603463649749756,False,True
temporal0,Uniform,0.2,2,1916,0,0.0,1.616416096687317,0.922569751739502,2.586265754699707,0.3690279006958008,0.12487012924149282,False,2.9415578842163086,False,True
temporal0,Uniform,0.2,2,1916,1,0.005,0.10731636732816696,0.17130790650844574,0.17170618772506716,0.0685231626033783,0.2852405940809994,False,0.12372758239507675,False,True
temporal0,Uniform,0.2,2,1916,10,0.05,1.9180527925491333,0.16213127970695496,3.0688844680786134,0.06485251188278199,0.02069494418245047,False,3.1331090927124023,False,True
temporal0,Uniform,0.2,2,1916,50,0.25,2.270409107208252,0.12657758593559265,3.6326545715332035,0.05063103437423706,0.013746160301289816,False,3.587689161300659,False,True
temporal0,Uniform,0.2,2,1916,100,0.5,2.8740298748016357,0.14079466462135315,4.598447799682617,0.05631786584854126,0.012098969077128567,False,4.5510735511779785,True,True
temporal0,Uniform,0.2,2,1916,199,0.995,0.40879392623901367,0.3166254162788391,0.6540702819824219,0.12665016651153566,0.16222217152868112,False,0.6024333238601685,False,True
temporal0,Uniform,0.2,2,10591,0,0.0,1.6741278171539307,0.3070375323295593,2.6786045074462894,0.12281501293182373,0.04384027884379386,False,2.7758331298828125,False,True
temporal0,Uniform,0.2,2,10591,1,0.005,0.9683040976524353,0.2204509973526001,1.5492865562438967,0.08818039894104004,0.05385171203719399,False,1.6348192691802979,False,True
temporal0,Uniform,0.2,2,10591,10,0.05,0.9155908823013306,0.27901723980903625,1.464945411682129,0.1116068959236145,0.07079174943019056,False,1.3704681396484375,False,True
temporal0,Uniform,0.2,2,10591,50,0.25,2.1323776245117188,0.26843664050102234,3.41180419921875,0.10737465620040894,0.030511281356178716,False,3.307647228240967,False,True
temporal0,Uniform,0.2,2,10591,100,0.5,2.766878604888916,0.2155434489250183,4.427005767822266,0.08621737957000733,0.019103283120362326,False,4.397071361541748,False,True
temporal0,Uniform,0.2,2,10591,199,0.995,0.5528383255004883,0.6740397214889526,0.8845413208007813,0.26961588859558105,0.23360412810365175,False,0.6483305096626282,False,True
temporal0,Uniform,0.2,2,182,0,0.0,2.810260534286499,0.30496954917907715,4.496416854858398,0.12198781967163086,0.026413410748603226,False,4.617470741271973,True,True
temporal0,Uniform,0.2,2,182,1,0.005,1.4053027629852295,0.18895243108272552,2.2484844207763675,0.07558097243309021,0.03252101797734503,False,2.18223237991333,False,True
temporal0,Uniform,0.2,2,182,10,0.05,1.221443772315979,0.2327747344970703,1.9543100357055665,0.09310989379882813,0.04547669603927643,False,1.8618459701538086,False,True
temporal0,Uniform,0.2,2,182,50,0.25,1.3406721353530884,0.14929279685020447,2.1450754165649415,0.05971711874008179,0.027085141927796028,False,2.2047297954559326,False,True
temporal0,Uniform,0.2,2,182,100,0.5,0.7671228051185608,0.20483410358428955,1.2273964881896973,0.08193364143371583,0.06257676317070732,False,1.1805638074874878,False,True
temporal0,Uniform,0.2,2,182,199,0.995,0.15149155259132385,0.16791042685508728,0.2423864841461182,0.06716417074203491,0.2169731179095799,False,0.25026753544807434,False,True
temporal0,Uniform,0.2,2,10682,0,0.0,1.1701395511627197,0.15069444477558136,1.8722232818603517,0.06027777791023255,0.031191588540390443,False,1.8245620727539062,False,True
temporal0,Uniform,0.2,2,10682,1,0.005,1.8342360258102417,0.19909943640232086,2.934777641296387,0.07963977456092836,0.026419623951873434,False,2.874532699584961,False,True
temporal0,Uniform,0.2,2,10682,10,0.05,2.019883871078491,0.13292473554611206,3.231814193725586,0.05316989421844483,0.016185738741803832,False,3.270989418029785,False,True
temporal0,Uniform,0.2,2,10682,50,0.25,1.6342226266860962,0.16227257251739502,2.614756202697754,0.06490902900695801,0.02422281270025103,False,2.6025259494781494,False,True
temporal0,Uniform,0.2,2,10682,100,0.5,2.3947787284851074,0.1464039385318756,3.831645965576172,0.05856157541275025,0.015053586420703771,False,3.7756645679473877,False,True
temporal0,Uniform,0.2,2,10682,199,0.995,0.17820793390274048,0.23515936732292175,0.28513269424438475,0.0940637469291687,0.24806073242158122,False,0.26875561475753784,False,True
temporal0,Uniform,0.3333333333333333,2,3175,0,0.0,3.760935068130493,0.56549072265625,5.014580090840658,0.37699381510416663,0.06992277610967884,False,5.185398578643799,True,True
temporal0,Uniform,0.3333333333333333,2,3175,1,0.005,1.4013944864273071,0.3127114772796631,1.8685259819030764,0.20847431818644205,0.1003727915578331,False,1.6667026281356812,False,True
temporal0,Uniform,0.3333333333333333,2,3175,10,0.05,1.7276197671890259,0.10212212055921555,2.3034930229187016,0.06808141370614369,0.028707264108916247,False,2.289677381515503,False,True
temporal0,Uniform,0.3333333333333333,2,3175,50,0.25,0.48734256625175476,0.0922800600528717,0.6497900883356731,0.0615200400352478,0.0864883509758875,False,0.6677308678627014,False,True
temporal0,Uniform,0.3333333333333333,2,3175,100,0.5,1.004594087600708,0.18342094123363495,1.3394587834676108,0.12228062748908997,0.08365419073503529,False,1.4538275003433228,False,True
temporal0,Uniform,0.3333333333333333,2,3175,199,0.995,0.22197255492210388,0.04413960129022598,0.29596340656280523,0.029426400860150654,0.09043430429860065,False,0.30032816529273987,False,True
