metric,method,coil20,coil100,pancreas,pancreas_batch_corrected,fashion_mnist,mnist_oos,organoid,embryoid_body,mean,median,n_datasets,mean_rank,median_rank,n_rank_datasets,wins,top2
recall_at_5,no_repulsion,0.6188888888888888,0.5608888888888889,0.14020089762769822,0.0638597991023723,0.2145,0.1885,0.10548302872062665,0.050692877860135356,0.24287679763607628,0.1643504488138491,8,2.5,3.0,8,2.0,2.0
recall_at_5,numap,0.06277777777777778,0.04400000000000001,0.005257533661038684,0.004103440906176533,0.008,0.0201,0.005221932114882507,0.002578150177247825,0.019004854329640417,0.006628766830519342,8,7.0,7.0,8,0.0,0.0
recall_at_5,ours,0.6283333333333333,0.5586666666666666,0.13840564223124596,0.07980337678991238,0.2187,0.19560000000000002,0.1122715404699739,0.0543989687399291,0.24827244102888263,0.16700282111562298,8,1.375,1.0,8,5.0,8.0
recall_at_5,ours_oracle_neighbors,0.6277777777777778,0.5584444444444445,0.13836289805514002,0.07971788843770036,0.2194,0.1952,0.110443864229765,0.053109893651305196,0.24780709582451663,0.16678144902757003,8,2.125,2.0,8,1.0,6.0
recall_at_5,paramrepulsor,0.36555555555555563,0.21600000000000003,0.03500748023081855,0.01598632186364608,0.0638,0.0533,0.026370757180156662,0.019497260715436674,0.0994396719432017,0.044153740115409276,8,5.125,5.0,8,0.0,0.0
recall_at_5,spectral_only,0.21944444444444444,0.30988888888888894,0.026886086770677498,0.004787347723872622,0.039,0.027800000000000002,0.024281984334203657,0.006090879793747985,0.08227245399447941,0.02734304338533875,8,5.875,6.0,8,0.0,0.0
recall_at_5,standard_umap,0.5461111111111111,0.4630000000000001,0.09848258174823679,0.04035050224406925,0.16,0.13340000000000002,0.06631853785900783,0.03364485981308411,0.19266344909693867,0.1159412908741184,8,4.0,4.0,8,0.0,0.0
recall_at_10,no_repulsion,0.7477777777777778,0.6700555555555555,0.1969224193203676,0.08730497969651635,0.26780000000000004,0.23835000000000003,0.1314621409921671,0.07080244924266837,0.3013094153231316,0.21763620966018382,8,2.3125,3.0,8,3.0,3.0
recall_at_10,numap,0.08277777777777778,0.05794444444444445,0.009895276768540285,0.007181021585808934,0.012950000000000001,0.03225,0.011618798955613577,0.004785691266516274,0.027425376349837664,0.012284399477806789,8,7.0,7.0,8,0.0,0.0
recall_at_10,ours,0.7466666666666667,0.6700555555555556,0.19690104723231458,0.10309895276768541,0.2691,0.2424,0.14308093994778068,0.07447631324524655,0.3057224344269062,0.21965052361615728,8,1.6875,2.0,8,3.0,8.0
