dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
fashion_mnist,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,ok,2000,0,0.30290000000000006,0.2859666666666667,0.01693333333333333,0.0,0.011566666666666668,0.0222,0.4455,0.235,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,930258761630246709,higher,0.0007999200079992001
fashion_mnist,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,ok,2000,0,0.3919148725468671,0.37905511366370287,0.012859758883164159,0.01428922567994284,0.00766528697792189,0.01802662728119819,0.554,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,7909610837669023737,higher,0.005599440055994401
fashion_mnist,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/advanced_per_query.csv,ok,2000,0,0.2845988152159605,0.3841399929880161,0.09954117777205565,0.06560057434360332,0.08795964455402586,0.11122840808626018,0.6325,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,15780392175044885163,lower,0.003999600039996
mnist_oos,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,ok,2000,0,0.26966666666666667,0.23773333333333335,0.03193333333333333,0.0,0.026233333333333338,0.03763333333333333,0.4895,0.217,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,3066505257036215175,higher,0.0007999200079992001
mnist_oos,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,ok,2000,0,0.3486548689158061,0.32253489094358606,0.026119977972220074,0.024760222741580695,0.02075044600287578,0.03143131895634417,0.592,0.0015,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,7782053935860509675,higher,0.005599440055994401
mnist_oos,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/advanced_per_query.csv,ok,2000,0,0.282414811442669,0.38885594461057343,0.10644113316790442,0.08432468145838026,0.09473221376945049,0.11784877038824979,0.661,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,12753369708137294921,lower,0.003999600039996
organoid,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,ok,766,0,0.1630113141862489,0.14604003481288075,0.016971279373368148,0.0,0.010269799825935597,0.02384682332463011,0.42950391644908614,0.2885117493472585,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,10109844495060148285,higher,0.0007999200079992001
organoid,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,ok,766,0,0.2280536089511471,0.20644796163146126,0.02160564731968583,0.02332298063250149,0.015310103429637952,0.027902552451289628,0.6031331592689295,0.0026109660574412533,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,7900386557935480641,higher,0.005599440055994401
organoid,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/advanced_per_query.csv,ok,766,0,0.41747073921158434,0.5720026395499394,0.15453190033835495,0.13165557135117795,0.12949113218621944,0.17970216804079922,0.7101827676240209,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,1427146103939917043,lower,0.003999600039996
embryoid_body,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,ok,6206,0,0.09058975185304545,0.07737673219465034,0.013213019658395102,0.0,0.010967880545708453,0.015436674186271352,0.3717370286819207,0.36545278762487915,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,15536858928045767805,higher,0.0007999200079992001
embryoid_body,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,ok,6206,0,0.1308434519413982,0.1171470562930321,0.013696395648366118,0.01015276703471496,0.011565239160946449,0.01584186122419002,0.5525298098614244,0.03335481791814373,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,12281122703883686669,higher,0.005599440055994401
embryoid_body,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/advanced_per_query.csv,ok,6206,0,0.3502894403521624,0.4959845338716492,0.14569509351948676,0.10618695760453212,0.13740859003758343,0.15419907016677745,0.6601675797615211,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,3308158732144920439,lower,0.003999600039996
