method,coil20,coil100,pancreas,pancreas_batch_corrected,fashion_mnist,mnist_oos,organoid,embryoid_body,mean_recall15,median_recall15,n_datasets,mean_rank,median_rank,n_rank_datasets,wins,top2
no_repulsion,0.7757407407407407,0.6935925925925926,0.23581961957683262,0.1046092469900976,0.3013,0.26683333333333337,0.15535248041775457,0.0867332688795789,0.3274976603163663,0.251326476455083,8,3.0,3.0,4,0.0,0.0
numap,0.09518518518518518,0.06855555555555555,0.013364679062477737,0.010059129443613308,0.017900000000000003,0.04156666666666666,0.01845082680591819,0.006520571489955957,0.033950326776171574,0.018175413402959098,8,9.0,9.0,4,0.0,0.0
ours,0.773888888888889,0.6938148148148148,0.2365462705706348,0.11697656194343518,0.30290000000000006,0.26966666666666667,0.1630113141862489,0.09058975185304545,0.33092428361546683,0.2531064686186507,8,1.5,1.5,4,2.0,4.0
ours_oracle_neighbors,0.7740740740740741,0.6938888888888889,0.2366602550402508,0.11733276341098525,0.3033666666666667,0.26956666666666673,0.1641427328111401,0.08956923407455149,0.33107516020415306,0.25311346085345876,8,1.5,1.5,4,2.0,4.0
paramrepulsor,0.6016666666666667,0.44370370370370377,0.09380921849398019,0.04083493623993731,0.1385,0.1176,0.06762402088772847,0.04858738854871629,0.1940407418175916,0.1057046092469901,8,7.0,7.0,4,0.0,0.0
reduced_repulsion_umap,NaN,NaN,NaN,NaN,0.2893,0.23943333333333333,0.14612706701479547,0.07556128477817166,0.1876054212815751,0.1927802001740644,4,4.25,4.0,4,0.0,0.0
spectral_only,0.32925925925925925,0.38662962962962966,0.05744817268647146,0.01145543919640949,0.07986666666666667,0.05553333333333333,0.0536118363794604,0.01601675797615211,0.1237276368909228,0.056490753009902396,8,8.0,8.0,4,0.0,0.0
standard_umap,0.7611111111111111,0.6773703703703704,0.21044382702856732,0.09031844411198975,0.2859666666666667,0.23773333333333335,0.14604003481288075,0.07737673219465034,0.31079506495369624,0.22408858018095035,8,4.75,5.0,4,0.0,0.0
weighted_knn,NaN,NaN,NaN,NaN,0.2557,0.20456666666666667,0.11201044386422976,0.06084434418304867,0.15828036367848627,0.15828855526544822,4,6.0,6.0,4,0.0,0.0
