method,scope,recall_at_15_mean,recall_at_15_median,recall_at_15_count,delta_vs_ours_mean,delta_vs_ours_median,delta_vs_ours_count,ndcg_mean,ndcg_median,ndcg_count,local_displacement_mean,local_displacement_median,local_displacement_count
exact_repulsion_diagnostic,subset,0.20333333333333334,0.21666666666666667,4,-0.002333333333333326,-0.0013333333333333253,4,NaN,NaN,0,NaN,NaN,0
no_repulsion,full,0.3274976603163663,0.251326476455083,8,-0.0034266232991005414,-0.0022166666666666723,8,0.3868760211707298,0.33329650023502827,8,0.3046397645613891,0.3027591119698888,8
ours,full,0.33092428361546683,0.2531064686186507,8,0.0,0.0,8,0.3907897434927441,0.3348150283649183,8,0.34317490873747875,0.3290580348611629,8
ours_oracle_neighbors,full,0.331075160204153,0.25311346085345876,8,0.00015087658868616176,0.00014958482740058676,8,0.3900456918183836,0.3343308334029138,8,0.33309439360909765,0.31139400670885714,8
repulsion_oracle_diagnostic,subset,0.33399999999999996,0.2693333333333333,8,0.0011666666666666405,0.0033333333333332993,8,0.3930196580971319,0.34205863298792094,8,0.3702353596374598,0.3953060183176055,8
