step,loss,rolling_std
1,0.00013999607472214848,
2,0.0006718744989484549,0.00037609484053723654
3,0.00018800326506607234,0.0002942025151323024
4,0.00024767755530774593,0.00024399967360499148
5,0.0002439275849610567,0.00021348442571734642
6,0.00027891830541193485,0.00019111007615522482
7,0.00019091258582193404,0.00017884517192951008
8,0.00016456746379844844,0.0001705497375282506
9,0.00013590059825219214,0.00016530063100309497
10,0.00015596422599628568,0.00015873664203435594
11,0.00015190085105132312,0.00015300941883883925
12,0.00014055054634809494,0.00014834118340585444
13,0.000151014857692644,0.00014353443424633262
14,0.0001435408485122025,0.000139412846572388
15,0.00011671393440337852,0.00013669954155922975
16,0.00013639574171975255,0.00013327528709965666
17,0.00014761113561689854,0.00012975616407027621
18,0.00012237162445671856,0.00012721571555017618
19,0.00031930499244481325,0.00012682691832599974
20,0.0001489067217335105,0.00012402417933741564
21,0.00015628556138835847,0.00012125623796396867
22,0.00013946430408395827,0.00011898421874445277
23,0.00010925907554337755,0.00011761792092954495
24,0.00013448705431073904,0.00011561671788968301
25,0.0002927157038357109,0.00011506820329532429
26,0.00013665895676240325,0.00011328600710952831
27,0.0002784073003567755,0.00011235366977629328
28,0.00013556293561123312,0.00011080885212861325
29,0.00013291649520397186,0.00010936579120706953
30,0.0001399455068167299,0.00010785247260679324
31,0.00013520273205358535,0.00010646914167817513
32,0.00012604251969605684,0.0001052848496049401
33,0.0001687476906226948,0.00010366429783112763
34,0.00012159488687757403,0.00010264633350083313
35,0.00012190409324830398,0.00010164212376025984
36,0.00012168717512395233,0.00010066157665072861
37,0.00012021035217912868,9.97244121177757e-05
38,0.00010679768456611782,9.903377158993692e-05
39,0.0001297716808039695,9.799751926159414e-05
40,0.00013667192251887172,9.691727098205568e-05
41,0.00015272253949660808,9.5753185987501e-05
42,0.00015157605230342597,9.463602601041078e-05
43,0.00012381029955577105,9.379688249838937e-05
44,0.0001290511281695217,9.29189826563107e-05
45,0.0001896094181574881,9.190164609668023e-05
46,0.00010912374273175374,9.132901695209338e-05
47,0.00019972026348114014,9.043845844145495e-05
48,0.00012490592780523002,8.970894792465864e-05
49,0.00017656804993748665,8.877582604319836e-05
50,0.00011223399633308873,8.823559833390048e-05
51,0.00010898066102527082,8.774143942439711e-05
