method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,73,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14861737546862896
ours_full,74,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.2566734105863798
ours_full,75,gamma,0.0,0.1,0.13333333333333333,0.1,0.08513415914163
ours_full,76,gamma,0.4,0.3,0.2,0.3333333333333333,0.3732967929448068
ours_full,77,gamma,0.0,0.0,0.13333333333333333,0.16666666666666666,0.14916674357454068
ours_full,78,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11812816763817327
ours_full,79,gamma,0.0,0.0,0.0,0.16666666666666666,0.12604898859277638
ours_full,80,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.22399858809978465
ours_full,81,gamma,0.0,0.0,0.06666666666666667,0.1,0.11903867751373781
ours_full,82,gamma,0.0,0.0,0.0,0.06666666666666667,0.07682026103095946
ours_full,83,gamma,0.0,0.1,0.13333333333333333,0.2,0.2564297089344006
ours_full,84,gamma,0.0,0.0,0.2,0.23333333333333334,0.23556830978535825
ours_full,85,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.11234565723146067
ours_full,86,gamma,0.0,0.1,0.06666666666666667,0.2,0.20573075377510153
ours_full,87,gamma,0.2,0.1,0.2,0.16666666666666666,0.15453462884043423
ours_full,88,gamma,0.2,0.2,0.26666666666666666,0.2,0.25716396290578764
ours_full,89,gamma,0.0,0.3,0.3333333333333333,0.23333333333333334,0.2583889752967616
ours_full,90,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.1523365640446731
ours_full,91,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.1561837635305956
ours_full,92,gamma,0.0,0.1,0.06666666666666667,0.1,0.09529381777549749
ours_full,93,gamma,0.0,0.0,0.0,0.16666666666666666,0.13962604196869066
ours_full,94,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.10787308337930038
ours_full,95,gamma,0.0,0.0,0.06666666666666667,0.3333333333333333,0.3137797086214833
ours_full,96,gamma,0.2,0.1,0.06666666666666667,0.13333333333333333,0.14387852851725552
ours_full,97,gamma,0.0,0.0,0.06666666666666667,0.26666666666666666,0.27259033926293613
ours_full,98,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.32203530034681227
ours_full,99,gamma,0.0,0.0,0.2,0.26666666666666666,0.22484422268106435
ours_full,100,gamma,0.0,0.2,0.2,0.13333333333333333,0.14224350658417192
ours_full,101,gamma,0.0,0.2,0.26666666666666666,0.2,0.17356321289745597
ours_full,102,gamma,0.2,0.1,0.2,0.3333333333333333,0.39457628058961036
ours_full,103,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.12734097319350904
ours_full,104,gamma,0.0,0.1,0.13333333333333333,0.2,0.16791249181215942
ours_full,105,gamma,0.2,0.1,0.13333333333333333,0.1,0.11093932200617362
ours_full,106,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.11830174981623297
ours_full,107,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.13722453943433338
ours_full,108,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.06255970419122107
ours_full,109,gamma,0.2,0.2,0.2,0.16666666666666666,0.15387827028803697
ours_full,110,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.14070331533724764
ours_full,111,gamma,0.2,0.2,0.13333333333333333,0.1,0.16680646313772285
ours_full,112,gamma,0.2,0.2,0.2,0.2,0.19036583061543716
ours_full,113,gamma,0.0,0.0,0.0,0.1,0.07185329388795361
ours_full,114,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.10283911325058054
ours_full,115,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.12610948772463368
ours_full,116,gamma,0.2,0.1,0.2,0.2,0.27966427005657135
ours_full,117,gamma,0.0,0.0,0.13333333333333333,0.16666666666666666,0.17400100871975663
ours_full,118,gamma,0.0,0.1,0.2,0.23333333333333334,0.2712135644159809
ours_full,119,gamma,0.0,0.0,0.06666666666666667,0.26666666666666666,0.2305425765414226
ours_full,120,gamma,0.2,0.2,0.26666666666666666,0.23333333333333334,0.23548659512636647
ours_full,121,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.16023940710937296
ours_full,122,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.18155309165955844
ours_full,123,gamma,0.0,0.0,0.0,0.1,0.07583548334839656
ours_full,124,gamma,0.2,0.3,0.2,0.2,0.32264650311004933
ours_full,125,gamma,0.0,0.0,0.0,0.16666666666666666,0.1406376148819925
ours_full,126,gamma,0.2,0.3,0.26666666666666666,0.26666666666666666,0.25629823200664265
ours_full,127,gamma,0.0,0.0,0.0,0.1,0.06766864742851447
ours_full,128,gamma,0.2,0.1,0.06666666666666667,0.13333333333333333,0.1479583045830678
ours_full,129,gamma,0.0,0.1,0.06666666666666667,0.23333333333333334,0.3313537866417917
ours_full,130,gamma,0.0,0.0,0.0,0.13333333333333333,0.1252200828830332
ours_full,131,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.1025450849232928
ours_full,132,gamma,0.0,0.0,0.0,0.06666666666666667,0.05113706524649053
ours_full,133,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.25501481956647626
ours_full,134,gamma,0.2,0.1,0.13333333333333333,0.26666666666666666,0.24290658332074774
ours_full,135,gamma,0.0,0.0,0.13333333333333333,0.3333333333333333,0.3113250789006261
ours_full,136,gamma,0.0,0.0,0.0,0.16666666666666666,0.16246622884452613
ours_full,137,gamma,0.0,0.2,0.13333333333333333,0.2,0.2183076190374704
ours_full,138,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14207328262976102
ours_full,139,gamma,0.2,0.2,0.26666666666666666,0.2,0.28136783910839486
ours_full,140,gamma,0.0,0.0,0.06666666666666667,0.1,0.09305990890171925
ours_full,141,gamma,0.0,0.3,0.26666666666666666,0.3333333333333333,0.3673969168918243
ours_full,142,gamma,0.0,0.1,0.2,0.23333333333333334,0.1958263015597411
ours_full,143,gamma,0.2,0.3,0.26666666666666666,0.3,0.399274166748305
ours_full,144,gamma,0.0,0.2,0.2,0.23333333333333334,0.21709189391388917
ours_full,145,gamma,0.0,0.0,0.2,0.26666666666666666,0.2111652533396145
ours_full,146,gamma,0.2,0.2,0.2,0.13333333333333333,0.2085155687618004
ours_full,147,gamma,0.2,0.1,0.06666666666666667,0.16666666666666666,0.15275553031363964
ours_full,148,gamma,0.0,0.0,0.06666666666666667,0.03333333333333333,0.02728786645648295
ours_full,149,gamma,0.0,0.1,0.13333333333333333,0.23333333333333334,0.17592112685994177
ours_full,150,gamma,0.2,0.1,0.06666666666666667,0.16666666666666666,0.16768144290658124
ours_full,151,gamma,0.0,0.1,0.13333333333333333,0.2,0.19166640389913853
ours_full,152,gamma,0.2,0.3,0.3333333333333333,0.23333333333333334,0.3341565638542887
ours_full,153,gamma,0.0,0.0,0.06666666666666667,0.06666666666666667,0.053152129649206535
ours_full,154,gamma,0.0,0.0,0.06666666666666667,0.2,0.156265367775602
ours_full,155,gamma,0.2,0.1,0.13333333333333333,0.13333333333333333,0.21406395657817903
ours_full,156,gamma,0.0,0.0,0.06666666666666667,0.06666666666666667,0.098363798113355
ours_full,157,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.1093357240865566
ours_full,158,gamma,0.0,0.1,0.13333333333333333,0.1,0.09197347843173062
