method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
standard_umap,67,gamma,0.0,0.0,0.0,0.06666666666666667,0.05537254703512235
standard_umap,68,gamma,0.0,0.0,0.13333333333333333,0.1,0.08418980367292363
standard_umap,69,gamma,0.0,0.0,0.13333333333333333,0.16666666666666666,0.16366188360057335
standard_umap,70,gamma,0.0,0.0,0.0,0.13333333333333333,0.13717236589096296
standard_umap,71,gamma,0.0,0.1,0.13333333333333333,0.3,0.2832917151646583
standard_umap,72,gamma,0.0,0.0,0.0,0.0,0.0
standard_umap,73,gamma,0.0,0.2,0.13333333333333333,0.1,0.16392485893127942
standard_umap,74,gamma,0.0,0.1,0.13333333333333333,0.06666666666666667,0.13643933228241475
standard_umap,75,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.1207188999414939
standard_umap,76,gamma,0.0,0.0,0.0,0.26666666666666666,0.3387335363277332
standard_umap,77,gamma,0.2,0.1,0.06666666666666667,0.1,0.16849092357974857
standard_umap,78,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.14220265135519938
standard_umap,79,gamma,0.0,0.2,0.13333333333333333,0.2,0.23648316918331685
standard_umap,80,gamma,0.2,0.1,0.06666666666666667,0.26666666666666666,0.22053229012777373
standard_umap,81,gamma,0.0,0.1,0.13333333333333333,0.26666666666666666,0.28143566229846195
standard_umap,82,gamma,0.0,0.0,0.0,0.0,0.0
standard_umap,83,gamma,0.0,0.0,0.0,0.13333333333333333,0.09481069122300291
standard_umap,84,gamma,0.0,0.0,0.0,0.13333333333333333,0.11787542857091601
standard_umap,85,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.06558450189788582
standard_umap,86,gamma,0.0,0.0,0.0,0.0,0.0
standard_umap,87,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11563255005172147
standard_umap,88,gamma,0.0,0.2,0.2,0.23333333333333334,0.2517818428988829
standard_umap,89,gamma,0.0,0.0,0.0,0.0,0.0
standard_umap,90,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.10296289495013701
standard_umap,91,gamma,0.2,0.1,0.2,0.16666666666666666,0.16378313895346672
standard_umap,92,gamma,0.0,0.1,0.2,0.23333333333333334,0.22436035630219764
standard_umap,93,gamma,0.0,0.2,0.13333333333333333,0.13333333333333333,0.14698794648201996
standard_umap,94,gamma,0.0,0.0,0.06666666666666667,0.2,0.1494952317104463
standard_umap,95,gamma,0.0,0.1,0.13333333333333333,0.1,0.0890632583264677
standard_umap,96,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.1685178422830557
standard_umap,97,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.18597256460624897
standard_umap,98,gamma,0.0,0.1,0.06666666666666667,0.1,0.08058161990955147
standard_umap,99,gamma,0.0,0.1,0.06666666666666667,0.1,0.09732794437081786
standard_umap,100,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.15892593350747927
standard_umap,101,gamma,0.0,0.0,0.0,0.16666666666666666,0.11963462257593917
standard_umap,102,gamma,0.0,0.0,0.2,0.2,0.16939084463011927
standard_umap,103,gamma,0.0,0.0,0.06666666666666667,0.03333333333333333,0.03285786528429744
standard_umap,104,gamma,0.0,0.0,0.2,0.2,0.16246880257930976
standard_umap,105,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.1304459902981684
standard_umap,106,gamma,0.0,0.0,0.06666666666666667,0.2,0.2919311780275886
standard_umap,107,gamma,0.0,0.1,0.13333333333333333,0.23333333333333334,0.18832211063990756
standard_umap,108,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.16260191744541713
standard_umap,109,gamma,0.0,0.2,0.13333333333333333,0.13333333333333333,0.14220699130261097
standard_umap,110,gamma,0.0,0.1,0.13333333333333333,0.2,0.2188507790270188
standard_umap,111,gamma,0.0,0.1,0.2,0.1,0.1331889229753974
standard_umap,112,gamma,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13400200719615868
standard_umap,113,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.15290042083227737
standard_umap,114,gamma,0.0,0.0,0.0,0.03333333333333333,0.06886690743551852
standard_umap,115,gamma,0.0,0.1,0.13333333333333333,0.1,0.1283531333928086
standard_umap,116,gamma,0.0,0.0,0.0,0.16666666666666666,0.14267227168494526
standard_umap,117,gamma,0.0,0.1,0.06666666666666667,0.26666666666666666,0.2905068810095443
standard_umap,118,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.14589051935884345
standard_umap,119,gamma,0.0,0.1,0.13333333333333333,0.2,0.20802174976801582
standard_umap,120,gamma,0.0,0.1,0.06666666666666667,0.2,0.1795434625714192
standard_umap,121,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.14572695950895445
standard_umap,122,gamma,0.2,0.2,0.2,0.16666666666666666,0.1928029213756225
standard_umap,123,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.16519244692586849
standard_umap,124,gamma,0.0,0.0,0.0,0.0,0.0
standard_umap,125,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.20145058999196602
standard_umap,126,gamma,0.0,0.0,0.06666666666666667,0.2,0.26293996436790695
standard_umap,127,gamma,0.0,0.1,0.06666666666666667,0.1,0.08497922305044447
