query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
225,1.0,1.0,1.0,1.0,0.0005984930321574211,0.5333333333333333,20
226,1.0,1.0,1.0,1.0,0.0006121387705206871,0.9333333333333333,20
227,1.0,1.0,1.0,1.0,0.0006069634109735489,0.9333333333333333,20
228,1.0,1.0,1.0,1.0,0.0005916021764278412,0.9333333333333333,20
229,1.0,1.0,1.0,1.0,0.0006367368623614311,0.8,20
230,1.0,1.0,1.0,1.0,0.0006219688802957535,0.8,20
231,1.0,1.0,1.0,1.0,0.0006401492282748222,0.4666666666666667,20
232,1.0,1.0,1.0,1.0,0.0006054714322090149,0.6,20
233,1.0,1.0,1.0,1.0,0.0006293049082159996,0.8666666666666667,20
234,1.0,1.0,1.0,1.0,0.0006513772532343864,0.4666666666666667,21
235,0.9333333333333333,0.9333333333333333,0.9627161956962862,0.9835750410707453,0.0006054025143384933,0.26666666666666666,21
236,1.0,1.0,1.0,1.0,0.0006209686398506165,0.4666666666666667,21
237,1.0,1.0,1.0,1.0,0.000600145198404789,0.06666666666666667,21
238,1.0,1.0,1.0,1.0,0.0006350157782435417,0.3333333333333333,21
239,1.0,1.0,1.0,1.0,0.0006115138530731201,0.6666666666666666,21
240,1.0,1.0,1.0,1.0,0.0005935672670602798,0.6,21
241,1.0,1.0,1.0,1.0,0.0006053727120161057,0.7333333333333333,21
242,1.0,1.0,1.0,1.0,0.0005995836108922958,0.7333333333333333,21
243,1.0,1.0,1.0,1.0,0.0006410358473658562,0.5333333333333333,21
244,0.9333333333333333,0.9333333333333333,0.9614033911646838,0.9824399127731097,0.0006168093532323837,0.26666666666666666,21
245,0.8,0.8,0.6723119062970474,0.662153021156859,0.00061812624335289,0.4666666666666667,21
246,1.0,1.0,1.0,1.0,0.0006130337715148926,0.7333333333333333,21
247,1.0,1.0,1.0,1.0,0.0006077950820326805,0.4,21
248,1.0,1.0,1.0,1.0,0.0006162282079458237,0.4666666666666667,21
249,1.0,1.0,1.0,1.0,0.0006072577089071274,0.4,21
250,1.0,1.0,1.0,1.0,0.000619654543697834,0.6,21
251,0.8666666666666667,0.8666666666666667,0.9323135050448582,0.9699188411353765,0.0006442936137318611,0.2,21
252,1.0,1.0,1.0,1.0,0.000629892572760582,0.9333333333333333,22
253,1.0,1.0,1.0,1.0,0.0005955006927251816,0.6666666666666666,22
254,1.0,1.0,1.0,1.0,0.0006377287209033966,0.5333333333333333,22
255,1.0,1.0,1.0,1.0,0.0006333775818347931,0.6,22
256,1.0,1.0,1.0,1.0,0.000600842759013176,0.8,22
257,1.0,1.0,1.0,1.0,0.000600593164563179,0.9333333333333333,22
258,1.0,1.0,1.0,1.0,0.0005990033969283104,0.8666666666666667,22
259,1.0,1.0,1.0,1.0,0.0006005465984344482,0.8,22
260,1.0,1.0,1.0,1.0,0.0006219223141670227,0.5333333333333333,22
261,1.0,1.0,1.0,1.0,0.000599302351474762,0.3333333333333333,22
262,1.0,1.0,1.0,1.0,0.0006154431030154228,0.8666666666666667,22
263,1.0,1.0,1.0,1.0,0.0006070733070373535,0.7333333333333333,22
264,1.0,1.0,1.0,1.0,0.0006316397339105606,0.5333333333333333,22
265,1.0,1.0,1.0,1.0,0.0006264485418796539,0.4666666666666667,22
266,1.0,1.0,1.0,1.0,0.0006050514057278633,0.8666666666666667,22
267,1.0,1.0,1.0,1.0,0.0006463406607508659,0.4,22
268,1.0,1.0,1.0,1.0,0.0006074076518416405,0.26666666666666666,22
269,1.0,1.0,1.0,1.0,0.0006126658990979195,0.9333333333333333,22
270,1.0,1.0,1.0,1.0,0.0005951095372438431,0.8,23
271,1.0,1.0,1.0,1.0,0.00060248002409935,0.6,23
272,1.0,1.0,1.0,1.0,0.0005988981574773788,0.4,23
