query_index,celltype,tech,x,y,recall_at_5,recall_at_15
86,gamma,celseq2,16.310564,18.009619,0.0,0.0
87,gamma,celseq2,10.691519,19.624603,0.0,0.1333333333333333
88,gamma,celseq2,10.582227,19.52327,0.0,0.2
89,gamma,celseq2,5.1850014,14.01467,0.0,0.0
90,gamma,celseq2,10.596316,19.652058,0.0,0.0666666666666666
91,gamma,celseq2,10.803464,19.648104,0.2,0.2
92,gamma,celseq2,10.823943,19.787043,0.0,0.2
93,gamma,celseq2,10.671309,19.610195,0.0,0.1333333333333333
94,gamma,celseq2,10.661986,19.733093,0.0,0.0666666666666666
95,gamma,celseq2,10.348292,19.744513,0.0,0.1333333333333333
96,gamma,celseq2,10.860382,19.594254,0.0,0.1333333333333333
97,gamma,celseq2,10.74499,19.721165,0.0,0.0666666666666666
98,gamma,celseq2,10.988853,19.753628,0.0,0.0666666666666666
99,gamma,celseq2,10.831537,19.976131,0.0,0.0666666666666666
100,gamma,celseq2,10.944075,19.671785,0.0,0.0666666666666666
101,gamma,celseq2,10.758511,19.801556,0.0,0.0
102,gamma,celseq2,10.793643,19.45389,0.0,0.2
103,gamma,celseq2,10.839634,19.564983,0.0,0.0666666666666666
104,gamma,celseq2,10.595906,19.734425,0.0,0.2
105,gamma,celseq2,10.649288,19.604137,0.0,0.0666666666666666
106,gamma,celseq2,10.878214,19.872776,0.0,0.0666666666666666
107,gamma,celseq2,10.879779,19.503252,0.0,0.1333333333333333
108,gamma,celseq2,10.868072,19.858614,0.0,0.0666666666666666
109,gamma,celseq2,10.883466,19.83779,0.0,0.1333333333333333
110,gamma,smartseq2,10.704256,19.78638,0.0,0.1333333333333333
111,gamma,smartseq2,10.282894,19.47668,0.0,0.2
112,gamma,smartseq2,10.769934,19.89908,0.0,0.0666666666666666
113,gamma,smartseq2,10.563329,19.927782,0.0,0.0666666666666666
114,gamma,smartseq2,11.039721,19.600304,0.0,0.0
115,gamma,smartseq2,10.730429,19.828224,0.0,0.1333333333333333
116,gamma,smartseq2,10.810581,19.834053,0.0,0.0
117,gamma,smartseq2,10.910527,19.90467,0.0,0.0666666666666666
118,gamma,smartseq2,10.553107,19.888237,0.0,0.0666666666666666
119,gamma,smartseq2,10.702193,19.884378,0.0,0.1333333333333333
120,gamma,smartseq2,10.902186,19.944082,0.0,0.0666666666666666
121,gamma,smartseq2,10.52249,19.75447,0.2,0.1333333333333333
122,gamma,smartseq2,10.858605,20.027422,0.2,0.2
123,gamma,smartseq2,10.529479,19.624245,0.0,0.0666666666666666
124,gamma,smartseq2,14.0735655,6.70714,0.0,0.0
125,gamma,smartseq2,10.8083515,19.80568,0.0,0.0666666666666666
126,gamma,smartseq2,10.9104595,19.984837,0.0,0.0666666666666666
127,gamma,smartseq2,11.032285,19.76866,0.0,0.0666666666666666
128,gamma,smartseq2,10.528058,19.696304,0.0,0.1333333333333333
129,gamma,smartseq2,10.696534,19.61752,0.0,0.0666666666666666
130,gamma,smartseq2,10.667833,19.780392,0.0,0.0
131,gamma,smartseq2,10.65838,19.930233,0.0,0.0
132,gamma,smartseq2,10.775853,19.840338,0.0,0.0666666666666666
133,gamma,smartseq2,10.471494,19.818745,0.0,0.2
134,gamma,smartseq2,11.033384,20.01836,0.0,0.0
135,gamma,smartseq2,16.890562,17.189806,0.0,0.0
136,gamma,smartseq2,10.906766,19.945791,0.0,0.0666666666666666
137,gamma,smartseq2,10.808405,20.091335,0.0,0.0666666666666666
138,gamma,smartseq2,10.714778,19.751541,0.2,0.2
139,gamma,smartseq2,11.03039,19.928913,0.0,0.0666666666666666
140,gamma,smartseq2,10.868098,19.614357,0.0,0.0
141,gamma,smartseq2,11.02723,20.026423,0.0,0.0
142,gamma,smartseq2,11.02554,19.922194,0.0,0.1333333333333333
143,gamma,smartseq2,10.843931,20.039383,0.0,0.2
144,gamma,smartseq2,10.694026,19.990915,0.0,0.2666666666666666
145,gamma,smartseq2,10.897318,19.840092,0.2,0.1333333333333333
146,gamma,smartseq2,10.532535,19.920177,0.0,0.0666666666666666
147,gamma,smartseq2,16.916185,17.039646,0.0,0.0
148,gamma,smartseq2,10.707151,19.803123,0.0,0.1333333333333333
149,gamma,smartseq2,10.947345,19.85736,0.0,0.1333333333333333
150,gamma,smartseq2,10.788299,19.781784,0.0,0.1333333333333333
151,gamma,smartseq2,10.555428,19.80911,0.0,0.0
152,gamma,smartseq2,16.728195,17.098625,0.0,0.0
153,gamma,smartseq2,10.620742,19.807348,0.0,0.0666666666666666
154,gamma,smartseq2,10.513414,19.82988,0.0,0.2666666666666666
155,gamma,smartseq2,10.822268,19.853577,0.0,0.1333333333333333
156,gamma,smartseq2,15.731835,8.431505,0.0,0.0666666666666666
157,gamma,smartseq2,10.842242,19.969866,0.2,0.1333333333333333
158,gamma,smartseq2,11.089376,19.807774,0.0,0.0666666666666666
159,gamma,smartseq2,10.801834,19.78597,0.2,0.1333333333333333
160,gamma,smartseq2,10.758369,19.938007,0.2,0.2666666666666666
161,gamma,smartseq2,10.966087,19.91456,0.0,0.0666666666666666
162,gamma,smartseq2,10.915369,19.957758,0.0,0.1333333333333333
163,gamma,smartseq2,10.65365,19.951765,0.0,0.0666666666666666
164,gamma,smartseq2,10.463579,20.013842,0.0,0.2666666666666666
165,gamma,smartseq2,10.578793,19.916952,0.0,0.2
166,gamma,smartseq2,10.898502,19.9477,0.2,0.0666666666666666
167,gamma,smartseq2,10.959194,20.109543,0.4,0.4666666666666667
168,gamma,smartseq2,10.651666,19.853962,0.0,0.0666666666666666
169,gamma,smartseq2,10.889627,20.23849,0.2,0.0666666666666666
170,gamma,smartseq2,15.340748,13.666113,0.0,0.2
171,gamma,smartseq2,10.852753,19.926243,0.2,0.1333333333333333
172,gamma,smartseq2,10.971206,19.93371,0.0,0.0666666666666666
173,gamma,smartseq2,10.810949,19.995905,0.0,0.0666666666666666
174,gamma,smartseq2,10.771666,19.931553,0.0,0.2
175,gamma,smartseq2,10.573654,19.736586,0.0,0.1333333333333333
176,gamma,smartseq2,11.065314,19.994911,0.0,0.0
177,gamma,smartseq2,10.912927,19.835812,0.0,0.1333333333333333
178,gamma,smartseq2,10.800886,19.913612,0.2,0.2666666666666666
179,gamma,smartseq2,10.947884,19.978064,0.0,0.1333333333333333
180,gamma,smartseq2,11.017281,19.968903,0.0,0.0666666666666666
181,gamma,smartseq2,16.910019,16.867887,0.0,0.0
182,gamma,smartseq2,10.816037,19.961819,0.2,0.1333333333333333
183,gamma,smartseq2,10.5877285,20.073572,0.0,0.2666666666666666
184,gamma,smartseq2,10.882369,19.940022,0.0,0.1333333333333333
185,gamma,smartseq2,10.980438,19.776047,0.0,0.1333333333333333
186,gamma,smartseq2,11.041468,19.777708,0.0,0.0666666666666666
187,gamma,smartseq2,10.966787,20.045238,0.0,0.0666666666666666
188,gamma,smartseq2,10.5127535,19.709486,0.0,0.0666666666666666
189,gamma,smartseq2,14.73769,13.332229,0.0,0.0
190,gamma,smartseq2,10.620383,19.99985,0.0,0.0
191,gamma,smartseq2,10.7674885,19.901955,0.0,0.2
192,gamma,smartseq2,11.008948,19.959515,0.0,0.0666666666666666
193,gamma,smartseq2,10.728768,19.768936,0.0,0.2666666666666666
194,gamma,smartseq2,10.811453,19.972628,0.2,0.2
195,gamma,smartseq2,10.622682,19.97055,0.0,0.0666666666666666
196,gamma,smartseq2,10.727803,19.844616,0.0,0.0
197,gamma,smartseq2,10.5119705,19.951378,0.0,0.0666666666666666
198,gamma,smartseq2,10.880512,19.961626,0.0,0.0
199,gamma,smartseq2,10.901348,19.478987,0.0,0.0
200,gamma,smartseq2,10.844278,19.910488,0.0,0.0666666666666666
201,gamma,smartseq2,10.916534,19.98797,0.0,0.0666666666666666
202,gamma,smartseq2,10.734292,19.70742,0.0,0.0
203,gamma,smartseq2,10.753373,19.979284,0.0,0.2
204,gamma,smartseq2,10.904432,19.908133,0.0,0.0
205,gamma,smartseq2,11.019255,19.910034,0.0,0.0666666666666666
206,gamma,smartseq2,10.93394,19.734964,0.0,0.0
207,gamma,smartseq2,7.4018116,14.084021,0.0,0.0
208,gamma,smartseq2,10.993666,19.856972,0.0,0.0666666666666666
209,gamma,smartseq2,10.747469,19.584492,0.0,0.0
210,gamma,smartseq2,10.596231,19.72247,0.0,0.0666666666666666
211,gamma,smartseq2,10.784022,19.807684,0.0,0.1333333333333333
212,gamma,smartseq2,10.826047,19.806065,0.0,0.0
213,gamma,smartseq2,10.640213,19.600649,0.0,0.2
214,gamma,smartseq2,16.930975,17.220737,0.0,0.0
215,gamma,smartseq2,10.783927,19.9389,0.0,0.0
216,gamma,smartseq2,11.006624,19.879637,0.0,0.0666666666666666
217,gamma,smartseq2,16.726938,17.85959,0.0,0.0
218,gamma,smartseq2,10.54084,19.927826,0.0,0.2
219,gamma,smartseq2,7.2386513,14.262757,0.0,0.0
220,gamma,smartseq2,10.712235,19.887938,0.0,0.0666666666666666
221,gamma,smartseq2,10.816937,19.754475,0.0,0.2666666666666666
222,gamma,smartseq2,10.727063,19.947369,0.0,0.2
223,gamma,smartseq2,15.935075,6.572863,0.0,0.0
224,gamma,smartseq2,10.86715,19.94509,0.0,0.0666666666666666
225,gamma,smartseq2,10.982353,19.613462,0.0,0.1333333333333333
226,gamma,smartseq2,11.069652,19.53136,0.0,0.0
227,gamma,smartseq2,10.9658375,19.802221,0.0,0.0
228,gamma,smartseq2,11.083941,19.548994,0.0,0.0
229,gamma,smartseq2,10.794033,19.97728,0.0,0.0
230,gamma,smartseq2,10.993205,19.79305,0.0,0.0666666666666666
231,gamma,smartseq2,10.695741,19.721264,0.0,0.0666666666666666
232,gamma,smartseq2,10.646419,19.685171,0.0,0.2
233,gamma,smartseq2,10.736028,19.932583,0.2,0.2666666666666666
234,gamma,smartseq2,10.436582,19.930092,0.0,0.1333333333333333
235,gamma,smartseq2,10.7484255,19.919281,0.2,0.2
236,gamma,smartseq2,10.632083,19.958612,0.0,0.0666666666666666
237,gamma,smartseq2,10.955751,19.520231,0.0,0.2
238,gamma,smartseq2,10.926954,19.91488,0.0,0.0
239,gamma,smartseq2,10.893547,19.992405,0.0,0.0666666666666666
240,gamma,smartseq2,10.924374,19.911545,0.0,0.0666666666666666
241,gamma,smartseq2,10.655525,19.75498,0.0,0.0666666666666666
242,gamma,smartseq2,11.001105,19.726812,0.0,0.0
243,gamma,smartseq2,11.008256,20.12562,0.0,0.0666666666666666
244,gamma,smartseq2,10.847494,19.936268,0.4,0.2666666666666666
245,gamma,smartseq2,10.723909,19.97346,0.0,0.2666666666666666
