query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
0,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
1,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
2,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
3,gamma,0.0,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666
4,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
5,gamma,0.0,0.0,0.2,0.2666666666666666,0.2,0.2666666666666666
6,gamma,0.0,0.0666666666666666,0.4,0.1333333333333333,0.4,0.06666666666666671
7,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
8,gamma,0.0,0.0,0.0,0.2,0.0,0.2
9,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
10,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
11,gamma,0.0,0.1333333333333333,0.2,0.2666666666666666,0.2,0.1333333333333333
12,gamma,0.0,0.0,0.0,0.2,0.0,0.2
13,gamma,0.0,0.0,0.0,0.0,0.0,0.0
14,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
15,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
16,gamma,0.0,0.0,0.2,0.0666666666666666,0.2,0.0666666666666666
17,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
18,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
19,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
20,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
21,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
22,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
23,gamma,0.2,0.0666666666666666,0.0,0.0666666666666666,-0.2,0.0
24,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
25,gamma,0.0,0.0,0.0,0.0,0.0,0.0
26,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
27,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
28,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
29,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
30,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
31,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
32,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
