method,timepoint,horizon,recall_at_15,temporal_neighbor_mae,excess_temporal_neighbor_mae
uniform_mc,4-5,0,0.10379746835443038,1.008118357100892,
uniform_mc,8-9,1,0.11302232095631017,1.1380514122500793,0.13805141225007933
fit_grid,4-5,0,0.10459862201570261,1.0076803930993965,
fit_grid,8-9,1,0.114683169364223,1.1383687718184703,0.13836877181847032
