method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope,timepoint,timepoint_ordinal,horizon,temporal_neighbor_mae,excess_temporal_neighbor_mae,temporal_bracketing_rate,timepoint_label_accuracy
uniform_mc,0,0.06666666666666667,0.17060921827860476,0.05072121615085576,0.16927277711589075,0.5848360421933146,0.42286187410354614,0.31399506,0.0,0.17726928486422158,1.5723501862958074,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,1,0.06666666666666667,0.04265230456965119,0.258119064195893,0.7121958448345648,0.6471876752866823,0.5978289842605591,0.0220711,0.0,0.6790544195607486,1.7121545635163784,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,2,0.26666666666666666,0.2814262715637144,0.00029111223527352815,0.00814104667913247,0.7826852258824861,0.5015040040016174,1.0035157,0.0,0.002596559558584875,1.4612584291025996,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,3,0.13333333333333333,0.15900092428418272,0.04803667160034387,0.1885268547368711,0.2596114156398097,0.4162455201148987,0.10385566,0.0,0.7445634534242129,1.367697672918439,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,4,0.06666666666666667,0.043668798524938345,0.09894144222175019,0.3430636844142507,0.2683933374432498,0.12525133788585663,0.10461725,0.0,0.20161203072595477,1.9343721447512507,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5,0.3333333333333333,0.34779609426910885,0.012877170718948892,0.09542471689256571,0.39549087582349085,0.29693564772605896,0.0010216888,0.0,0.6758087201125176,1.9637379636988044,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,6,0.13333333333333333,0.09746361251454151,0.21263553780050912,0.6054498997632197,0.2530102053119634,0.34269097447395325,0.6604308,0.0,0.24229146381045116,1.688220575451851,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,7,0.0,0.0,0.04768047389971205,0.218471930156551,0.11806458375333748,0.09320954978466034,0.025452256,0.0,0.3946229579140971,0.8314787782728672,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,8,0.13333333333333333,0.1195825111797196,0.14292786928577075,0.5025068463421257,0.3810547935474385,0.19145463407039642,0.194733,0.0,0.27177323379855023,1.164576731622219,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,9,0.13333333333333333,0.10053853795113993,0.30037199782095814,0.7819379505273688,0.08408014254257386,0.1073419377207756,0.29433492,0.0,0.42269825814129613,1.737095176242292,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,10,0.06666666666666667,0.05686973942620158,0.12839492273310835,0.4188691487207331,0.10298330435907983,0.5757324695587158,0.2248494,0.0,0.5023260846045656,1.6609109034761786,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,11,0.0,0.0,0.1316245745817359,0.401997448380005,0.18639148510855802,0.3580838441848755,0.015300423,0.0,0.6090014064697609,1.7580354744568467,per_query,4-5,3,0,1.0666666666666667,,1.0,
uniform_mc,12,0.2,0.26152477040843725,0.17290374597320626,0.5137414649491584,0.4688523101679192,0.5246878266334534,0.29585484,0.0,0.6997187060478199,1.668573492206633,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,13,0.13333333333333333,0.11735914726981254,0.11113207358296172,0.35970488062911865,0.37409791639097906,0.45009317994117737,0.08373259,0.0,0.7534891269068484,1.6776885949075222,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,14,0.06666666666666667,0.05135849223864361,0.13208032529592953,0.41619704716428024,0.1606397320826551,0.2563180923461914,0.038274176,0.0,0.5702693930542032,1.742262083105743,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,15,0.13333333333333333,0.10342453430737154,0.010014610643565031,0.09371939387670275,0.39338299843095037,0.09960868209600449,0.18271148,0.0,0.6680731364275668,1.6508948188275099,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,16,0.13333333333333333,0.15131123057047743,0.09238702363487594,0.2964790479407326,0.2960741586996375,0.07175205647945404,0.2660836,0.0,0.5315914746294493,1.6708427406847477,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,17,0.4,0.35736953327506643,0.01122048246706047,0.05271839051485253,0.6521141945037758,0.4510512053966522,0.5319319,0.0,0.9875581521151141,1.6859889701008797,per_query,4-5,3,0,1.0,,0.0,
