comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,disconnected,1,query,B_branch_3,-0.010062893081761004,0.03913633067655692,0.007383725276034397,
Uniform minus UMAP,disconnected,1,query,B_branch_4,0.0,0.06950707875216827,0.07846928665505279,
Uniform minus UMAP,disconnected,1,query,B_branch_5,-0.008934707903780148,-0.001230280085370683,-0.21451221874706722,
Uniform minus UMAP,disconnected,1,query,B_branch_6,0.0,-0.061461301368776394,0.042245371166212804,
Uniform minus UMAP,disconnected,2,reference,all,-0.015149999999999886,0.03330264753399781,-0.0356418692729075,
Uniform minus UMAP,disconnected,2,reference,internal,-0.015149999999999886,0.03330264753399781,-0.0356418692729075,
Uniform minus UMAP,disconnected,2,reference,A_spiral,-0.01509245377311319,0.09366360311043959,0.04921948297864231,
Uniform minus UMAP,disconnected,2,reference,B_tree,-0.0012512512512513618,-0.05122525936120781,-0.18836755231447078,
Uniform minus UMAP,disconnected,2,reference,C_ellipse,-0.029085457271364246,0.05734287035666724,0.03199348747956221,
Uniform minus UMAP,disconnected,2,reference,B_branch_0,-0.010370370370370252,-0.012344316958073087,-0.125190038783611,
Uniform minus UMAP,disconnected,2,reference,B_branch_1,0.011372549019607825,-0.15189458465425187,-0.3623168521334326,
Uniform minus UMAP,disconnected,2,reference,B_branch_2,-0.006274509803921746,-0.14544907212631208,-0.2751222430264716,
Uniform minus UMAP,disconnected,2,reference,B_branch_3,0.010691823899371067,-0.011552498670452604,-0.15542427100543238,
Uniform minus UMAP,disconnected,2,reference,B_branch_4,0.008934707903780037,0.012630376096189888,-0.21901231529985732,
Uniform minus UMAP,disconnected,2,reference,B_branch_5,-0.008247422680412453,0.0036422525181112886,-0.0825975901266999,
Uniform minus UMAP,disconnected,2,reference,B_branch_6,-0.014465408805031665,-0.07627078772178414,-0.1346436765034783,
Uniform minus UMAP,disconnected,2,query,all,-0.025466666666666637,0.05057319970978458,-0.0445627475598257,
Uniform minus UMAP,disconnected,2,query,internal,-0.025466666666666637,0.05057319970978458,-0.0445627475598257,
Uniform minus UMAP,disconnected,2,query,A_spiral,-0.0193903048475762,0.08637623100211622,0.0458390803518087,
Uniform minus UMAP,disconnected,2,query,B_tree,-0.006206206206206266,-0.0015710703144147242,-0.1936397530263384,
Uniform minus UMAP,disconnected,2,query,C_ellipse,-0.050774612693653354,0.06683626112527469,0.013888926238731086,
Uniform minus UMAP,disconnected,2,query,B_branch_0,-0.02000000000000013,0.05487153988397386,-0.162729857989698,
Uniform minus UMAP,disconnected,2,query,B_branch_1,0.01254901960784316,-0.05404109596177642,-0.3541926684660903,
Uniform minus UMAP,disconnected,2,query,B_branch_2,-0.018823529411764572,-0.11512994832165258,-0.2552237491027455,
Uniform minus UMAP,disconnected,2,query,B_branch_3,0.0018867924528301883,0.027313557922517995,-0.1639956445462855,
Uniform minus UMAP,disconnected,2,query,B_branch_4,0.0068728522336768405,0.0824209848495076,-0.24917650598149368,
Uniform minus UMAP,disconnected,2,query,B_branch_5,-0.01443298969072171,-0.011479873248785799,-0.0736757323912402,
Uniform minus UMAP,disconnected,2,query,B_branch_6,-0.011949685534591081,-0.013035449244560182,-0.1303564845193968,
Uniform minus UMAP,sparse_bridge,0,reference,all,-0.014598765432098704,0.04833299096181559,-0.0001409258261497997,0.07006109979633399
Uniform minus UMAP,sparse_bridge,0,reference,internal,-0.012249999999999983,0.04447258715740482,-0.0108828034003099,0.1636363636363637
Uniform minus UMAP,sparse_bridge,0,reference,A_spiral,-0.001999000499750214,0.0870779318238491,0.047286319479893396,0.33333333333333337
