step,loss,rolling_std
1,0.0027497129049152136,
2,0.009642558172345161,0.0048739776302693175
3,0.002416119910776615,0.004079297531739413
4,0.0030752988532185555,0.0034582441133143267
5,0.003308392595499754,0.003039717815484169
6,0.07561224699020386,0.029264811423047717
7,0.09641127288341522,0.04042677446278972
8,0.0017877649515867233,0.038524635515443675
9,0.021866312250494957,0.03604620108868993
10,0.002436482347548008,0.03466806846735004
11,0.0036374113988131285,0.0333483045184786
12,0.0027101191226392984,0.03219778427985025
13,0.002730642445385456,0.031147718005379316
14,0.0038349637761712074,0.03014999658245145
15,0.02209661342203617,0.029088069454684947
16,0.0012685207184404135,0.028374037070528595
17,0.0014028942678123713,0.027699411452230118
18,0.002367092529311776,0.027039888801059037
19,0.002308367984369397,0.026424267059738427
20,0.010173728689551353,0.025732073286365467
21,0.008570753037929535,0.02510444478223181
22,0.0029606136959046125,0.024599409659568312
23,0.0019964342936873436,0.02414074210232877
24,0.002981527242809534,0.023688375371850808
25,0.002978443168103695,0.023259928606218297
26,0.0019162510288879275,0.022869840505700262
27,0.0028405438642948866,0.022484440714611316
28,0.0051088216714560986,0.022091881239672186
29,0.006460396107286215,0.02170846219992539
30,0.0016590910963714123,0.021393384190749577
31,0.0036925540771335363,0.021067361587138858
32,0.0032070050947368145,0.020760538000047343
33,0.00461743026971817,0.020454117176460514
34,0.0012487093918025494,0.020194174287639876
35,0.0030502749141305685,0.01992458172157566
36,0.002379743382334709,0.019671618631564632
37,0.002240067347884178,0.019429210487272273
38,0.007881728932261467,0.019165583959509635
39,0.004647907800972462,0.018923890122877894
40,0.0037498250603675842,0.018696599890799703
41,0.007496697828173637,0.01846229272215054
42,0.002862520981580019,0.01825739890386393
43,0.0033499696291983128,0.018055731070653492
44,0.00142090511508286,0.017875234666920863
45,0.007403711322695017,0.017671346363975902
46,0.004798417910933495,0.01748104957084702
47,0.0022862153127789497,0.017310896093929735
48,0.001211567665450275,0.017153691705734903
49,0.0030462045688182116,0.01698794042679608
50,0.011847168207168579,0.016823666576144928
51,0.0035858689807355404,0.016665204984163014
52,0.0027796910144388676,0.016515410386451858
53,0.0019839375745505095,0.016374383956135993
54,0.0028421273455023766,0.016231815872498567
55,0.002699914388358593,0.01609363317863043
56,0.010101547464728355,0.01595081727894975
57,0.003704095259308815,0.01581543436877993
58,0.0028213930781930685,0.01568740588434775
59,0.003617782611399889,0.015558890302018041
60,0.002498287707567215,0.015438502306044054
61,0.0015092386165633798,0.01532627176062094
62,0.0030889459885656834,0.01520843869250417
63,0.0023649754002690315,0.015096509853573909
64,0.0033649455290287733,0.014982772436821957
65,0.0017107463208958507,0.014878945568855015
66,0.003157086204737425,0.014770766053190451
67,0.00881920661777258,0.014660680594643406
68,0.0019749212078750134,0.014562389446999812
69,0.0269666388630867,0.014659738132347564
70,0.004034239798784256,0.014557367097080583
71,0.0024735783226788044,0.014462702267249801
72,0.0010730370413511992,0.014376738575776605
73,0.0052821701392531395,0.014277642548581828
74,0.0026962317060679197,0.01418741870358832
75,0.003969184122979641,0.01409479785023587
76,0.002629258669912815,0.014008218859882696
77,0.0029665580950677395,0.013921998292000264
78,0.001219300669617951,0.013844599705038818
79,0.0030726531986147165,0.013760997374578273
80,0.004073203541338444,0.013676240236806901
81,0.0008348598494194448,0.013604733819487267
82,0.011347696185112,0.013531679833014157
83,0.0034515787847340107,0.013452881350476396
84,0.0035705016925930977,0.013375135416690241
85,0.009276533499360085,0.01329905242463642
86,0.0021102353930473328,0.013228650787234387
87,0.00950300320982933,0.013155880565390804
88,0.005495384801179171,0.013080392248756803
89,0.007448047399520874,0.013006362995569728
90,0.006437582895159721,0.012933088526539424
91,0.005379044450819492,0.012861466355001376
92,0.0014773679431527853,0.012800771600975988
93,0.004347905982285738,0.012732649350368299
94,0.0033817081712186337,0.012667575494818877
95,0.004647191613912582,0.012601107554092973
96,0.0023586172610521317,0.012540893774170274
97,0.0653025433421135,0.013843350770102708
98,0.0018245754763484001,0.013781037116580342
99,0.004268644377589226,0.01371284180421416
100,0.005507377441972494,0.013643966336951299
101,0.0031148598063737154,0.013642939717532006
102,0.0036132601089775562,0.013643268208416106
103,0.007649579085409641,0.013636816635909045
104,0.004635902121663094,0.013633491808204086
105,0.006148083135485649,0.013629230179916208
106,0.002904114779084921,0.011725963922265681
107,0.0019578030332922935,0.007366949209367265
108,0.0012788204476237297,0.007369433217065359
109,0.011238313280045986,0.007199743604567548
110,0.003945016302168369,0.00719592986406541
111,0.0038569055031985044,0.007195543572444533
112,0.0013980389339849353,0.0072009591388010295
113,0.002454961184412241,0.007201885118716035
114,0.0012718606740236282,0.00721057904559204
115,0.0018084136536344886,0.0070060757667218905
116,0.0172551479190588,0.007107318912179557
117,0.004918036051094532,0.007098448050396589
118,0.002731187269091606,0.007097201753755122
119,0.0026215598918497562,0.007096090485775508
120,0.0023220195434987545,0.007081235199408546
121,0.002560191322118044,0.0070751052337675755
122,0.0012107541551813483,0.007081912991417132
123,0.0035783525090664625,0.0070773452545341625
124,0.00958192814141512,0.007090800151999675
125,0.00219296058639884,0.007093368159566414
126,0.002540266141295433,0.007091011113799831
127,0.0022078980691730976,0.007093134081181167
128,0.009359736926853657,0.007107260355267731
129,0.0022696219384670258,0.007110438315667213
130,0.0018763875123113394,0.007109477891302215
131,0.002708705374971032,0.00711181799471915
132,0.003238693345338106,0.007111743849916693
133,0.005190027877688408,0.007111768630400084
134,0.0022710193879902363,0.00710723492401271
135,0.0015932138776406646,0.007112528686781097
136,0.002677131909877062,0.00711153829860413
137,0.0022294889204204082,0.007111577963972819
138,0.0214120801538229,0.0072956975971781145
139,0.00176914781332016,0.007302816648504145
140,0.0021042011212557554,0.007307472023708848
141,0.003646839177235961,0.007304138261361897
142,0.009793141856789589,0.0073172282543396356
143,0.003279429394751787,0.007317391889958046
144,0.17018979787826538,0.01806068945431897
145,0.0012947567738592625,0.01806855525502742
146,0.002252544043585658,0.01807294284796044
147,0.011311383917927742,0.018073738443004684
148,0.006128763779997826,0.01806538055572764
149,0.0020251311361789703,0.018067775172303444
150,0.004970125388354063,0.01806116926405051
151,0.002147506922483444,0.018064211762947403
152,0.0014524548314511776,0.018067565464232424
153,0.0012884123716503382,0.01806950534535018
154,0.0021120216697454453,0.018071195375994626
155,0.0018760822713375092,0.018073185652667297
156,0.020548555999994278,0.018123717254900935
157,0.001486937515437603,0.01812878800060138
158,0.002897007390856743,0.018128626650867754
159,0.004804379306733608,0.018126984173355374
160,0.00429366622120142,0.018123668221955026
161,0.0017670791130512953,0.01812293786712352
162,0.0023809836711734533,0.01812450952501963
163,0.03105786070227623,0.018281394308642326
164,0.005083098076283932,0.01827874918128052
165,0.0022335536777973175,0.018277290371696002
166,0.0015814161160960793,0.018281336372761844
167,0.0016527125844731927,0.018288210724094884
168,0.008070381358265877,0.01828166356395646
169,0.002789505058899522,0.01817446247354309
170,0.002291498240083456,0.018177933662135146
171,0.0012490857625380158,0.018181247564336343
