step,force_interactions,score_seconds,entropy,max_probability,min_sampled_probability,mean_weight,max_weight,ess
100,64,0.015545501373708248,7.167741308502235,0.16032049746045973,2.744902974469126e-07,0.9454985159204543,146.76372799956866,7.31052543006034
200,64,0.01553467009216547,7.136136543095398,0.14531969507598225,1.939447057914034e-07,0.9678947736771026,207.71497313439437,7.081526030063377
300,64,0.01468392089009285,7.131066347060271,0.1408047644690271,1.7474192535711995e-07,0.9960728639326043,230.54123542869579,7.089256711135001
400,64,0.014707257971167564,7.153348420538083,0.1430258033269827,3.4893506484374904e-07,0.9864757992508892,115.45190899934019,7.069166756194388
500,64,0.04963902197778225,7.160272076806327,0.14503609425995773,1.45018143485922e-07,1.0123033305559428,277.7943392781757,7.165896135090878
600,64,0.0137538593262434,7.1869948505172685,0.149084427254815,1.7578199359752225e-07,1.0132550918700154,229.17716728857954,7.24968149781261
700,64,0.013840369880199432,7.153122876529597,0.18914745186264206,2.2783067291629806e-07,1.012136991267563,176.82087682644746,7.3211991363650775
800,64,0.015645773150026798,7.171954428116985,0.15458476615450062,2.1252337631738382e-07,0.9774018071565873,189.55665043104324,7.180542491743769
900,64,0.015416459180414677,7.16653952647811,0.1448017556352101,2.3220235933754584e-07,1.0149776653244542,173.49186058207928,7.093318091639286
1000,64,0.013670256361365318,7.180804923991668,0.1388622418338874,2.1753632749401242e-07,1.0026015583668235,185.18846859786305,7.335889020173925
1100,64,0.013686240650713444,7.12466965270698,0.1410789409418777,1.3061094791239334e-07,0.9945637404587707,308.43677346282254,6.899391550278144
1200,64,0.013651943765580654,7.182454532406634,0.14302810465246507,1.5234975680871304e-07,1.0097012876650036,264.4258855207797,7.1817611333028335
1300,64,0.013706669211387634,7.131730364973274,0.1530004279269225,3.0085536657574236e-07,1.0088996627507065,133.90227939602767,7.200089598700673
1400,64,0.013694905675947666,7.139530967291174,0.14187102566135154,2.723925019834877e-07,0.9789955342743987,147.8940097824772,7.232826224673381
1500,64,0.013749529607594013,7.1476315303735385,0.16333499571872054,1.4520124786894265e-07,1.0007976459275716,277.44402988451213,7.142732249778431
1600,64,0.05979295168071985,7.180427896728132,0.1567679401820934,7.367681967899046e-08,1.0022171576951893,546.7828216329352,7.0843203258401015
1700,64,0.013724688440561295,7.150420183096494,0.14277771439804052,1.7823547637319418e-07,0.9937273532330719,226.02245171813672,7.235919710661479
1800,64,0.06784695666283369,7.140409525900419,0.14582732060221476,1.7994831772081617e-07,1.0070773279582612,223.87105288486526,7.0924032885630375
1900,64,0.016258825547993183,7.16041764038868,0.151505592611614,1.4356675899271706e-07,0.9910690366035686,280.6026940753256,7.236256585168733
2000,64,0.015490428544580936,7.17670655488782,0.14531969507598225,1.3791692917832885e-07,0.9953918169399906,292.0977112311566,7.415149278561971
2100,64,0.013704534620046616,7.150353408319818,0.18914745186264206,3.303635317936263e-07,0.9836257479490036,121.94208947428561,7.3206323717107775
2200,64,0.013705872930586338,7.158438348169517,0.1568916719513973,1.4709180257537725e-07,0.9874969999381866,273.87807238527245,7.319128865599461
2300,64,0.013707445003092289,7.13277512810755,0.1615475555718036,2.903702887263242e-07,0.9849953032161863,138.73740157688258,6.970057481583284
2400,64,0.01369042694568634,7.148019972940234,0.1455902502968786,5.7966863526584136e-08,1.0573960283767883,694.9697965725575,7.078331808953696
2500,64,0.01370335090905428,7.163740695230631,0.14911728299896138,2.525696476522756e-07,0.9578599888857939,159.50142753685873,7.387728673055261
2600,64,0.01372444536536932,7.139388516097658,0.15730216636705122,1.4909681525471638e-07,1.0447363221101496,270.19503591807967,6.985667405339692
2700,64,0.013775298371911049,7.147387008004872,0.1513105855796132,2.5492645282672895e-07,1.002763544712297,158.02683050864422,7.092224578506506
2800,64,0.014912530779838562,7.158113521757501,0.1615475555718036,1.0105204640946371e-07,1.0235577812658136,398.65812503967845,7.031755911112597
2900,64,0.013706088997423649,7.17066521226481,0.16333499571872054,2.20745972505967e-07,0.9992534535367013,182.4958294626663,7.286979391792145
3000,64,0.013709980994462967,7.146993900468885,0.13728476238545204,1.9212500377913616e-07,1.0305497696165684,209.68233473312313,7.019524951774105
3100,64,0.013723645359277725,7.165832050782301,0.15590427086925276,3.2492503556346725e-07,1.022761400449911,123.983119008232,7.383779003633014
3200,64,0.013692541047930717,7.146795122474515,0.14240585561171773,2.9999492782383415e-07,0.9998561366530523,134.28633492322257,7.209436881139494
3300,64,0.013721656985580921,7.122174274661939,0.1506895191476463,2.257709891523162e-07,0.9897591763144155,178.43399412951587,6.96527978727232
3400,64,0.013715818524360657,7.156760833147133,0.1623445162771365,2.018949577979154e-07,1.0140113674594773,199.53553963117017,6.831417344676808
3500,64,0.013674766756594181,7.118139702356467,0.1360445872763133,2.967381236444363e-07,0.9962219172455207,135.76017418405857,7.152037345684288
3600,64,0.013705923222005367,7.162375053027645,0.14240900197826978,8.327201230876173e-08,1.0221666272648648,483.77862184532125,7.014300686460315
3700,64,0.013726736418902874,7.17965465451314,0.1568916719513973,1.4211555281211668e-07,1.0046844144986935,283.46805508527484,7.2713782674950505
3800,64,0.014714007265865803,7.144888182529262,0.1312813376148803,1.3884262011878726e-07,1.0149593713446468,290.15023858346393,7.063860500380255
3900,64,0.05682194698601961,7.1647931380460665,0.16333499571872054,8.444301104264498e-08,1.0142551930338028,477.0699061485945,7.2563642856375035
4000,64,0.013702921569347382,7.125901881185047,0.15590427086925274,3.0027047840140485e-07,0.969823518947977,134.16310377061328,7.226232503694122
