step,loss,rolling_std
1,0.001471168827265501,
2,0.0014895843341946602,1.30217298285963e-05
3,0.0014707654481753707,1.075053549949393e-05
4,0.0012520349118858576,0.00011291069202970103
5,0.001296329079195857,0.00011253720355190638
6,0.0015064645558595657,0.00011030094629101875
7,0.0014531593769788742,0.00010175113068153391
8,0.001309902872890234,0.00010191900343748875
9,0.0011654519475996494,0.00012461031914253219
10,0.0014761114725843072,0.00012139677677532588
11,0.0013528994750231504,0.00011568308497834223
12,0.0012460695579648018,0.00011744437447719205
13,0.0013408167287707329,0.00011282410974478859
14,0.0014193430542945862,0.00010914641695149731
15,0.001193753443658352,0.00011511825408835446
16,0.0013692488428205252,0.00011122604048668602
17,0.0013606887077912688,0.00010769604005123725
18,0.0012278154026716948,0.00010924246359930004
19,0.0015558493323624134,0.0001156740675888182
20,0.0011292360723018646,0.00012443239711107488
21,0.0013246431481093168,0.00012145464459101218
22,0.00117119075730443,0.00012469949511736403
23,0.0012052652891725302,0.00012525163746397968
24,0.0012409111950546503,0.00012411089230380775
25,0.00136563868727535,0.00012165694478980938
26,0.001353409606963396,0.0001192491435359742
27,0.001459126709960401,0.00011929289514792475
28,0.0012484185863286257,0.000118363073584335
29,0.001341298222541809,0.00011623216299914738
30,0.0015457803383469582,0.00012035667035375677
31,0.0013441205956041813,0.00011833377838586002
32,0.0012946524657309055,0.00011674558327006756
33,0.0015534276608377695,0.0001205958921154715
34,0.001387880533002317,0.00011893659174956771
35,0.001234714756719768,0.00011880216423026976
36,0.001302141696214676,0.00011733484034270799
37,0.0013275292003527284,0.00011573395411488927
38,0.0013439308386296034,0.00011415958653999995
39,0.0013681852724403143,0.00011270578596024816
40,0.0012329774908721447,0.00011268077831687959
41,0.0014652230311185122,0.00011288095399741526
42,0.0013874017167836428,0.00011167633463401816
43,0.0012211031280457973,0.00011200330293891202
44,0.0012064861366525292,0.00011262665971626796
45,0.0014159908751025796,0.00011189650279373373
46,0.00117758777923882,0.00011329739563069568
47,0.0016386897768825293,0.00012027025771938918
48,0.0013155187480151653,0.00011906323757844786
49,0.0013295672833919525,0.00011783709026404894
50,0.0014088349416851997,0.00011698080229423353
51,0.0012760786339640617,0.00011621785413574202
52,0.0012381928972899914,0.00011601499819082933
53,0.0012206643586978316,0.00011610748736074865
54,0.0011900701792910695,0.00011680864727153369
55,0.0014191719237715006,0.00011624524858199885
56,0.001233158865943551,0.00011604800303956538
57,0.001207107212394476,0.00011628824570904177
58,0.0013836820144206285,0.00011544233546537976
59,0.0015397371025756001,0.00011748729169518849
60,0.001247194828465581,0.00011708992233996598
61,0.0013955413596704602,0.00011634718554279848
62,0.0013930677669122815,0.00011559744285921307
63,0.0013269411865621805,0.00011467213721110613
64,0.0014807864790782332,0.00011512710201794891
65,0.0015086112543940544,0.00011609172617448488
66,0.0014816820621490479,0.00011643568862443581
67,0.0013774888357147574,0.0001156140056575616
68,0.0014258328592404723,0.00011515025427959842
69,0.0015659835189580917,0.00011728238063345545
70,0.001196975470520556,0.00011787323020351544
71,0.0012276405468583107,0.00011790629394339979
72,0.0012749118031933904,0.00011738050652193498
73,0.0013226355658844113,0.00011659446732804883
74,0.0012841346906498075,0.00011601362921288488
75,0.0014224573969841003,0.00011557542331300038
76,0.0013066633837297559,0.00011489026132092981
77,0.0012355770450085402,0.00011481514029973223
78,0.0013026881497353315,0.00011416255910651474
79,0.0013849262613803148,0.00011352469628652607
80,0.0012355789076536894,0.00011345211375973342
81,0.0013438204769045115,0.00011274089743782656
82,0.0014000919181853533,0.00011222279301523126
83,0.0012350695906206965,0.00011216684084103886
84,0.0014021347742527723,0.00011168226029105538
85,0.001226632623001933,0.00011172671850078045
86,0.0012259009527042508,0.00011176258303429706
87,0.0016043995274230838,0.00011467066784013124
88,0.0014542602002620697,0.00011462491824702869
89,0.0012990809045732021,0.00011407239713767384
90,0.0012137325247749686,0.00011425484597113414
91,0.0012857106048613787,0.00011377318230272134
92,0.0013152550673112273,0.00011317990476120348
93,0.0012564694043248892,0.00011290718551823933
94,0.0013300401624292135,0.00011230369467481339
95,0.0012649556156247854,0.00011197248604097647
96,0.0012274016626179218,0.0001119686006963643
97,0.0013133438769727945,0.00011141300454153913
98,0.0014198620337992907,0.00011114404749349174
99,0.001376137137413025,0.00011063851804787721
100,0.0013483756920322776,0.00011008200162989833
101,0.0011450655292719603,0.00011096757689027287
102,0.0014905717689543962,0.00011098140650702823
103,0.0014190517831593752,0.0001104673872052046
104,0.0014765245141461492,0.00011102970299978853
105,0.001346732140518725,0.00011095328310041047
106,0.0013261863496154547,0.0001096526337639825
107,0.0011467221193015575,0.00011064088773932541
108,0.0012845986057072878,0.00011072447993324755
109,0.0013819232117384672,0.0001095188782446033
110,0.0013579075457528234,0.00010861998576804872
111,0.0013064449885860085,0.00010863899454592104
112,0.0012113095726817846,0.00010897774270930019
113,0.0013041940983384848,0.00010901441216436732
114,0.0013130911393091083,0.0001086829015098365
115,0.0013907456304877996,0.00010793333730465868
116,0.0012640850618481636,0.0001080989596599109
117,0.0014418251812458038,0.00010861229310815089
118,0.0014595977263525128,0.00010880082581912284
119,0.0015019619604572654,0.00010783062801038986
120,0.0013010583352297544,0.00010586050320534349
121,0.0012334899511188269,0.00010636176926648701
122,0.0013941011857241392,0.0001051942580860406
123,0.0014924074057489634,0.0001054363947075235
124,0.0016522654332220554,0.00010942216800472982
125,0.001566676888614893,0.00011161892906469485
126,0.0014036349020898342,0.00011175822955917855
127,0.0013688376639038324,0.00011121564279396183
128,0.00146960886195302,0.00011143048091609081
129,0.0012544855708256364,0.00011183180188303708
130,0.0013703802833333611,0.00011006870735559309
131,0.0012056836858391762,0.00011096955542895404
132,0.0013873715652152896,0.00011092852826357578
133,0.0014389799907803535,0.00010934948350260602
134,0.0012907530181109905,0.0001093978230333341
135,0.0012578493915498257,0.00010918817091121911
136,0.0015442611183971167,0.00011091133797649309
137,0.0014581442810595036,0.00011144903084012296
138,0.0014712100382894278,0.00011212476791480165
139,0.0014599936548620462,0.00011265432505383997
140,0.0012636795872822404,0.00011237264471946811
141,0.0013579390943050385,0.00011177856465459763
142,0.0012882363516837358,0.00011187968215054868
143,0.0013786156196147203,0.00011117293810234099
144,0.001140293083153665,0.00011222922721426934
145,0.0010132218012586236,0.0001169479201852854
146,0.0012830325867980719,0.00011588926022381255
147,0.0013659382238984108,0.00011209164963281863
148,0.0013817953877151012,0.00011211852847723348
149,0.0013435985893011093,0.00011210844716866183
150,0.0013338681310415268,0.0001119252588834387
151,0.0012792919296771288,0.0001119060571346762
152,0.0013014269061386585,0.00011148050026289081
153,0.0012873962987214327,0.00011092984623943674
154,0.0011590273352339864,0.00011141077074780188
155,0.0011845164699479938,0.00011229827206399313
156,0.0012585337972268462,0.00011207703905248459
157,0.0012719013029709458,0.00011147025944262843
158,0.0013366708299145103,0.00011139800006577193
159,0.0012411497300490737,0.00011006467783236944
160,0.001334584318101406,0.00010966659775736058
161,0.001215097727254033,0.00011024098990409542
162,0.0012723419349640608,0.00011030468216486837
163,0.0014059707755222917,0.00011050857834549037
164,0.0012820498086512089,0.00010971076373595308
165,0.0012073491234332323,0.00010907589052651322
166,0.0012120618484914303,0.0001087115203040134
