method,group,recall_at_15_mean,recall_at_15_std,recall_at_15_count,temporal_neighbor_mae_mean,temporal_neighbor_mae_std,temporal_neighbor_mae_count,excess_temporal_neighbor_mae_mean,excess_temporal_neighbor_mae_std,excess_temporal_neighbor_mae_count,temporal_bracketing_rate_mean,temporal_bracketing_rate_std,temporal_bracketing_rate_count,density_log_distortion_mean,density_log_distortion_std,density_log_distortion_count,global_periphery_percentile_mean,global_periphery_percentile_std,global_periphery_percentile_count,collapse_rate_mean,collapse_rate_std,collapse_rate_count,latency_seconds_mean,latency_seconds_std,latency_seconds_count
fit_grid,all,0.10989130723643994,0.0003194561449990612,2,1.072999548220787,0.0004848216788810336,2,0.13760710885433194,0.0010771540938417452,2,0.3806281044704374,0.0007931016613212577,2,0.27931904792785645,0.0018967346235357642,2,0.46976583394192895,0.00025121864857415325,2,0.0,0.0,2,0.6070181054769931,0.7430735569665747,2
fit_grid,extrapolation,0.1146937480165027,1.4960473525580338e-05,2,1.1376071088543318,0.001077154093841863,2,0.13760710885433192,0.0010771540938417942,2,,,0,0.2806294113397598,0.0019228867430367543,2,0.44935504556219696,0.00010719002047295957,2,0.0,0.0,2,0.748884384842369,0.9436486971586854,2
fit_grid,interpolation,0.10504192704160654,0.0006269279799015231,2,1.0077605084655237,0.00011330023733153815,2,,,0,0.3806281044704374,0.0007931016613212577,2,0.27799589931964874,0.001870329622943689,2,0.49037611889130733,0.00039665502324063255,2,0.0,0.0,2,0.46376521450429653,0.5405379803777778,2
fit_grid,timepoint:4-5,0.10504192704160654,0.0006269279799015231,2,1.0077605084655237,0.00011330023733153815,2,,,0,0.3806281044704374,0.0007931016613212577,2,0.27799589931964874,0.001870329622943689,2,0.49037611889130733,0.00039665502324063255,2,0.0,0.0,2,0.46376521450429653,0.5405379803777778,2
fit_grid,timepoint:8-9,0.1146937480165027,1.4960473525580338e-05,2,1.1376071088543318,0.001077154093841863,2,0.13760710885433192,0.0010771540938417942,2,,,0,0.2806294113397598,0.0019228867430367543,2,0.44935504556219696,0.00010719002047295957,2,0.0,0.0,2,0.748884384842369,0.9436486971586854,2
uniform_mc,all,0.10917909059501976,0.0010560844322912032,2,1.0725158787105689,0.0012515164268787373,2,0.13657040093092135,0.0020944662935812475,2,0.3746995673770229,0.006458113527901502,2,0.2800317108631134,0.0002398577148755568,2,0.4679973421992017,4.1809799606068816e-05,2,0.0,0.0,2,0.8411624371967371,1.0744109326739748,2
uniform_mc,extrapolation,0.11408018618428005,0.0014960473525580144,2,1.1365704009309212,0.002094466293581169,2,0.13657040093092135,0.0020944662935812475,2,,,0,0.28398703038692474,8.170166583836808e-05,2,0.44684796334162213,0.0001776829365416678,2,0.0,0.0,2,0.8271403925618827,1.0548087879777215,2
uniform_mc,interpolation,0.10423009133151734,0.000611821281590727,2,1.0078352828072425,0.00040032750523836836,2,,,0,0.3746995673770229,0.006458113527901502,2,0.27603775262832636,0.0003995521238832754,2,0.48935343666490694,0.0002634478741459897,2,0.0,0.0,2,0.8553215343428442,1.0942046701961332,2
uniform_mc,timepoint:4-5,0.10423009133151734,0.000611821281590727,2,1.0078352828072425,0.00040032750523836836,2,,,0,0.3746995673770229,0.006458113527901502,2,0.27603775262832636,0.0003995521238832754,2,0.48935343666490694,0.0002634478741459897,2,0.0,0.0,2,0.8553215343428442,1.0942046701961332,2
uniform_mc,timepoint:8-9,0.11408018618428005,0.0014960473525580144,2,1.1365704009309212,0.002094466293581169,2,0.13657040093092135,0.0020944662935812475,2,,,0,0.28398703038692474,8.170166583836808e-05,2,0.44684796334162213,0.0001776829365416678,2,0.0,0.0,2,0.8271403925618827,1.0548087879777215,2
