status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,n_bootstrap,seed,direction,group,fraction_worsened,paired_effect_size_dz,conditional_sign_test_p,test_assumption,inference_scope,conditional_sign_test_p_holm
ok,12543,0,0.1101171968428605,0.1099258550585984,0.0001913417842621,0.0,-0.0005315049562837,0.0009141885248079,0.137128278721199,0.7274974089133381,10000,0,higher,all,0.1353743123654628,0.0046985769561362,0.7194530798338791,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",1.0
ok,6241,0,0.1054852320675105,0.1046627143086044,0.0008225177589061,0.0,-0.0002029589275222,0.0018266303477006,0.1379586604710783,0.7319339849383112,10000,0,higher,interpolation,0.1301073545906104,0.0198442954822745,0.2405755195500419,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",1.0
ok,6302,0,0.1147043266687824,0.11513805141225,-0.0004337247434676,0.0,-0.0013752247963609,0.0005818258753834,0.1363059346239289,0.7231037765788638,10000,0,higher,extrapolation,0.1405902887972072,-0.0108470087177616,0.5336851687466238,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",1.0
ok,6241,0,0.1054852320675105,0.1046627143086044,0.0008225177589061,0.0,-0.0002029589275222,0.0018266303477006,0.1379586604710783,0.7319339849383112,10000,0,higher,timepoint:4-5,0.1301073545906104,0.0198442954822745,0.2405755195500419,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",1.0
ok,6302,0,0.1147043266687824,0.11513805141225,-0.0004337247434676,0.0,-0.0013752247963609,0.0005818258753834,0.1363059346239289,0.7231037765788638,10000,0,higher,timepoint:8-9,0.1405902887972072,-0.0108470087177616,0.5336851687466238,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",1.0
ok,12543,0,0.1096654176300194,0.1084323261314411,0.0012330914985782,0.0,0.000552765154535,0.0019453081399984,0.1397592282548034,0.7353902575141513,10000,1,higher,all,0.1248505142310452,0.030997363679219,0.0012408142794414,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",0.0062040713972072
ok,6241,0,0.1045986220157026,0.1037974683544303,0.0008011536612722,0.0,-0.0001709127810714,0.0017945842012497,0.1318698926454093,0.7463547508412114,10000,1,higher,interpolation,0.1217753565133792,0.0203873064450679,0.1191342508559866,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",0.2382685017119732
ok,6302,0,0.114683169364223,0.1130223209563101,0.0016608484079128,0.0,0.0006876123981804,0.0026552417222045,0.1475721993018089,0.7245318946366233,10000,1,higher,extrapolation,0.1278959060615677,0.0412607492942382,0.0031450864320255,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",0.0125803457281022
ok,6241,0,0.1045986220157026,0.1037974683544303,0.0008011536612722,0.0,-0.0001709127810714,0.0017945842012497,0.1318698926454093,0.7463547508412114,10000,1,higher,timepoint:4-5,0.1217753565133792,0.0203873064450679,0.1191342508559866,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",0.2382685017119732
ok,6302,0,0.114683169364223,0.1130223209563101,0.0016608484079128,0.0,0.0006876123981804,0.0026552417222045,0.1475721993018089,0.7245318946366233,10000,1,higher,timepoint:8-9,0.1278959060615677,0.0412607492942382,0.0031450864320255,conditional iid cells/non-tied signs; donor/time dependence not modeled,"fixed trained models and reference; cell bootstrap, not biological replication",0.0125803457281022
