group,mean,std,count
all,0.00071221664142015,0.000736628287292063,2
extrapolation,0.0006135618322226,0.001481086879032358,2
interpolation,0.0008118357100891499,1.5106698310862162e-05,2
timepoint:4-5,0.0008118357100891499,1.5106698310862162e-05,2
timepoint:8-9,0.0006135618322226,0.001481086879032358,2
