path,bytes,mtime_ns,sha256,tasks,unchanged
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_summary_seeds_0_1/matched_seed_results.csv,6985,1789630199201509287,cc92b83dccccc13a7a929ac689d505872adffad15849aed4e9e363adbcc60232,temporal/seed_comparison,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_summary_seeds_0_1/matched_seed_summary.csv,3661,1789630199202509281,e9491ba44c9aa17be6d8bb4e980c41f5041a853dd4a9b7d659f4cdbbf44d8c27,temporal/seed_comparison,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/config/manifest.json,6594,1789474130916280673,075a863b4fefdedb8b0ca32dc30622589dbd7b1e003d99f2ef2a68b66620d61c,benchmark_training/loss;benchmark_training/std;benchmark_training/validation;teacher/bias;teacher/ess;teacher/rmse;teacher/runtime,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/metrics/estimator_metrics.csv,3854,1789469268377747436,35f08a6211a0ce3b94a0f24a87c2e38b8fbbb3212ecc4c791a0c75bd9c8fe4d8,teacher/bias;teacher/ess;teacher/rmse;teacher/runtime,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/estimator_benchmark/dual_raw_is_diagnostics.csv,116770,1789459815208505138,e6d487d5811ab8c9793dcb4d9817bacd2a37f7fde936971e7d5c7fee50bd0032,teacher/ess,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/estimator_benchmark/dual_hub_is_diagnostics.csv,116888,1789459818304530383,d5ebafb97b2d9aabb1859241f776fbb69c44d0d93aa1eb299bea183e46534994,teacher/ess,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/estimator_benchmark/dual_raw_is_weights.npy,25600128,1789459815231505326,8c2c1e62847ed8dab81a120bedc0aa5e2375ba86a9ecf41e017cf26ddb77a899,teacher/importance_weights,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/estimator_benchmark/dual_hub_is_weights.npy,25600128,1789459818321530522,8ef1aac06c29ef916afecb067afbdc87190f54802bdfc4f96518bc9e49f1204a,teacher/importance_weights,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/uniform_mc/validation.csv,7217,1789459948875211678,d45fb7d3065c7390285c6505c133d55053cffc1052d291438224c6b6df3c6b95,benchmark_training/validation,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_raw_is/validation.csv,7235,1789460127031676367,9dd1a80f319dd1d8b372d82376b81fa680ed4e6d2c04e300b01fe4b17fe63113,benchmark_training/validation,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_hub_is/validation.csv,7233,1789460307540191255,5a6f999e121c536e6b6e58e1bc969c0fd38755008af432021dfb4ca5206f97f5,benchmark_training/validation,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_topl/validation.csv,7236,1789460580126709218,a310d161c4ddd9accc4c3e12d1ddc16788c9b3cf01a1d291e5a523d316747448,benchmark_training/validation,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/barnes_hut/validation.csv,7237,1789474081522689896,9de8ed5550168b34a104109d2073b8def9190c7090fdede8b719c1b81c93d33d,benchmark_training/validation,True
