stage,context,comparison,group,delta,low,high,n
confirmation,temporal1,FitGrid minus Uniform selected,8-9,0.0008666666666666668,-0.0009333333333333332,0.0026666666666666666,2000
transfer,existing,Uniform selected minus current,macro,0.0,0.0,0.0,2000
transfer,existing,Uniform selected minus current,micro,0.0,0.0,0.0,2000
transfer,existing,Uniform selected minus current,0-1,0.0,0.0,0.0,400
transfer,existing,Uniform selected minus current,2-3,0.0,0.0,0.0,400
transfer,existing,Uniform selected minus current,4-5,0.0,0.0,0.0,400
transfer,existing,Uniform selected minus current,6-7,0.0,0.0,0.0,400
transfer,existing,Uniform selected minus current,8-9,0.0,0.0,0.0,400
transfer,existing,FitGrid selected minus current,macro,0.0,0.0,0.0,2000
transfer,existing,FitGrid selected minus current,micro,0.0,0.0,0.0,2000
transfer,existing,FitGrid selected minus current,0-1,0.0,0.0,0.0,400
transfer,existing,FitGrid selected minus current,2-3,0.0,0.0,0.0,400
transfer,existing,FitGrid selected minus current,4-5,0.0,0.0,0.0,400
transfer,existing,FitGrid selected minus current,6-7,0.0,0.0,0.0,400
transfer,existing,FitGrid selected minus current,8-9,0.0,0.0,0.0,400
transfer,existing,FitGrid minus Uniform selected,macro,0.00046666666666666715,-0.0011341666666666666,0.002033333333333334,2000
transfer,existing,FitGrid minus Uniform selected,micro,0.0004666666666666671,-0.0011341666666666666,0.0020333333333333336,2000
transfer,existing,FitGrid minus Uniform selected,0-1,0.0011666666666666668,-0.0028333333333333327,0.0051666666666666675,400
transfer,existing,FitGrid minus Uniform selected,2-3,-0.003166666666666666,-0.006337499999999999,2.7755575615628914e-19,400
transfer,existing,FitGrid minus Uniform selected,4-5,0.0003333333333333338,-0.003,0.003666666666666667,400
transfer,existing,FitGrid minus Uniform selected,6-7,0.0005000000000000004,-0.0030000000000000005,0.004,400
transfer,existing,FitGrid minus Uniform selected,8-9,0.0035000000000000005,-0.00016666666666666693,0.007166666666666667,400
