stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
confirmation,temporal0,Uniform,0.5,2,4-5,2000,0.10206666666666667,0.10709354459864,0.2849175035953522,0.282,164.17864910233766,0.11068333333333333,0.49870915710926056
confirmation,temporal0,Uniform,0.5,2,8-9,2000,0.1193,0.12422331808195886,0.28352659940719604,0.253,161.9761158293113,0.11068333333333333,0.49870915710926056
confirmation,temporal0,FitGrid,0.5,2,4-5,2000,0.10269999999999999,0.10897394625491579,0.28840556740760803,0.2875,138.07106604706496,0.11043333333333333,0.4996658246964216
confirmation,temporal0,FitGrid,0.5,2,8-9,2000,0.11816666666666667,0.12379942893874539,0.28302904963493347,0.264,138.05726510565728,0.11043333333333333,0.4996658246964216
