method,mse,rmse,exact_signal_rms,normalized_rmse,cosine,cosine_valid_fraction,magnitude_error,relative_magnitude_error,relative_magnitude_valid_fraction
uniform_mc,0.00014488095916254836,0.012036650662146358,0.020272565230181724,0.5937408771646834,0.7298544684433689,1.0,0.005963770076122938,0.46585018925087185,1.0
fit_grid,0.00011404580933458309,0.010679223255208363,0.020272565230181724,0.5267820393695996,0.7781554499593936,1.0,0.005762974768070878,0.41192106891943875,1.0
