method,bin_left,bin_right,count,fraction,total_weights,zero_count,positive_underflow_count,overflow_count,shape,layout
dual_raw_is,0.001584893192461114,0.0019952623149688807,15101,0.0047190625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.0019952623149688807,0.002511886431509582,30683,0.0095884375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.002511886431509582,0.0031622776601683794,47411,0.0148159375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.0031622776601683794,0.003981071705534973,67659,0.0211434375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.003981071705534973,0.005011872336272725,89089,0.0278403125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.005011872336272725,0.006309573444801936,107654,0.033641875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.006309573444801936,0.00794328234724282,116118,0.036286875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.00794328234724282,0.01,130496,0.04078,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.01,0.012589254117941687,136794,0.042748125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.012589254117941687,0.01584893192461114,138918,0.043411875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.01584893192461114,0.01995262314968879,140165,0.0438015625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.01995262314968879,0.025118864315095822,136076,0.04252375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.025118864315095822,0.03162277660168379,131654,0.041141875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.03162277660168379,0.039810717055349776,123200,0.0385,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.039810717055349776,0.05011872336272725,117533,0.0367290625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.05011872336272725,0.06309573444801943,107847,0.0337021875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.06309573444801943,0.07943282347242822,100531,0.0314159375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.07943282347242822,0.1,92675,0.0289609375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.1,0.12589254117941687,84962,0.026550625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.12589254117941687,0.1584893192461114,76712,0.0239725,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.1584893192461114,0.19952623149688828,70606,0.022064375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.19952623149688828,0.25118864315095824,65206,0.020376875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.25118864315095824,0.31622776601683794,60709,0.0189715625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.31622776601683794,0.39810717055349776,56246,0.017576875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.39810717055349776,0.5011872336272725,53874,0.016835625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.5011872336272725,0.6309573444801942,51900,0.01621875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.6309573444801942,0.7943282347242822,51124,0.01597625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,0.7943282347242822,1.0,50867,0.0158959375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.0,1.2589254117941688,50883,0.0159009375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.2589254117941688,1.584893192461114,51223,0.0160071875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.584893192461114,1.9952623149688828,51719,0.0161621875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.9952623149688828,2.5118864315095824,51016,0.0159425,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,2.5118864315095824,3.1622776601683795,49418,0.015443125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.1622776601683795,3.9810717055349776,47099,0.0147184375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.9810717055349776,5.011872336272725,43176,0.0134925,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,5.011872336272725,6.309573444801943,37722,0.011788125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,6.309573444801943,7.943282347242821,32377,0.0101178125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,7.943282347242821,10.0,26143,0.0081696875,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,10.0,12.589254117941687,19971,0.0062409375,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,12.589254117941687,15.848931924611142,15465,0.0048328125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,15.848931924611142,19.95262314968883,11037,0.0034490625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,19.95262314968883,25.11886431509582,7544,0.0023575,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,25.11886431509582,31.622776601683793,5092,0.00159125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
