query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.05612689256668091,0.4666666666666667,120
1,0.8666666666666667,0.8666666666666667,0.9649025587188172,0.9846263118473422,0.009194090962409973,0.0,120
2,0.8,0.8,0.9246809163322182,0.9665370652731853,0.0008684899657964706,0.06666666666666667,120
3,0.8666666666666667,0.8666666666666667,0.9656227368720727,0.9850941395415275,0.0005800100043416023,0.13333333333333333,120
4,1.0,1.0,1.0,1.0,0.001711326651275158,0.4,120
5,1.0,1.0,1.0,1.0,0.002949243411421776,0.6,120
6,0.9333333333333333,0.9333333333333333,0.9575985032044385,0.9800593422036821,0.009129991754889488,0.13333333333333333,120
7,0.8666666666666667,0.8666666666666667,0.9718573893426347,0.9878522337530042,0.009265490807592869,0.2,120
8,1.0,1.0,1.0,1.0,0.0014143642038106918,0.3333333333333333,120
9,1.0,1.0,1.0,1.0,0.001217639073729515,0.3333333333333333,120
10,0.6,0.6,0.6702228658534545,0.8036223082706198,0.0012855399399995804,0.26666666666666666,120
11,1.0,1.0,1.0,1.0,0.001140497624874115,0.3333333333333333,120
12,0.6666666666666666,0.6666666666666666,0.8584030779924364,0.9287071815429413,0.0011400524526834488,0.06666666666666667,120
13,0.9333333333333333,0.9333333333333333,0.9551685207615578,0.9788737530277797,0.0012602927163243294,0.26666666666666666,120
14,1.0,1.0,1.0,1.0,0.001096423715353012,0.3333333333333333,120
15,0.8666666666666667,0.8666666666666667,0.9599947580820801,0.9822743300082096,0.0012493385002017021,0.06666666666666667,120
16,1.0,1.0,1.0,1.0,0.0010529756546020508,0.3333333333333333,120
17,0.8,0.8,0.8845982787091017,0.9422162833008478,0.0008964845910668373,0.06666666666666667,120
18,0.7333333333333333,0.7333333333333333,0.9602979065929611,0.9814615818790722,0.0011321855708956718,0.0,120
19,0.6666666666666666,0.6666666666666666,0.6040317359467537,0.6304744111874414,0.0011668959632515907,0.0,120
20,0.8666666666666667,0.8666666666666667,0.9185040998252442,0.9612993483140874,0.0014723315834999084,0.13333333333333333,120
21,0.9333333333333333,0.9333333333333333,0.9065336177291471,0.9418584053107409,0.0012979507446289062,0.06666666666666667,120
22,0.8666666666666667,0.8666666666666667,0.9285343328307584,0.9658863948947892,0.001310090534389019,0.2,120
23,0.8666666666666667,0.8666666666666667,0.9184074991254625,0.9610231325660074,0.0013056769967079163,0.26666666666666666,120
24,0.6666666666666666,0.6666666666666666,0.6749688797783574,0.7903910617918689,0.0005590971559286118,0.0,120
25,0.4666666666666667,0.4666666666666667,0.37513774398448096,0.4436315932107081,0.00042890384793281555,0.13333333333333333,120
26,0.7333333333333333,0.7333333333333333,0.8270666158296729,0.9142629169926185,0.0004154592752456665,0.0,120
27,0.6666666666666666,0.6666666666666666,0.7752777944595641,0.887047763404015,0.0007126061245799065,0.13333333333333333,120
28,0.9333333333333333,0.9333333333333333,0.9643256698427735,0.9837871132143289,0.0009609619155526161,0.06666666666666667,120
29,0.8666666666666667,0.8666666666666667,0.9576572822742275,0.9807781133596893,0.0007884223014116287,0.2,120
30,0.8,0.8,0.9235429258656104,0.9631710463514982,0.0009757056832313538,0.2,120
31,0.8666666666666667,0.8666666666666667,0.9132731702490605,0.9580980442303821,0.0007843077182769775,0.13333333333333333,120
32,0.4666666666666667,0.4666666666666667,0.4074691999324514,0.42646555726830737,0.0009683975949883461,0.06666666666666667,120
33,1.0,1.0,1.0,1.0,0.0007689502090215683,0.26666666666666666,120
34,0.6,0.6,0.7688164403392704,0.8832264004432109,0.0009510759264230728,0.13333333333333333,120
35,0.8666666666666667,0.8666666666666667,0.9552323041232696,0.9806171405560657,0.0007719453424215317,0.4,120
36,0.9333333333333333,0.9333333333333333,0.9237462101684492,0.9568082695302093,0.0009306650608778,0.13333333333333333,120
