step,force_interactions,score_seconds,entropy,max_probability,min_sampled_probability,mean_weight,max_weight,ess
100,64,0.014956342987716198,7.344295586445963,0.34600785879163826,4.793178229901543e-08,1.0250943037188005,840.4698807506451,7.174615294668374
200,64,0.013920513913035393,7.329670742812906,0.3334210832583143,7.368263982663203e-08,1.0305808796660143,546.7396315849503,6.967937081388204
300,64,0.013914743438363075,7.334476209377133,0.2506856000793951,1.389144536441913e-07,1.0070595835718668,290.0002000958372,7.101583658815322
400,64,0.013953541405498981,7.334251501701271,0.3241716818697205,1.3370270194544186e-07,0.9912545367196168,301.3044520929576,7.053259917355962
500,64,0.013930738903582096,7.345067641953188,0.32743060581892597,1.7503029250764469e-07,1.0336228495843436,230.16141249526774,7.10509398452179
600,64,0.013945203274488449,7.346740210807192,0.2850586167938803,9.048940965811216e-08,0.9928058535776401,445.19264193705465,7.11454218017795
700,64,0.05401608441025019,7.339014584814239,0.5692316040172668,1.955066629857021e-07,0.9942285580977024,206.05548034936047,6.945678431496145
800,64,0.013872728683054447,7.304134668409792,0.4269067845578559,6.195733644845121e-08,1.035824419137251,650.2090254725018,7.086454097471232
900,64,0.013905524276196957,7.34581524906549,0.30949900328175195,1.6995145734403686e-07,1.0164421170727052,237.039564017795,7.133022860249737
1000,64,0.014095738530158997,7.356536738454574,0.32713111973995906,9.40324032811923e-08,1.0732096213941984,428.41848072893976,7.174943255998268
1100,64,0.08760298043489456,7.334484179526534,0.3952147026882418,2.1360870766281415e-07,0.9878618664673636,188.59352595592895,7.099023341541775
1200,64,0.015707832761108875,7.325603835991166,0.3817998283579503,1.256648103912582e-07,0.9991503021335485,320.57677266683555,7.096919567274964
1300,64,0.015672089532017708,7.328829368858113,0.3241716818697205,1.4334759715843848e-07,0.995384077698527,281.0317030183153,7.268517303600938
1400,64,0.01385573297739029,7.331192705447551,0.32437593263943804,1.2823616507925986e-07,1.0071439837810965,314.148659452815,7.208552746361138
1500,64,0.01383030042052269,7.361006130507574,0.31983055602140503,2.1034777463002803e-07,0.9639015685094564,191.51721202601442,7.168883704512826
1600,64,0.013844406232237816,7.332239601218112,0.35663492282951353,1.1731236800327506e-07,0.9952920975606712,343.401297226348,7.125309255957944
1700,64,0.013843252323567867,7.34376895642338,0.33252872628209396,2.126528838780894e-07,0.9667749654166675,189.4412086887769,6.9360586728816624
1800,64,0.01398671418428421,7.350662913278869,0.3715589660758186,2.4028564285308935e-07,0.980824764000769,167.65554060859876,7.309107303214601
1900,64,0.013832374475896358,7.357574838725096,0.43993487628119515,1.738972292857158e-07,1.001232825346046,231.66107659386654,7.103671731855012
2000,64,0.014104503206908703,7.323932645025158,0.35345753051894785,1.2031321608480228e-07,1.0287532322396107,334.8361939275607,7.092055764184087
2100,64,0.08512612618505955,7.339474005687804,0.5692316040172668,1.0654978660336088e-07,1.0822923972789273,378.0882218280169,7.264524445960349
2200,64,0.0157607551664114,7.339721869214713,0.42690678455785597,7.354666244618142e-08,1.0127424800884315,547.7504758628379,7.154523979703678
2300,64,0.014127305708825588,7.34359249511585,0.3496597346047985,4.113917493569575e-08,1.0395303896004962,979.2422773667391,7.071218271572718
2400,64,0.013884256593883038,7.328929447827951,0.3229717825315652,2.454667944838526e-07,1.027794598287558,164.11677774066274,7.166147049627961
2500,64,0.013902495615184307,7.334122230617219,0.3248607744452013,1.3656791005034182e-07,0.9873318588496496,294.98305522995406,7.4394943448581285
2600,64,0.013875906355679035,7.3422033757736145,0.43993487628119515,6.504685089918893e-08,1.0358254124763486,619.3262055907105,7.047596446309816
2700,64,0.013883157633244991,7.341956312831659,0.3670128317401029,1.3749104180167575e-07,0.9683378016764773,293.00250274580713,7.184804794492086
2800,64,0.013901520520448685,7.3208746513540355,0.4544226425410658,1.372312466959915e-07,1.0007355138471696,293.557191404544,7.0700058896433235
2900,64,0.01399614941328764,7.338148548069762,0.34715479967292695,1.8570799131540927e-07,0.991088963460287,216.927764215587,7.351412576507286
3000,64,0.013921616598963737,7.327971723761923,0.365552524508923,1.471502522574706e-07,1.0245771700380428,273.7692850334489,7.130184674238821
3100,64,0.06099267490208149,7.334352623988384,0.3334210832583143,2.020487411575123e-07,1.0090769499106331,199.38366911978926,7.188756124427162
3200,64,0.014887996017932892,7.335223052327699,0.32743060581892597,8.857979772335308e-08,1.0146009786723116,454.79014841324965,7.1536858470012685
3300,64,0.0157820051535964,7.3436942693750655,0.3284156649946697,2.1735601040853637e-07,1.0238656997719704,185.34209970683762,7.230030566757558
3400,64,0.01575270015746355,7.335968574583967,0.3817998283579503,1.8054733465276274e-07,0.9342939945734344,223.12829724403207,7.385606965202239
3500,64,0.01389812957495451,7.3485995175502055,0.3134481987406493,1.2794369339330953e-07,1.003344850939801,314.86678463454444,7.401491294694552
3600,64,0.013860134407877922,7.32923088856686,0.3334210832583143,1.468084622534922e-07,1.0058592245969025,274.4066570458277,7.082039690897853
3700,64,0.013888501562178135,7.344764331090969,0.30856053167939457,1.085960032308119e-07,0.9577268119171336,370.9641069146573,7.428940496860122
3800,64,0.013887086883187294,7.359608588757533,0.31468726884117104,2.2045708511051524e-07,0.9820755343168674,182.73497235448062,7.266962958843074
3900,64,0.01390794850885868,7.334426206843606,0.3146403357818079,1.2587358906418956e-07,0.9955668460474073,320.045051964601,6.95869493987535
4000,64,0.013888813555240631,7.351055551402048,0.3289957184591626,6.47755858289314e-08,1.0417385959056844,621.919799527716,7.305311350406227
