step,dirichlet_raw,orthogonality_raw,trivial_raw,loss,dirichlet_per_dim,orthogonality_per_dim,trivial_per_dim
1,2.3278803382709157e-06,1.9839396476745605,0.0029972658958286047,0.9934696555137634,1.1639401691354578e-06,0.9919698238372803,0.0014986329479143023
2,0.00023550701735075563,1.0149368047714233,0.4072997570037842,0.7112360596656799,0.00011775350867537782,0.5074684023857117,0.2036498785018921
3,0.00013876103912480175,1.189133882522583,0.22688403725624084,0.7080783247947693,6.938051956240088e-05,0.5945669412612915,0.11344201862812042
4,0.00031924626091495156,1.015622854232788,0.46832263469696045,0.7421323657035828,0.00015962313045747578,0.507811427116394,0.23416131734848022
5,0.0001916388573590666,1.078034520149231,0.22657892107963562,0.6524025797843933,9.58194286795333e-05,0.5390172600746155,0.11328946053981781
6,0.0001579434610903263,1.2029142379760742,0.13040734827518463,0.6667397618293762,7.897173054516315e-05,0.6014571189880371,0.06520367413759232
7,0.00018529836961533874,1.092249870300293,0.13508771359920502,0.6137614250183105,9.264918480766937e-05,0.5461249351501465,0.06754385679960251
8,0.00026808958500623703,0.8912928104400635,0.19771797955036163,0.5446394681930542,0.00013404479250311852,0.44564640522003174,0.09885898977518082
9,0.00034938432509079576,0.7822305560112,0.23904600739479065,0.5108129978179932,0.00017469216254539788,0.3911152780056,0.11952300369739532
10,0.0003772703348658979,0.6361995339393616,0.16941842436790466,0.40299761295318604,0.00018863516743294895,0.3180997669696808,0.08470921218395233
11,0.00038972345646470785,0.45541712641716003,0.08892890810966492,0.2723678946495056,0.00019486172823235393,0.22770856320858002,0.04446445405483246
12,0.00047922771773301065,0.2382715344429016,0.05059588700532913,0.14467331767082214,0.00023961385886650532,0.1191357672214508,0.025297943502664566
13,0.0006230970029719174,0.05720853805541992,0.04919736087322235,0.053514495491981506,0.0003115485014859587,0.02860426902770996,0.024598680436611176
14,0.0008020031964406371,0.1172657161951065,0.03421257063746452,0.0761401429772377,0.00040100159822031856,0.05863285809755325,0.01710628531873226
15,0.0009340430842712522,0.31750795245170593,0.001633895793929696,0.16003793478012085,0.0004670215421356261,0.15875397622585297,0.000816947896964848
16,0.0009169670520350337,0.21987271308898926,0.0011577957775443792,0.11097373813390732,0.00045848352601751685,0.10993635654449463,0.0005788978887721896
17,0.0008027750882320106,0.06553950160741806,0.006849315483123064,0.036595799028873444,0.0004013875441160053,0.03276975080370903,0.003424657741561532
18,0.0007215790101327002,0.014451350085437298,0.01658615842461586,0.015879543498158455,0.0003607895050663501,0.007225675042718649,0.00829307921230793
19,0.0006374990334734321,0.04137624427676201,0.026988806203007698,0.034501273185014725,0.00031874951673671603,0.020688122138381004,0.013494403101503849
20,0.000603478227276355,0.09319338202476501,0.033748067915439606,0.06377246230840683,0.0003017391136381775,0.04659669101238251,0.016874033957719803
21,0.0006069311639294028,0.13036760687828064,0.032290540635585785,0.08163253962993622,0.0003034655819647014,0.06518380343914032,0.016145270317792892
22,0.0005713875289075077,0.13780128955841064,0.023458298295736313,0.08091548830270767,0.00028569376445375383,0.06890064477920532,0.011729149147868156
23,0.0006280100787989795,0.11869658529758453,0.012465469539165497,0.06589503586292267,0.00031400503939948976,0.05934829264879227,0.006232734769582748
24,0.0006880180444568396,0.08515090495347977,0.0045080045238137245,0.045173462480306625,0.0003440090222284198,0.04257545247673988,0.0022540022619068623
25,0.0006912301760166883,0.04842883720993996,0.0021057568956166506,0.025612913072109222,0.0003456150880083442,0.02421441860496998,0.0010528784478083253
26,0.0007362001924775541,0.017586056143045425,0.005124712362885475,0.01172348391264677,0.00036810009623877704,0.008793028071522713,0.0025623561814427376
27,0.0007877690368331969,0.008085446432232857,0.010942592285573483,0.009907904081046581,0.00039388451841659844,0.004042723216116428,0.005471296142786741
28,0.0007475631427951157,0.024537689983844757,0.012457611970603466,0.018871432170271873,0.00037378157139755785,0.012268844991922379,0.006228805985301733
29,0.0007810713723301888,0.0395006388425827,0.0056845624931156635,0.022983135655522346,0.0003905356861650944,0.01975031942129135,0.0028422812465578318
30,0.0007736401166766882,0.03833688050508499,0.0011102978605777025,0.02011040784418583,0.0003868200583383441,0.019168440252542496,0.0005551489302888513
31,0.000801247835624963,0.02629728987812996,0.0051234266720712185,0.01611098274588585,0.0004006239178124815,0.01314864493906498,0.0025617133360356092
32,0.0007413027924485505,0.009881136938929558,0.010064654983580112,0.010343547910451889,0.00037065139622427523,0.004940568469464779,0.005032327491790056
33,0.0007089960272423923,0.0032569337636232376,0.010831145569682121,0.007398537360131741,0.00035449801362119615,0.0016284668818116188,0.005415572784841061
34,0.0006914583500474691,0.010866140946745872,0.009448980912566185,0.010503290221095085,0.00034572917502373457,0.005433070473372936,0.0047244904562830925
35,0.0006545404903590679,0.022014759480953217,0.008516271598637104,0.01559278555214405,0.00032727024517953396,0.011007379740476608,0.004258135799318552
36,0.0006198622286319733,0.026122840121388435,0.008747896179556847,0.017745299264788628,0.00030993111431598663,0.013061420060694218,0.004373948089778423
37,0.0006902735913172364,0.02125142700970173,0.00977057684212923,0.015856139361858368,0.0003451367956586182,0.010625713504850864,0.004885288421064615
38,0.000717206159606576,0.012224359437823296,0.010543202981352806,0.011742384172976017,0.000358603079803288,0.006112179718911648,0.005271601490676403
39,0.0006614679004997015,0.004756305366754532,0.009512057527899742,0.00746491551399231,0.00033073395024985075,0.002378152683377266,0.004756028763949871
