condition,method,stage,split,k,recall
disconnected,direct_2,0.0,query,200,0.6007046476761618
disconnected,direct_2,0.0,query,400,0.6563643178410794
disconnected,direct_2,0.25,reference,5,0.083808095952024
disconnected,direct_2,0.25,reference,15,0.2351824087956022
disconnected,direct_2,0.25,reference,50,0.4370314842578711
disconnected,direct_2,0.25,reference,100,0.502503748125937
disconnected,direct_2,0.25,reference,200,0.5980622188905548
disconnected,direct_2,0.25,reference,400,0.6848444527736132
disconnected,direct_2,0.25,query,5,0.11664167916041979
disconnected,direct_2,0.25,query,15,0.2779610194902548
disconnected,direct_2,0.25,query,50,0.48602698650674664
disconnected,direct_2,0.25,query,100,0.5358920539730135
disconnected,direct_2,0.25,query,200,0.6096551724137931
disconnected,direct_2,0.25,query,400,0.6897413793103448
disconnected,direct_2,0.5,reference,5,0.13973013493253375
disconnected,direct_2,0.5,reference,15,0.3854072963518241
disconnected,direct_2,0.5,reference,50,0.6225637181409296
disconnected,direct_2,0.5,reference,100,0.623463268365817
disconnected,direct_2,0.5,reference,200,0.6613230884557721
disconnected,direct_2,0.5,reference,400,0.7173500749625187
disconnected,direct_2,0.5,query,5,0.1820089955022489
disconnected,direct_2,0.5,query,15,0.4464767616191904
disconnected,direct_2,0.5,query,50,0.671424287856072
disconnected,direct_2,0.5,query,100,0.647976011994003
disconnected,direct_2,0.5,query,200,0.6644902548725636
disconnected,direct_2,0.5,query,400,0.7205434782608696
disconnected,direct_2,0.75,reference,5,0.1874062968515742
disconnected,direct_2,0.75,reference,15,0.6222888555722139
disconnected,direct_2,0.75,reference,50,0.7951574212893553
disconnected,direct_2,0.75,reference,100,0.6890629685157421
disconnected,direct_2,0.75,reference,200,0.669059220389805
disconnected,direct_2,0.75,reference,400,0.7199119190404797
disconnected,direct_2,0.75,query,5,0.2809595202398801
disconnected,direct_2,0.75,query,15,0.7092453773113443
disconnected,direct_2,0.75,query,50,0.822848575712144
disconnected,direct_2,0.75,query,100,0.7015592203898052
disconnected,direct_2,0.75,query,200,0.6706971514242879
disconnected,direct_2,0.75,query,400,0.7215254872563717
disconnected,direct_2,1.0,reference,5,0.756071964017991
disconnected,direct_2,1.0,reference,15,0.8857071464267867
disconnected,direct_2,1.0,reference,50,0.8736281859070465
disconnected,direct_2,1.0,reference,100,0.7158695652173912
disconnected,direct_2,1.0,reference,200,0.6641341829085458
disconnected,direct_2,1.0,reference,400,0.7224344077961019
disconnected,direct_2,1.0,query,5,0.712143928035982
disconnected,direct_2,1.0,query,15,0.8876561719140431
disconnected,direct_2,1.0,query,50,0.8794902548725636
disconnected,direct_2,1.0,query,100,0.7228335832083957
disconnected,direct_2,1.0,query,200,0.6650374812593703
disconnected,direct_2,1.0,query,400,0.72297976011994
disconnected,spectral_100_pca_2,0.0,reference,5,0.4284857571214392
disconnected,spectral_100_pca_2,0.0,reference,15,0.4647176411794103
disconnected,spectral_100_pca_2,0.0,reference,50,0.422863568215892
disconnected,spectral_100_pca_2,0.0,reference,100,0.39077961019490254
disconnected,spectral_100_pca_2,0.0,reference,200,0.39111319340329836
disconnected,spectral_100_pca_2,0.0,reference,400,0.4594846326836581
disconnected,spectral_100_pca_2,0.0,query,5,0.44737631184407795
disconnected,spectral_100_pca_2,0.0,query,15,0.48595702148925535
disconnected,spectral_100_pca_2,0.0,query,50,0.432743628185907
disconnected,spectral_100_pca_2,0.0,query,100,0.397961019490255
disconnected,spectral_100_pca_2,0.0,query,200,0.39308845577211393
disconnected,spectral_100_pca_2,0.0,query,400,0.4606296851574213
disconnected,spectral_100_pca_2,0.25,reference,5,0.1125937031484258
disconnected,spectral_100_pca_2,0.25,reference,15,0.2732133933033483
disconnected,spectral_100_pca_2,0.25,reference,50,0.42439280359820086
disconnected,spectral_100_pca_2,0.25,reference,100,0.43847076461769113
disconnected,spectral_100_pca_2,0.25,reference,200,0.4439430284857571
disconnected,spectral_100_pca_2,0.25,reference,400,0.4924681409295352
disconnected,spectral_100_pca_2,0.25,query,5,0.1373313343328336
disconnected,spectral_100_pca_2,0.25,query,15,0.3169415292353823
disconnected,spectral_100_pca_2,0.25,query,50,0.4611094452773613
disconnected,spectral_100_pca_2,0.25,query,100,0.46047976011994
disconnected,spectral_100_pca_2,0.25,query,200,0.45336581709145424
disconnected,spectral_100_pca_2,0.25,query,400,0.494872563718141
disconnected,spectral_100_pca_2,0.5,reference,5,0.17691154422788605
disconnected,spectral_100_pca_2,0.5,reference,15,0.44392803598200903
disconnected,spectral_100_pca_2,0.5,reference,50,0.5933883058470765
disconnected,spectral_100_pca_2,0.5,reference,100,0.5435532233883058
disconnected,spectral_100_pca_2,0.5,reference,200,0.48750000000000004
disconnected,spectral_100_pca_2,0.5,reference,400,0.5096176911544228
disconnected,spectral_100_pca_2,0.5,query,5,0.21979010494752624
disconnected,spectral_100_pca_2,0.5,query,15,0.497351324337831
disconnected,spectral_100_pca_2,0.5,query,50,0.6250674662668666
disconnected,spectral_100_pca_2,0.5,query,100,0.5573163418290855
disconnected,spectral_100_pca_2,0.5,query,200,0.4890929535232384
disconnected,spectral_100_pca_2,0.5,query,400,0.5118365817091454
disconnected,spectral_100_pca_2,0.75,reference,5,0.2331334332833583
disconnected,spectral_100_pca_2,0.75,reference,15,0.6271864067966016
disconnected,spectral_100_pca_2,0.75,reference,50,0.7206596701649176
disconnected,spectral_100_pca_2,0.75,reference,100,0.6034782608695652
disconnected,spectral_100_pca_2,0.75,reference,200,0.5094902548725638
disconnected,spectral_100_pca_2,0.75,reference,400,0.5165104947526238
disconnected,spectral_100_pca_2,0.75,query,5,0.3367316341829086
