condition,method,stage,split,group,pairs,spearman
disconnected,spectral_100_pca_2,0.25,reference,B_tree,19982,0.07879882189186856
disconnected,spectral_100_pca_2,0.25,query,all,19979,0.14876402421710602
disconnected,spectral_100_pca_2,0.25,query,A_spiral,19971,0.36430795483317546
disconnected,spectral_100_pca_2,0.25,query,B_tree,19963,0.07910637747920213
disconnected,spectral_100_pca_2,0.5,reference,all,19992,0.15657152076552952
disconnected,spectral_100_pca_2,0.5,reference,A_spiral,19980,0.364498084355076
disconnected,spectral_100_pca_2,0.5,reference,B_tree,19982,0.1367138306719498
disconnected,spectral_100_pca_2,0.5,query,all,19979,0.16211219305582955
disconnected,spectral_100_pca_2,0.5,query,A_spiral,19971,0.3670192096442788
disconnected,spectral_100_pca_2,0.5,query,B_tree,19963,0.13920192308353227
disconnected,spectral_100_pca_2,0.75,reference,all,19992,0.1788995581281885
disconnected,spectral_100_pca_2,0.75,reference,A_spiral,19980,0.3861955975479357
disconnected,spectral_100_pca_2,0.75,reference,B_tree,19982,0.1692005714589327
disconnected,spectral_100_pca_2,0.75,query,all,19979,0.18595478631923923
disconnected,spectral_100_pca_2,0.75,query,A_spiral,19971,0.38361191281812757
disconnected,spectral_100_pca_2,0.75,query,B_tree,19963,0.16638222402857916
disconnected,spectral_100_pca_2,1.0,reference,all,19992,0.18607395476917427
disconnected,spectral_100_pca_2,1.0,reference,A_spiral,19980,0.3911944886282782
disconnected,spectral_100_pca_2,1.0,reference,B_tree,19982,0.17846544122257124
disconnected,spectral_100_pca_2,1.0,query,all,19979,0.1910825303790869
disconnected,spectral_100_pca_2,1.0,query,A_spiral,19971,0.3877158629616901
disconnected,spectral_100_pca_2,1.0,query,B_tree,19963,0.1740717366850362
sparse_bridge,pca,1.0,reference,all,19995,1.0
sparse_bridge,pca,1.0,reference,A_spiral,19980,1.0
sparse_bridge,pca,1.0,reference,B_tree,19982,1.0
sparse_bridge,pca,1.0,query,all,19984,0.9999999999999999
sparse_bridge,pca,1.0,query,A_spiral,19963,1.0
sparse_bridge,pca,1.0,query,B_tree,19960,1.0
sparse_bridge,umap,1.0,reference,all,19995,0.4966693032095487
sparse_bridge,umap,1.0,reference,A_spiral,19980,0.3151953321981231
sparse_bridge,umap,1.0,reference,B_tree,19982,0.7361267148325343
sparse_bridge,umap,1.0,query,all,19984,0.49657014823990603
sparse_bridge,umap,1.0,query,A_spiral,19963,0.30491954237368046
sparse_bridge,umap,1.0,query,B_tree,19960,0.738474977168381
sparse_bridge,baseline_3_to_2,0.0,reference,all,19995,0.3210215046984453
sparse_bridge,baseline_3_to_2,0.0,reference,A_spiral,19980,0.7114275858764232
sparse_bridge,baseline_3_to_2,0.0,reference,B_tree,19982,0.9423499824281508
sparse_bridge,baseline_3_to_2,0.0,query,all,19984,0.31853765687640323
sparse_bridge,baseline_3_to_2,0.0,query,A_spiral,19963,0.7049348565844578
sparse_bridge,baseline_3_to_2,0.0,query,B_tree,19960,0.9418751177820419
sparse_bridge,baseline_3_to_2,0.25,reference,all,19995,0.23542237515045028
sparse_bridge,baseline_3_to_2,0.25,reference,A_spiral,19980,0.7760536995217752
sparse_bridge,baseline_3_to_2,0.25,reference,B_tree,19982,0.8582757939174174
sparse_bridge,baseline_3_to_2,0.25,query,all,19984,0.239550682360108
sparse_bridge,baseline_3_to_2,0.25,query,A_spiral,19963,0.7841457941594737
sparse_bridge,baseline_3_to_2,0.25,query,B_tree,19960,0.8724350453589561
sparse_bridge,baseline_3_to_2,0.5,reference,all,19995,0.23999913273265994
sparse_bridge,baseline_3_to_2,0.5,reference,A_spiral,19980,0.8202312422272654
sparse_bridge,baseline_3_to_2,0.5,reference,B_tree,19982,0.89579583024652
sparse_bridge,baseline_3_to_2,0.5,query,all,19984,0.24393706011870805
sparse_bridge,baseline_3_to_2,0.5,query,A_spiral,19963,0.8200644153913512
sparse_bridge,baseline_3_to_2,0.5,query,B_tree,19960,0.89756652923074
sparse_bridge,baseline_3_to_2,0.75,reference,all,19995,0.24739313413618277
sparse_bridge,baseline_3_to_2,0.75,reference,A_spiral,19980,0.843526298157048
sparse_bridge,baseline_3_to_2,0.75,reference,B_tree,19982,0.9090770422280516
sparse_bridge,baseline_3_to_2,0.75,query,all,19984,0.2522137178722196
sparse_bridge,baseline_3_to_2,0.75,query,A_spiral,19963,0.8406684202612181
sparse_bridge,baseline_3_to_2,0.75,query,B_tree,19960,0.909829875014588
sparse_bridge,baseline_3_to_2,1.0,reference,all,19995,0.2527096218721937
sparse_bridge,baseline_3_to_2,1.0,reference,A_spiral,19980,0.8515685633136226
sparse_bridge,baseline_3_to_2,1.0,reference,B_tree,19982,0.9168199986823445
sparse_bridge,baseline_3_to_2,1.0,query,all,19984,0.25616054026450147
sparse_bridge,baseline_3_to_2,1.0,query,A_spiral,19963,0.8454716588408822
sparse_bridge,baseline_3_to_2,1.0,query,B_tree,19960,0.9155216535783499
sparse_bridge,direct_2,0.0,reference,all,19995,0.5792360480703717
sparse_bridge,direct_2,0.0,reference,A_spiral,19980,0.5988708836980151
sparse_bridge,direct_2,0.0,reference,B_tree,19982,0.8856240243480975
sparse_bridge,direct_2,0.0,query,all,19984,0.5760446280038221
sparse_bridge,direct_2,0.0,query,A_spiral,19963,0.5928755464054459
sparse_bridge,direct_2,0.0,query,B_tree,19960,0.8849823718177652
sparse_bridge,direct_2,0.25,reference,all,19995,0.6163831660199279
sparse_bridge,direct_2,0.25,reference,A_spiral,19980,0.7512734693959978
sparse_bridge,direct_2,0.25,reference,B_tree,19982,0.7082542760583759
sparse_bridge,direct_2,0.25,query,all,19984,0.6321739006248145
sparse_bridge,direct_2,0.25,query,A_spiral,19963,0.7668523401750057
sparse_bridge,direct_2,0.25,query,B_tree,19960,0.7196177344408121
sparse_bridge,direct_2,0.5,reference,all,19995,0.6580564775510452
sparse_bridge,direct_2,0.5,reference,A_spiral,19980,0.8059528270999304
sparse_bridge,direct_2,0.5,reference,B_tree,19982,0.760574564161834
sparse_bridge,direct_2,0.5,query,all,19984,0.6636920897546403
sparse_bridge,direct_2,0.5,query,A_spiral,19963,0.8076310780739788
sparse_bridge,direct_2,0.5,query,B_tree,19960,0.7770379892891925
sparse_bridge,direct_2,0.75,reference,all,19995,0.6618911094322362
sparse_bridge,direct_2,0.75,reference,A_spiral,19980,0.8381067631182241
sparse_bridge,direct_2,0.75,reference,B_tree,19982,0.7974384673782112
sparse_bridge,direct_2,0.75,query,all,19984,0.6674602436785785
sparse_bridge,direct_2,0.75,query,A_spiral,19963,0.8352887897006692
sparse_bridge,direct_2,0.75,query,B_tree,19960,0.7999237774227542
