group,n_queries,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,recall_at_15_p05,local_displacement_p95,label_accuracy_status,method,status,fit_time_seconds,reason
all,6206.0,0.09058975185304545,0.09459041494541243,0.15919937980539686,0.5060705185811175,0.3502894403521624,0.29110513743096583,0.2657003104686737,0.0,0.5009646576848846,0.21347945917918773,0.0,0.7512162603982802,not_requested,uniform_mc,success,,
all,6206.0,0.09104092813406381,0.09503149607614311,0.1595645757481779,0.5069105972270683,0.36239899690723426,0.30357139992444826,0.2657395601272583,0.0,0.501841967978275,0.31336840751163403,0.0,0.7695194639221943,not_requested,fit_grid,success,,
all,6206.0,0.07737673219465034,0.07986746638929572,0.1100128883195759,0.37241613124387246,0.4959845338716492,0.345447560367266,0.24646322429180145,0.0,0.49652900576688813,,0.0,1.032395782881562,not_requested,standard_umap,success,23.830530448816717,
all,6206.0,0.07556128477817166,0.07780742477320379,0.10303382530379865,0.3521711351749253,0.3181744631148434,0.1485951001024649,0.24160942435264587,0.0,0.4946777097415282,,0.0,0.688432972235577,not_requested,reduced_repulsion_umap,success,18.771562877111137,
all,6206.0,0.06084434418304867,0.061644194171446336,0.118010044839263,0.3832247796116041,2.416704108688772e-06,0.24108260771388873,0.3079926669597626,0.0,0.4842236758454174,0.00039311999721015,0.0,8.135375965577544e-06,not_requested,weighted_knn,success,,
,,,,,,,,,,,,,,,parametric_umap,unavailable,,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow"
,,,,,,,,,,,,,,,numap_sep_spectralnet,unavailable,,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).
,,,,,,,,,,,,,,,param_repulsor,unavailable,,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).
all,6206.0,0.09038564829734666,0.09462794569640265,0.15614522633957134,0.49804948273466637,0.3262991850050151,0.28526641483380527,0.2604256570339203,0.0,0.5014687357421904,0.3091391678342774,0.0,0.7043559566141122,not_requested,fit_grid_oracle_neighbors,success,,
all,6206.0,0.0867332688795789,0.09036677600828552,0.15702984386740235,0.5013505578381393,0.31223335274951836,0.26136971391144165,0.2622382938861847,0.0,0.49997032811188163,0.12840616875371644,0.0,0.7137800379832459,not_requested,no_repulsion,success,,
all,50.0,0.10133333333333333,0.1085681883873944,0.12469734757136643,0.40630897583741754,0.4179517248031852,0.3540452879667282,0.17875070869922638,0.0,0.5682761954638843,0.7648932878859341,0.0,0.8797205176459172,not_requested,exact_repulsion_diagnostic,success,,
