method,rmse,cosine,magnitude_error,recall_at_15,latency_seconds
uniform_mc,0.012036650662146358,0.7298544684433689,0.005963770076122938,0.09058975185304545,0.21347945917918773
fit_grid,0.010679223255208363,0.7781554499593936,0.005762974768070878,0.09104092813406381,0.31336840751163403
