method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope
weighted_knn,0,0.0,0.0,0.8144795233968305,2.471006881934103,8.709341832507983e-08,0.06151088327169418,0.8132739,0.0,0.44055915884461994,0.00039311999721014995,method_mean_only
weighted_knn,1,0.0,0.0,0.02137476064209002,0.13965871814119135,3.4876639518738024e-06,0.1878339648246765,0.12594916,0.0,0.977279136284897,0.00039311999721014995,method_mean_only
weighted_knn,2,0.13333333333333333,0.09024254247152179,0.0072033320521583165,0.07666462100221408,6.71749055958022e-06,0.1345117837190628,0.5907139,0.0,0.9850541836200298,0.00039311999721014995,method_mean_only
weighted_knn,3,0.13333333333333333,0.1195825111797196,0.0215665861862791,0.1095295167729716,1.0486724484243775e-05,0.3054158091545105,0.22566387,0.0,0.7163517705353906,0.00039311999721014995,method_mean_only
weighted_knn,4,0.0,0.0,0.03961568244578495,0.19124968684983673,1.2638612872884869e-06,0.26242461800575256,0.16140372,0.0,0.5577891471619063,0.00039311999721014995,method_mean_only
weighted_knn,5,0.06666666666666667,0.053821216022769555,0.06155375477125749,0.24224878047179915,1.4549448705099619e-06,0.21320073306560516,0.051552318,0.0,0.5652016275228618,0.00039311999721014995,method_mean_only
weighted_knn,6,0.06666666666666667,0.053821216022769555,0.019141689622515726,0.10826459040439936,1.169418358643184e-05,0.12569114565849304,0.08052423,0.0,0.7322644321798332,0.00039311999721014995,method_mean_only
weighted_knn,7,0.0,0.0,0.2525308165619994,0.7265027339849855,1.2495926723314073e-06,0.13743051886558533,0.3709209,0.0,0.4502678967086976,0.00039311999721014995,method_mean_only
weighted_knn,8,0.0,0.0,0.8468724573929151,2.596734918763996,2.803068788727955e-07,0.3340141475200653,1.3413131,0.0,0.528058655279378,0.00039311999721014995,method_mean_only
weighted_knn,9,0.06666666666666667,0.04265230456965119,0.023759962837906955,0.12850935392864096,1.7316622361699184e-07,0.2725978493690491,0.00078746676,0.0,0.9803005277363736,0.00039311999721014995,method_mean_only
weighted_knn,10,0.06666666666666667,0.06077222973772036,0.011598175828185205,0.0880125287344323,1.5884380124686366e-06,0.17881280183792114,0.12049633,0.0,0.9650727148209322,0.00039311999721014995,method_mean_only
weighted_knn,11,0.26666666666666666,0.22794497881931058,0.029548299617800495,0.11422449524885078,5.4081272037945885e-06,0.36432382464408875,0.092000395,0.0,0.6781613825887282,0.00039311999721014995,method_mean_only
weighted_knn,12,0.0,0.0,0.04382712858883026,0.20921859158981035,2.3971266127502846e-07,0.1014077290892601,0.09577391,0.0,0.9690609515368811,0.00039311999721014995,method_mean_only
weighted_knn,13,0.0,0.0,0.782409859722164,2.313324027281318,1.6798738021778512e-07,0.20056365430355072,2.3005784,0.0,0.8656085082383274,0.00039311999721014995,method_mean_only
weighted_knn,14,0.0,0.0,0.048090845174130877,0.21106038848808722,1.5844106032814183e-06,0.7230414748191833,0.54950976,0.0,0.8767675139991137,0.00039311999721014995,method_mean_only
weighted_knn,15,0.13333333333333333,0.16841466178325945,0.10651443152300316,0.36324538491869196,2.877687992340069e-07,0.4524749517440796,0.2876506,0.0,0.3197437860049148,0.00039311999721014995,method_mean_only
weighted_knn,16,0.0,0.0,0.06929511530562102,0.27067494656365076,2.422982444702133e-06,0.17834918200969696,0.07824096,0.0,0.5615356725617371,0.00039311999721014995,method_mean_only
weighted_knn,17,0.13333333333333333,0.1502947366151903,0.009863635258417654,0.07170624983764,2.18932315021333e-06,0.2634941339492798,0.19243354,0.0,0.9935140796841638,0.00039311999721014995,method_mean_only
weighted_knn,18,0.2,0.19539396292695824,0.26960902010503507,0.7135456888458216,1.84292060607521e-06,0.4382549822330475,0.9206917,0.0,0.4172340168392217,0.00039311999721014995,method_mean_only
weighted_knn,19,0.06666666666666667,0.0475902379018706,0.005985312338617568,0.062112657093817455,1.2495750644815857e-05,0.21151752769947052,0.646142,0.0,0.9340128106997543,0.00039311999721014995,method_mean_only
weighted_knn,20,0.2,0.20143430461277528,0.05590088219857796,0.22331454448893,3.0487286188521448e-06,0.2780940532684326,0.42435652,0.0,0.4073641380977319,0.00039311999721014995,method_mean_only
weighted_knn,21,0.0,0.0,0.005421898180921876,0.06537381740179289,5.137193073945587e-06,0.2929422855377197,0.23895815,0.0,0.9659992748660516,0.00039311999721014995,method_mean_only
weighted_knn,22,0.2,0.1961156960244059,0.007611311848171531,0.0709865136340739,2.3844441210186727e-06,0.1281135082244873,0.10032044,0.0,0.9685372436852918,0.00039311999721014995,method_mean_only
weighted_knn,23,0.06666666666666667,0.17060921827860476,0.07212117252513729,0.26850373368707753,2.251408701781201e-06,0.16284632682800293,0.36009502,0.0,0.33936268782983525,0.00039311999721014995,method_mean_only
weighted_knn,24,0.0,0.0,0.04680948687596944,0.22094590133980616,8.13676922290773e-07,0.24632494151592255,0.5538666,0.0,0.42944043830318657,0.00039311999721014995,method_mean_only
weighted_knn,25,0.0,0.0,0.8504568936138541,2.588453229215312,7.13527771972453e-07,0.33270934224128723,2.0997288,0.0,0.7250533779156427,0.00039311999721014995,method_mean_only
weighted_knn,26,0.06666666666666667,0.17060921827860476,0.011966443830555852,0.09245666751707113,4.852727206817438e-07,0.06734094023704529,0.3402111,0.0,0.9525842968214961,0.00039311999721014995,method_mean_only
