method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope
uniform_mc,0,0.0,0.0,0.5098609692236122,1.4815927172557828,0.3464933780840744,0.39025646448135376,0.73651826,0.0,0.5843371067155461,0.16094763576984406,per_query
uniform_mc,1,0.0,0.0,0.09538119380736398,0.3427148187928061,0.013210904719692534,0.2649913728237152,0.009393148,0.0,0.8665350682834468,0.122373235411942,per_query
uniform_mc,2,0.06666666666666667,0.04265230456965119,0.01877603408451426,0.12238564143803232,0.1654844129987109,0.059463053941726685,0.37345418,0.0,0.8969504088949765,0.21118406020104885,per_query
uniform_mc,3,0.2,0.22377212751901202,0.03338290121682676,0.13976704166056791,0.4492756869605776,0.5541287064552307,0.05375669,0.0,0.8175482415501752,0.27174593415111303,per_query
uniform_mc,4,0.06666666666666667,0.07347739090382172,0.1004855453608404,0.343145558490812,0.16039582058901236,0.38878604769706726,0.2950919,0.0,0.6381178745518269,0.12796945311129093,per_query
uniform_mc,5,0.0,0.0,0.15301929262952732,0.4590702408237872,0.06687255802715437,0.09912369400262833,0.09919963,0.0,0.6458526366676066,0.13506992254406214,per_query
uniform_mc,6,0.06666666666666667,0.05686973942620158,0.03341733650124227,0.14242297444371407,0.2748742277496376,0.22024865448474884,0.28409177,0.0,0.8054626757442694,0.13405934255570173,per_query
uniform_mc,7,0.06666666666666667,0.17060921827860476,0.37609915512105435,1.0999518475405832,0.4829450443268943,0.3723820447921753,0.25495556,0.0,0.6351367683197034,0.14625045843422413,per_query
uniform_mc,8,0.0,0.0,0.5363194640226714,1.813599115598889,0.49533865291409557,0.36638152599334717,0.16367328,0.0,0.6724408814405994,0.11458657961338758,per_query
uniform_mc,9,0.06666666666666667,0.04481043185393461,0.09241477490936477,0.312757586022605,0.5308829297701626,0.36481696367263794,0.0042847395,0.0,0.9141924827780687,0.1657741805538535,per_query
uniform_mc,10,0.06666666666666667,0.043668798524938345,0.06850675107985292,0.26920660617721726,0.06235592163406933,0.18470729887485504,0.3819868,0.0,0.8872013858115457,0.12282017897814512,per_query
uniform_mc,11,0.3333333333333333,0.3214533253020393,0.06244104132613326,0.1972964726150083,0.2571444235008008,0.29810231924057007,0.16089651,0.0,0.7885428836160013,0.1379068698734045,per_query
uniform_mc,12,0.0,0.0,0.17618158552165547,0.47926021601463,0.515940643511563,0.287849098443985,0.05963365,0.0,0.8923578938887322,0.12102403771132231,per_query
uniform_mc,13,0.26666666666666666,0.3478832560374938,0.194998378942481,0.8183051020251755,0.4600765170369096,0.16125254333019257,0.7765155,0.0,0.79426338476413,0.142865851521492,per_query
uniform_mc,14,0.0,0.0,0.051814208948995306,0.17205127425379751,0.16684276286687688,0.21735405921936035,1.2749903,0.0,0.4479716392055755,0.13552461471408606,per_query
uniform_mc,15,0.2,0.17340372720248917,0.25916885451726224,0.7786161900468017,0.21657837113962738,0.33078718185424805,0.49335206,0.0,0.5756354993352939,0.10273608285933733,per_query
uniform_mc,16,0.0,0.0,0.12890857815222106,0.43060779235751573,0.2954108855955306,0.2880132496356964,0.0048793666,0.0,0.6614430165572251,0.08948925789445639,per_query
