method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope
no_repulsion,0,0.0,0.0,0.5107543842596811,1.4822697035545487,0.33624389541153094,0.3887380063533783,0.7780204,0.0,0.5838536840833098,0.11280858889222145,per_query
no_repulsion,1,0.06666666666666667,0.049317124049935504,0.09922642597797467,0.3488036488467936,0.12555581075629813,0.3073115348815918,0.03265644,0.0,0.8754381017604641,0.1040593208745122,per_query
no_repulsion,2,0.0,0.0,0.01800238186252599,0.12930798241499009,0.2263340263000952,0.16526088118553162,0.20579909,0.0,0.8963864158240341,0.07133721932768822,per_query
no_repulsion,3,0.26666666666666666,0.24924346675570452,0.031177118501157754,0.12961923206917048,0.2760272778014888,0.3611690402030945,0.01724194,0.0,0.8090480602666882,0.06200195197016001,per_query
no_repulsion,4,0.06666666666666667,0.10764243204553911,0.09966453987360177,0.3394447090091375,0.18271950657756086,0.3808753192424774,0.28846017,0.0,0.6417032590742456,0.08307100180536509,per_query
no_repulsion,5,0.0,0.0,0.15179524490261442,0.4535079907956184,0.10817889757021518,0.14359447360038757,0.16038463,0.0,0.6484711759255529,0.1419222541153431,per_query
no_repulsion,6,0.13333333333333333,0.10342453430737154,0.03250844595184624,0.13593292935480708,0.10054394732432359,0.06200077757239342,0.12984002,0.0,0.7966402127059582,0.09692744631320238,per_query
no_repulsion,7,0.06666666666666667,0.05135849223864361,0.37422577305076266,1.0959362387455456,0.4891395573513958,0.32336628437042236,0.18840486,0.0,0.6310679611650486,0.0958130145445466,per_query
no_repulsion,8,0.0,0.0,0.5279984876190857,1.8184542581162328,0.549525083457984,0.37386417388916016,0.4535826,0.0,0.6832776054465617,0.12578550912439823,per_query
no_repulsion,9,0.13333333333333333,0.1289734076642407,0.08945239390071504,0.3067651628791572,0.49029045816299605,0.3490424156188965,0.11160794,0.0,0.9121379365910648,0.0875207232311368,per_query
no_repulsion,10,0.06666666666666667,0.04265230456965119,0.07019090319633785,0.2749803735776123,0.10047740916169232,0.23233662545681,0.56640327,0.0,0.8909881964307296,0.09172112215310335,per_query
no_repulsion,11,0.26666666666666666,0.3409939711342326,0.060324850562543546,0.19181707968144007,0.1971037047026491,0.18737423419952393,0.21140897,0.0,0.7829029529065786,0.14858020469546318,per_query
no_repulsion,12,0.0,0.0,0.1673299959174124,0.47632171487484987,0.4100029759718167,0.2200964093208313,0.27042106,0.0,0.8959029931917979,0.08148823399096727,per_query
no_repulsion,13,0.3333333333333333,0.38670413784787905,0.19410093755091476,0.8121175298081682,0.48131914451531244,0.20408181846141815,0.58943135,0.0,0.800547878983201,0.0867467001080513,per_query
no_repulsion,14,0.13333333333333333,0.08847923037887294,0.05179681074998817,0.17263522143962348,0.17298875132862024,0.22733841836452484,1.1067543,0.0,0.44708536437980906,0.11402945779263973,per_query
no_repulsion,15,0.2,0.16964631499639993,0.25709849787045286,0.7773884145335401,0.2354354718929376,0.25689125061035156,0.4987207,0.0,0.5734600974902309,0.08656218089163303,per_query
no_repulsion,16,0.0,0.0,0.13434182266256578,0.4424191911220973,0.38399612840197983,0.2869073152542114,0.06612755,0.0,0.661040164363695,0.10116489604115486,per_query
no_repulsion,17,0.13333333333333333,0.18111982294936083,0.06433317375666564,0.25583884964120374,0.1899285183178737,0.15925033390522003,0.06670028,0.0,0.9201949804616686,0.12591717205941677,per_query
no_repulsion,18,0.06666666666666667,0.06077222973772036,0.11461469402086251,0.3572199608568567,0.23548193828848313,0.23477120697498322,0.11838305,0.0,0.6019014623534625,0.08359122183173895,per_query
no_repulsion,19,0.0,0.0,0.020335575376561433,0.12887345124232286,0.05053635365003448,0.08110224455595016,0.48151904,0.0,0.7995407484993756,0.15371787175536156,per_query
no_repulsion,20,0.06666666666666667,0.06600065503116892,0.09264601275575364,0.292377076909702,0.38966262008234653,0.18749697506427765,0.0108554885,0.0,0.5943278411150948,0.12519813422113657,per_query
no_repulsion,21,0.0,0.0,0.012144846834042121,0.09118330737886382,0.3354939849386009,0.4779326617717743,0.25491863,0.0,0.8280626838013133,0.08436469826847315,per_query
no_repulsion,22,0.13333333333333333,0.12483588314246533,0.03918864907167601,0.17183079624346134,0.18143286002977532,0.2296067774295807,0.16716337,0.0,0.9121782218104177,0.19759067986160517,per_query
no_repulsion,23,0.13333333333333333,0.15374755232143703,0.19335931151570757,0.5705170381366865,0.11120894037329962,0.08972221612930298,0.2326637,0.0,0.5815574265801877,0.0961584635078907,per_query
no_repulsion,24,0.06666666666666667,0.043668798524938345,0.09466679377697468,0.3376067768893272,0.20800693230825637,0.08760012686252594,0.2733981,0.0,0.6260323087459211,0.09915267024189234,per_query
no_repulsion,25,0.06666666666666667,0.05135849223864361,0.10453694642711867,0.32966063617336583,0.16587902382815017,0.08541446179151535,0.13671663,0.0,0.7120815372839705,0.15781612414866686,per_query
no_repulsion,26,0.0,0.0,0.054959319028065244,0.204756638878512,0.27584300009025414,0.2102484405040741,0.5340745,0.0,0.8475607299681747,0.08226136863231659,per_query
no_repulsion,27,0.13333333333333333,0.16146364806830865,0.18498197927987595,0.57544875441036,0.37695102830234006,0.11598579585552216,0.06970742,0.0,0.5673770293679249,0.05447483900934458,per_query
no_repulsion,28,0.0,0.0,0.07330890673567332,0.2825824711399875,0.3902598737512353,0.3421635031700134,0.15160625,0.0,0.6871047012850985,0.05634034797549248,per_query
no_repulsion,29,0.0,0.0,0.13542114413126594,0.42737608652011116,0.13207063104131944,0.11330203711986542,0.0055265725,0.0,0.6728437336341296,0.06317932717502117,per_query
no_repulsion,30,0.2,0.22746430309947757,0.30455974225636423,0.789594502759335,0.07503357165318734,0.10854155570268631,0.3272172,0.0,0.7074084518390202,0.09479638189077377,per_query
no_repulsion,31,0.06666666666666667,0.046105120275897894,0.04282876705734644,0.1793693599916616,0.22463914370347368,0.3468317687511444,0.20297945,0.0,0.654957096241389,0.11336220428347588,per_query
no_repulsion,32,0.06666666666666667,0.06077222973772036,0.07996360821139474,0.3072824709868069,0.08748510307760343,0.35548946261405945,0.37538892,0.0,0.6065342625790597,0.15905663650482893,per_query
no_repulsion,33,0.0,0.0,0.04470333876884085,0.20973162417935692,0.13015283013264417,0.05139736086130142,0.308223,0.0,0.8459896064134069,0.12953295838087797,per_query
no_repulsion,34,0.06666666666666667,0.06600065503116892,0.058762530833121204,0.19932891161543687,0.34900260385102067,0.1845868080854416,0.26329398,0.0,0.6527816943963259,0.08936596103012562,per_query
no_repulsion,35,0.13333333333333333,0.10618686347613708,0.09705410938355663,0.29856419983214216,0.3156266492176981,0.31345489621162415,0.22795537,0.0,0.62361519558474,0.13450072892010212,per_query
no_repulsion,36,0.0,0.0,0.28956876333451037,0.7669647490240218,0.33061990106930794,0.4937664568424225,0.101942174,0.0,0.5939249889215646,0.11721720267087221,per_query
no_repulsion,37,0.13333333333333333,0.11210577530706682,0.04194024114351635,0.1942228230807023,0.3195173237230383,0.4247314929962158,0.5288552,0.0,0.8787414897474116,0.10327570233494043,per_query
no_repulsion,38,0.06666666666666667,0.046105120275897894,0.06184471517772807,0.2307968842498184,0.08726882360922723,0.1553211361169815,0.2634504,0.0,0.8227853200660677,0.10337312333285809,per_query
no_repulsion,39,0.2,0.297382103047494,0.16277059607649888,0.5066171404229564,0.19481629947293166,0.06864184141159058,0.12576959,0.0,0.6927446319945212,0.11903080809861422,per_query
no_repulsion,40,0.0,0.0,0.11318031092486568,0.37603794691882414,0.5312497052958328,0.24962221086025238,0.043055892,0.0,0.877412077508762,0.08422628790140152,per_query
no_repulsion,41,0.0,0.0,0.03480140677725732,0.1795978032026934,0.5107644251485078,0.5236120223999023,0.18929327,0.0,0.9071022841719373,0.13036134745925665,per_query
no_repulsion,42,0.06666666666666667,0.06077222973772036,0.17710559804121237,0.5086019967076072,0.45716355017145993,0.37993818521499634,0.021972656,0.0,0.7403617612697901,0.0855728117749095,per_query
no_repulsion,43,0.06666666666666667,0.05686973942620158,0.028675659228587922,0.10857273389748315,0.3533424409811205,0.5019658207893372,1.391684,0.0,0.44547395560568825,0.1483807312324643,per_query
