method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope
fit_grid_oracle_neighbors,0,0.0,0.0,0.4989407267005057,1.474615356853838,0.4341990275019029,0.39576855301856995,0.877982,0.0,0.5752326471417637,0.43953755125403404,per_query
fit_grid_oracle_neighbors,1,0.06666666666666667,0.05686973942620158,0.1050961377013263,0.359048509415099,0.220373286807909,0.35864460468292236,0.031822994,0.0,0.8832131490955968,0.3490678081288934,per_query
fit_grid_oracle_neighbors,2,0.06666666666666667,0.05135849223864361,0.02240578003603611,0.14593662504766744,0.46968859894176784,0.3037148118019104,0.089021996,0.0,0.9071828546106434,0.42383719235658646,per_query
fit_grid_oracle_neighbors,3,0.2,0.2377574730387761,0.0330592774391046,0.13612659199722435,0.3862572838884982,0.4838287830352783,0.10631734,0.0,0.8151714136083471,0.531433891505003,per_query
fit_grid_oracle_neighbors,4,0.06666666666666667,0.05686973942620158,0.10338453911125084,0.3530596845733312,0.16995822548524292,0.41820329427719116,0.30686828,0.0,0.6307456794102244,0.300451192073524,per_query
fit_grid_oracle_neighbors,5,0.0,0.0,0.15573960556586938,0.4702817978868194,0.08215415163309109,0.05500004068017006,0.0814547,0.0,0.6421866817064819,0.4325708718970418,per_query
fit_grid_oracle_neighbors,6,0.13333333333333333,0.11531777908110442,0.03316834381671131,0.14214466926071626,0.24081666496858473,0.192659392952919,0.26785648,0.0,0.8036095556540306,0.42601466830819845,per_query
fit_grid_oracle_neighbors,7,0.13333333333333333,0.13011504099323698,0.37386816264734113,1.0979773950517888,0.4534560942553762,0.21494373679161072,0.11309571,0.0,0.6232929138299158,0.39770291466265917,per_query
fit_grid_oracle_neighbors,8,0.0,0.0,0.5419005849224501,1.8152490545170863,0.4745448997501987,0.3639072775840759,0.005165592,0.0,0.6681303629698264,0.42564525827765465,per_query
fit_grid_oracle_neighbors,9,0.26666666666666666,0.28179543923794,0.07756758704763904,0.2680242733095253,0.28588892651007897,0.22879353165626526,0.01766985,0.0,0.9086331225073521,0.43171012680977583,per_query
fit_grid_oracle_neighbors,10,0.06666666666666667,0.07347739090382172,0.07103145716757378,0.2802379859215627,0.17192853470295927,0.26206183433532715,0.48209184,0.0,0.8970309793336825,0.4572216896340251,per_query
fit_grid_oracle_neighbors,11,0.26666666666666666,0.3443930577967801,0.06159450768770359,0.19704576311202843,0.16994403183241058,0.4285937547683716,0.05732134,0.0,0.7843129355839342,0.3960538599640131,per_query
fit_grid_oracle_neighbors,12,0.0,0.0,0.17041219216243123,0.4858954689745344,0.448300866586304,0.26356592774391174,0.3024194,0.0,0.9031946178946945,0.4036798030138016,per_query
