method,mse,rmse,exact_signal_rms,normalized_rmse,cosine,cosine_valid_fraction,magnitude_error,relative_magnitude_error,relative_magnitude_valid_fraction
uniform_mc,0.0001511131952015246,0.012292810712018818,0.021989555907568344,0.5590295121780013,0.7380094484365033,1.0,0.006131166057363467,0.5221629585311528,1.0
fit_grid,9.475869258313196e-05,0.00973440766472886,0.021989555907568344,0.4426832313324927,0.8272366314065455,1.0,0.005498940555591009,0.4128200008401471,1.0
