step,dirichlet_raw,orthogonality_raw,trivial_raw,loss,dirichlet_per_dim,orthogonality_per_dim,trivial_per_dim
1,0.00039957845001481473,98.76535034179688,1.1903589963912964,0.999561071395874,3.995784500148147e-06,0.9876535034179688,0.011903589963912964
2,0.00014597289555240422,99.17886352539062,0.3239602744579315,0.9950296878814697,1.4597289555240422e-06,0.9917886352539063,0.003239602744579315
3,0.0006100672762840986,98.87251281738281,1.6462329626083374,1.0051935911178589,6.100672762840986e-06,0.9887251281738281,0.016462329626083374
4,0.00029804406221956015,98.52497863769531,0.5798730850219727,0.9910514950752258,2.9804406221956016e-06,0.9852497863769532,0.005798730850219726
5,0.00030474088271148503,98.53326416015625,0.39457839727401733,0.9892814755439758,3.0474088271148502e-06,0.9853326416015625,0.003945783972740174
6,0.0004781576863024384,97.92189025878906,0.6541635990142822,0.9857653975486755,4.781576863024384e-06,0.9792189025878906,0.006541635990142822
7,0.000731233274564147,97.3830795288086,1.0538235902786255,0.9843763709068298,7.31233274564147e-06,0.9738307952880859,0.010538235902786255
8,0.0009297295473515987,97.18147277832031,0.9212406873703003,0.9810364246368408,9.297295473515988e-06,0.9718147277832031,0.009212406873703003
9,0.0010184327838942409,97.272705078125,0.7224395275115967,0.979961633682251,1.018432783894241e-05,0.97272705078125,0.007224395275115967
10,0.0011110083432868123,97.26155853271484,0.6394535303115845,0.9790212512016296,1.1110083432868123e-05,0.9726155853271484,0.006394535303115845
11,0.0011762665817514062,97.1294937133789,0.6445460319519043,0.977752149105072,1.1762665817514062e-05,0.9712949371337891,0.006445460319519043
12,0.001111658290028572,97.00140380859375,0.6961981058120728,0.9769871234893799,1.1116582900285721e-05,0.9700140380859374,0.006961981058120728
13,0.0011331902351230383,96.83850860595703,0.7818810939788818,0.9762153029441833,1.1331902351230383e-05,0.9683850860595703,0.007818810939788819
14,0.001097437459975481,96.67961883544922,0.8703044652938843,0.9755102396011353,1.097437459975481e-05,0.9667961883544922,0.008703044652938842
15,0.0010190521134063601,96.58460998535156,0.8867819905281067,0.9747241139411926,1.0190521134063602e-05,0.9658460998535157,0.008867819905281066
16,0.0010165534913539886,96.54238891601562,0.8256912231445312,0.973690927028656,1.0165534913539886e-05,0.9654238891601562,0.008256912231445312
17,0.0009820638224482536,96.50016784667969,0.7415359020233154,0.9724268913269043,9.820638224482536e-06,0.9650016784667969,0.007415359020233154
18,0.0011213907273486257,96.41373443603516,0.6790958642959595,0.9709394574165344,1.1213907273486256e-05,0.9641373443603516,0.006790958642959595
19,0.0012072043027728796,96.27758026123047,0.6559185981750488,0.9693470597267151,1.2072043027728796e-05,0.9627758026123047,0.0065591859817504886
20,0.0013132382882758975,96.12680053710938,0.6716325879096985,0.9679974317550659,1.3132382882758975e-05,0.9612680053710938,0.006716325879096985
21,0.0014399015344679356,96.01457214355469,0.7176451683044434,0.9673365950584412,1.4399015344679356e-05,0.9601457214355469,0.007176451683044434
22,0.0016147017013281584,95.94306945800781,0.777295708656311,0.9672198295593262,1.6147017013281585e-05,0.9594306945800781,0.0077729570865631105
23,0.001834184629842639,95.86351013183594,0.8206535577774048,0.9668599963188171,1.834184629842639e-05,0.9586351013183594,0.008206535577774048
24,0.001771056093275547,95.78620147705078,0.8209164142608643,0.9660888910293579,1.771056093275547e-05,0.9578620147705078,0.008209164142608643
25,0.0017140705604106188,95.7574691772461,0.7915936708450317,0.9655078053474426,1.714070560410619e-05,0.9575746917724609,0.007915936708450318
26,0.001625748467631638,95.758544921875,0.7562601566314697,0.9651643633842468,1.6257484676316382e-05,0.95758544921875,0.007562601566314697
27,0.0016002412885427475,95.73435974121094,0.7350015044212341,0.9647096395492554,1.6002412885427474e-05,0.9573435974121094,0.007350015044212341
28,0.0016293543158099055,95.67925262451172,0.7462656497955322,0.9642715454101562,1.6293543158099055e-05,0.9567925262451172,0.007462656497955323
29,0.0016265794401988387,95.61054992675781,0.7867245674133301,0.9639890193939209,1.6265794401988385e-05,0.9561054992675782,0.007867245674133301
30,0.0015932237729430199,95.54399108886719,0.834237813949585,0.9637982249259949,1.59322377294302e-05,0.9554399108886719,0.00834237813949585
31,0.0016650540055707097,95.48920440673828,0.8751506805419922,0.9636601805686951,1.6650540055707096e-05,0.9548920440673828,0.008751506805419923
32,0.0016303604934364557,95.43414306640625,0.9040169715881348,0.9633979201316833,1.6303604934364557e-05,0.9543414306640625,0.009040169715881348
33,0.0016763024032115936,95.36636352539062,0.9203429222106934,0.9628838300704956,1.6763024032115936e-05,0.9536636352539063,0.009203429222106934
34,0.0018145416397601366,95.30073547363281,0.9312370419502258,0.962337851524353,1.8145416397601366e-05,0.9530073547363281,0.009312370419502258
35,0.001870008883997798,95.24613952636719,0.9375895261764526,0.9618560075759888,1.870008883997798e-05,0.9524613952636719,0.009375895261764527
36,0.0018352519255131483,95.1851806640625,0.9408274292945862,0.9612784385681152,1.8352519255131483e-05,0.951851806640625,0.009408274292945861
