split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,all,4000,1.0,1.0,1.0,1.0,4.6385117968821655e-16,2.869093851387074e-16,1.1796341681247195e-14,6.099093452505137e-15,2.869093851387074e-16,6.099093452505137e-15,0.0,0.0,,,0,,0,-9.003908729710057e-15,9.76996261670133e-15,1.0,pca,disconnected,1
reference,internal,4000,1.0,1.0,1.0,1.0,4.6385117968821655e-16,2.869093851387074e-16,1.1796341681247195e-14,6.099093452505137e-15,2.869093851387074e-16,6.099093452505137e-15,0.0,0.0,,,0,,0,-9.003908729710057e-15,9.76996261670133e-15,1.0,pca,disconnected,1
reference,A_spiral,1334,1.0,1.0,1.0,1.0,7.71247134122819e-16,1.3066342943484623e-16,1.5140728917161275e-14,7.027029299940064e-15,1.3066342943484623e-16,7.027029299940064e-15,0.0,0.0,,,0,,0,-1.1513012765362938e-14,1.192379528447412e-14,1.0,pca,disconnected,1
reference,B_tree,1332,1.0,1.0,1.0,1.0,7.784897184682003e-17,2.5005023077137443e-17,4.437391395269825e-15,2.4651618750986207e-15,2.5005023077137443e-17,2.4651618750986207e-15,0.0,0.0,,,0,,0,-3.885780586188056e-15,3.974598428158073e-15,1.0,pca,disconnected,1
reference,C_ellipse,1334,1.0,1.0,1.0,1.0,5.418787191402256e-16,7.046670426911525e-16,1.579987182233601e-14,8.799641009197256e-15,7.046670426911525e-16,8.799641009197256e-15,0.0,0.0,,,0,,0,-1.2922996006636903e-14,1.5187850976872048e-14,1.0,pca,disconnected,1
reference,B_branch_0,180,1.0,1.0,1.0,1.0,3.330669073875172e-16,-2.7138785046401226e-17,5.5585166099566096e-15,3.056814061134598e-15,-2.7138785046401226e-17,3.056814061134598e-15,0.0,0.0,,,0,,0,-4.884981308350701e-15,5.107025913275707e-15,1.0,pca,disconnected,1
reference,B_branch_1,170,1.0,1.0,1.0,1.0,-5.87765130683976e-17,4.787020453236681e-16,2.8722122719420227e-15,1.6894982145325164e-15,4.787020453236681e-16,1.6894982145325164e-15,0.0,0.0,,,0,,0,-2.2315482794965668e-15,3.1086244689504336e-15,1.0,pca,disconnected,1
reference,B_branch_2,170,1.0,1.0,1.0,1.0,-5.296416899829488e-16,3.395976310618108e-16,2.8441301601426816e-15,1.4498206556869691e-15,3.395976310618108e-16,1.4498206556869691e-15,0.0,0.0,,,0,,0,-1.9984014443252837e-15,2.4424906541753412e-15,1.0,pca,disconnected,1
reference,B_branch_3,212,1.0,1.0,1.0,1.0,4.980292907634212e-16,-2.4875280032875974e-16,5.790441501547336e-15,3.315482060802768e-15,-2.4875280032875974e-16,3.315482060802768e-15,0.0,0.0,,,0,,0,-5.617728504603307e-15,5.506706202140763e-15,1.0,pca,disconnected,1
reference,B_branch_4,194,1.0,1.0,1.0,1.0,-2.11743566552235e-16,3.6053634304833196e-17,4.160474942796336e-15,2.3286069521648248e-15,3.6053634304833196e-17,2.3286069521648248e-15,0.0,0.0,,,0,,0,-3.219646771412959e-15,3.863576125695545e-15,1.0,pca,disconnected,1
reference,B_branch_5,194,1.0,1.0,1.0,1.0,-9.557074490331117e-17,-1.3105209929854032e-16,3.749005687793505e-15,2.1111405865165998e-15,-1.3105209929854032e-16,2.1111405865165998e-15,0.0,0.0,,,0,,0,-3.852473895449301e-15,3.1086244689504336e-15,1.0,pca,disconnected,1
reference,B_branch_6,212,1.0,1.0,1.0,1.0,4.613709833465604e-16,-1.4034894839601797e-16,5.548496672596005e-15,2.9976021664879234e-15,-1.4034894839601797e-16,2.9976021664879234e-15,0.0,0.0,,,0,,0,-4.5408121707169e-15,4.6629367034256464e-15,1.0,pca,disconnected,1
query,all,2000,1.0,1.0,1.0,1.0,-4.1561198926862255e-16,1.0541567618811706e-16,1.2511047753349665e-14,5.846045869617454e-15,1.0541567618811706e-16,5.846045869617454e-15,0.0,0.0,,,0,,0,-8.892886427247543e-15,9.32587340685127e-15,1.0,pca,disconnected,1
query,internal,2000,1.0,1.0,1.0,1.0,-4.1561198926862255e-16,1.0541567618811706e-16,1.2511047753349665e-14,5.846045869617454e-15,1.0541567618811706e-16,5.846045869617454e-15,0.0,0.0,,,0,,0,-8.892886427247543e-15,9.32587340685127e-15,1.0,pca,disconnected,1
query,A_spiral,667,1.0,1.0,1.0,1.0,-4.930255770526599e-16,7.999597985529534e-16,1.5265816263938767e-14,6.8947013682193685e-15,7.999597985529534e-16,6.8947013682193685e-15,0.0,0.0,,,0,,0,-9.703349235223915e-15,1.296740492762174e-14,1.0,pca,disconnected,1
query,B_tree,666,1.0,1.0,1.0,1.0,-5.404418987740119e-16,-9.785299030856007e-17,4.871311895735187e-15,2.5663488684841274e-15,-9.785299030856007e-17,2.5663488684841274e-15,0.0,0.0,,,0,,0,-3.9968028886505714e-15,3.774758283725525e-15,1.0,pca,disconnected,1
query,C_ellipse,667,1.0,1.0,1.0,1.0,-2.1355564326780932e-16,-3.861645303044751e-16,1.7384561223527048e-14,8.072170285190647e-15,-3.861645303044751e-16,8.072170285190647e-15,0.0,0.0,,,0,,0,-1.4099832412739587e-14,1.2301271112846654e-14,1.0,pca,disconnected,1
query,B_branch_0,90,1.0,1.0,1.0,1.0,-1.7159113636151457e-15,1.9120507646321047e-16,6.9216237679686216e-15,3.292428058582826e-15,1.9120507646321047e-16,3.292428058582826e-15,0.0,0.0,,,0,,0,-5.040412531798223e-15,5.7953641885433025e-15,1.0,pca,disconnected,1
query,B_branch_1,85,1.0,1.0,1.0,1.0,-5.87765130683966e-17,-2.351060522735866e-17,2.54045150928933e-15,1.6744775500817067e-15,-2.351060522735866e-17,1.6744775500817067e-15,0.0,0.0,,,0,,0,-2.7311486405778888e-15,3.019806626980423e-15,1.0,pca,disconnected,1
query,B_branch_2,85,1.0,1.0,1.0,1.0,-4.34946196706101e-16,-3.787819731074218e-17,2.9479686665635053e-15,1.406717879436816e-15,-3.787819731074218e-17,1.406717879436816e-15,0.0,0.0,,,0,,0,-1.887379141862768e-15,2.4424906541753412e-15,1.0,pca,disconnected,1
query,B_branch_3,106,1.0,1.0,1.0,1.0,-1.7637882768573712e-15,-2.126181830178464e-16,7.214354899639716e-15,3.1243351721290976e-15,-2.126181830178464e-16,3.1243351721290976e-15,0.0,0.0,,,0,,0,-5.606626274357056e-15,4.329869796038101e-15,1.0,pca,disconnected,1
query,B_branch_4,97,1.0,1.0,1.0,1.0,-3.5939178322918765e-16,-2.2204460492503535e-16,3.948731376244116e-15,2.2868305187639824e-15,-2.2204460492503535e-16,2.2868305187639824e-15,0.0,0.0,,,0,,0,-3.5305092183080038e-15,3.5527136788004946e-15,1.0,pca,disconnected,1
query,B_branch_5,97,1.0,1.0,1.0,1.0,2.5752595932024857e-16,-3.010192324499183e-16,4.5129993671102975e-15,2.374961624842475e-15,-3.010192324499183e-16,2.374961624842475e-15,0.0,0.0,,,0,,0,-3.930189507173062e-15,3.1086244689504336e-15,1.0,pca,disconnected,1
query,B_branch_6,106,1.0,1.0,1.0,1.0,3.1421406357313097e-16,-3.665830741687892e-17,5.37096572667717e-15,3.4678758816357483e-15,-3.665830741687892e-17,3.4678758816357483e-15,0.0,0.0,,,0,,0,-5.3845816694320234e-15,5.2180482157382215e-15,1.0,pca,disconnected,1
reference,all,4000,0.6986500000000001,0.8241666666666667,0.6986500000000001,0.8241666666666667,-0.4551824175572571,-0.02284987100338001,0.5259777109497784,0.2909868441442469,-0.02284987100338001,0.2909868441442469,0.0,0.0,,,0,,0,-0.46979953250140527,0.4349787119771682,0.7720391015937721,umap,disconnected,1
reference,internal,4000,0.6986500000000001,0.8241666666666667,0.6986500000000001,0.8241666666666667,-0.4551824175572571,-0.02284987100338001,0.5259777109497784,0.2909868441442469,-0.02284987100338001,0.2909868441442469,0.0,0.0,,,0,,0,-0.46979953250140527,0.4349787119771682,0.7720391015937721,umap,disconnected,1
reference,A_spiral,1334,0.7538230884557721,0.9255372313843081,0.7538230884557721,0.9255372313843081,-0.5156541122178545,-0.10419991600068704,0.5290187719828016,0.17925543771292088,-0.10419991600068704,0.17925543771292088,0.0,0.0,,,0,,0,-0.3383861473944785,0.1434027049100602,0.7720391015937721,umap,disconnected,1
reference,B_tree,1332,0.5825825825825826,0.7606106106106105,0.5825825825825826,0.7606106106106105,-0.3396024592719947,0.2002170913232275,0.480393504230837,0.38115250571204745,0.2002170913232275,0.38115250571204745,0.0,0.0,,,0,,0,-0.24748577183191878,0.6611620918019184,0.7720391015937721,umap,disconnected,1
reference,C_ellipse,1334,0.7593703148425787,0.7862568715642179,0.7593703148425787,0.7862568715642179,-0.510117397886142,-0.16423235510580397,0.5684525144966875,0.312687769909673,-0.16423235510580397,0.312687769909673,0.0,0.0,,,0,,0,-0.8115183436806233,0.25257640730679837,0.7720391015937721,umap,disconnected,1
reference,B_branch_0,180,0.6122222222222221,0.7525925925925928,0.6122222222222221,0.7525925925925928,-0.4973697486320741,0.05126838245213135,0.5597010421285952,0.28078047046626703,0.05126838245213135,0.28078047046626703,0.0,0.0,,,0,,0,-0.3491486041452218,0.5184785335601957,0.7720391015937721,umap,disconnected,1
reference,B_branch_1,170,0.5552941176470588,0.7662745098039215,0.5552941176470588,0.7662745098039215,-0.002942600291548015,0.48468163944007153,0.3473581638504562,0.4909485324573441,0.48468163944007153,0.4909485324573441,0.0,0.0,,,0,,0,0.09823027576148388,0.8690606447370373,0.7720391015937721,umap,disconnected,1
reference,B_branch_2,170,0.5494117647058824,0.755686274509804,0.5494117647058824,0.755686274509804,-0.21545723529386912,0.416935941551718,0.3584150270227642,0.4224842095238335,0.416935941551718,0.4224842095238335,0.0,0.0,,,0,,0,0.06339126746909826,0.9033365340030349,0.7720391015937721,umap,disconnected,1
reference,B_branch_3,212,0.5915094339622641,0.7584905660377357,0.5915094339622641,0.7584905660377357,-0.41794405494701664,0.13050269174842247,0.5263017498378545,0.351550122750729,0.13050269174842247,0.351550122750729,0.0,0.0,,,0,,0,-0.43966543465622004,0.4956609993684935,0.7720391015937721,umap,disconnected,1
reference,B_branch_4,194,0.6103092783505154,0.7838487972508591,0.6103092783505154,0.7838487972508591,-0.3658814218907043,0.13583482365378471,0.4982363091949286,0.42625430105075923,0.13583482365378471,0.42625430105075923,0.0,0.0,,,0,,0,-0.5885927897444239,0.667483474915508,0.7720391015937721,umap,disconnected,1
reference,B_branch_5,194,0.5649484536082474,0.7546391752577319,0.5649484536082474,0.7546391752577319,-0.41314787864870034,0.129343857655279,0.5022245383135737,0.347609746218925,0.129343857655279,0.347609746218925,0.0,0.0,,,0,,0,-0.3615837417998651,0.5484822047182438,0.7720391015937721,umap,disconnected,1
reference,B_branch_6,212,0.5877358490566037,0.7531446540880503,0.5877358490566037,0.7531446540880503,-0.4054722877056165,0.11827657173550593,0.5353355765170076,0.36421148865210246,0.11827657173550593,0.36421148865210246,0.0,0.0,,,0,,0,-0.3771395426608236,0.6089603153687313,0.7720391015937721,umap,disconnected,1
query,all,2000,0.6389000000000001,0.8205666666666667,0.6389000000000001,0.8205666666666667,-0.45102548225145483,-0.047765920395656365,0.5388798658215541,0.29105115499278167,-0.047765920395656365,0.29105115499278167,0.0,0.0,,,0,,0,-0.4977882971998086,0.40260701538301774,0.7720391015937721,umap,disconnected,1
query,internal,2000,0.6389000000000001,0.8205666666666667,0.6389000000000001,0.8205666666666667,-0.45102548225145483,-0.047765920395656365,0.5388798658215541,0.29105115499278167,-0.047765920395656365,0.29105115499278167,0.0,0.0,,,0,,0,-0.4977882971998086,0.40260701538301774,0.7720391015937721,umap,disconnected,1
query,A_spiral,667,0.6923538230884557,0.9240379810094955,0.6923538230884557,0.9240379810094955,-0.5911466232854752,-0.12198137168894606,0.6033610546811942,0.19605970352159302,-0.12198137168894606,0.19605970352159302,0.0,0.0,,,0,,0,-0.35510809193803977,0.14600082657014976,0.7720391015937721,umap,disconnected,1
query,B_tree,666,0.5213213213213214,0.7510510510510511,0.5213213213213214,0.7510510510510511,-0.34585265319149044,0.14771417759153088,0.49507019003089203,0.35108226213054367,0.14771417759153088,0.35108226213054367,0.0,0.0,,,0,,0,-0.3090216835043561,0.5816642994395405,0.7720391015937721,umap,disconnected,1
query,C_ellipse,667,0.7028485757121439,0.7865067466266867,0.7028485757121439,0.7865067466266867,-0.4159194898740107,-0.1687374934793782,0.5181426710797263,0.3261015009860851,-0.1687374934793782,0.3261015009860851,0.0,0.0,,,0,,0,-0.829633944307599,0.28494050305299523,0.7720391015937721,umap,disconnected,1
query,B_branch_0,90,0.5111111111111111,0.7600000000000002,0.5111111111111111,0.7600000000000002,-0.4408576562282057,-0.015149433145485513,0.5547225904506146,0.2777393977167998,-0.015149433145485513,0.2777393977167998,0.0,0.0,,,0,,0,-0.4822361133032072,0.41613636184858116,0.7720391015937721,umap,disconnected,1
query,B_branch_1,85,0.5082352941176471,0.7521568627450981,0.5082352941176471,0.7521568627450981,-0.10000450507736416,0.3975661548082496,0.3628088307544021,0.4226241586621188,0.3975661548082496,0.4226241586621188,0.0,0.0,,,0,,0,0.05129699073424161,0.776515087888876,0.7720391015937721,umap,disconnected,1
query,B_branch_2,85,0.5105882352941177,0.7349019607843137,0.5105882352941177,0.7349019607843137,-0.21272467196326267,0.3674894836890463,0.3826161735050417,0.3808184334472231,0.3674894836890463,0.3808184334472231,0.0,0.0,,,0,,0,0.029503611270867907,0.8008350211799485,0.7720391015937721,umap,disconnected,1
query,B_branch_3,106,0.5377358490566039,0.7578616352201257,0.5377358490566039,0.7578616352201257,-0.4297715731955456,0.06768386022872144,0.5481915011874136,0.306270857701832,0.06768386022872144,0.306270857701832,0.0,0.0,,,0,,0,-0.40184345813539757,0.436957238516669,0.7720391015937721,umap,disconnected,1
query,B_branch_4,97,0.5175257731958763,0.7491408934707904,0.5175257731958763,0.7491408934707904,-0.44364631918417785,0.09752463003335049,0.555592035475492,0.39964271361131837,0.09752463003335049,0.39964271361131837,0.0,0.0,,,0,,0,-0.522785484274476,0.5788405589022703,0.7720391015937721,umap,disconnected,1
query,B_branch_5,97,0.5463917525773195,0.7587628865979382,0.5463917525773195,0.7587628865979382,-0.3495779791410481,0.12929628922803088,0.5531720204606307,0.37477382883595023,0.12929628922803088,0.37477382883595023,0.0,0.0,,,0,,0,-0.38449228830385895,0.5371643294532821,0.7720391015937721,umap,disconnected,1
query,B_branch_6,106,0.5132075471698114,0.7433962264150944,0.5132075471698114,0.7433962264150944,-0.39226560585156656,0.05221927956777976,0.4789827877952482,0.31083495208827194,0.05221927956777976,0.31083495208827194,0.0,0.0,,,0,,0,-0.39726487417927636,0.5117966220588285,0.7720391015937721,umap,disconnected,1
